Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																													
Дата голосования: 02.12.2007																																																																													
																																																																													
Наименование Избирательной комиссии:    Майкопская городская																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185					
1	"Число избирателей, внесенных в списки избирателей"	127887	1890	2002	2019	2145	2340	2162	1958	2498	2752	2109	2577	2064	1592	2527	1575	1671	1876	2365	1579	1607	1961	1900	2712	2441	1990	2400	1263	1443	1421	1550	1543	1522	1531	1841	1648	2841	1998	2375	2205	1455	1857	1613	1879	2616	1629	2617	1759	2710	526	412	2065	2678	2774	2786	1418	2640	1795	2202	480	2286	2538	2500	998	557	1101	250	433	468	302	650					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	118831	1850	1900	1750	2000	2100	2000	1800	2500	2750	1900	2400	1900	1450	2250	1550	1500	1650	2300	1550	1650	1700	1800	2500	2350	1900	2300	2550	1350	1300	1400	1400	1350	1400	1750	1550	2550	1800	2150	2000	1299	1650	1300	1600	2400	1450	2450	1600	2450	650	350	1900	2500	2500	2500	1250	2500	1550	1900	432	2000	2150	2100	850	500	1000	230	450	500	350	620					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63846	955	1083	960	1013	1029	943	944	1286	1360	1233	1208	1089	793	1240	738	867	894	951	909	983	1021	976	1195	1292	950	1233	1215	679	797	668	683	681	744	858	643	1264	1016	1105	1068	638	918	689	911	1470	821	1407	712	1401	289	188	821	1287	1427	1311	562	2120	868	1187	212	975	1226	1146	539	318	564	145	303	333	119	373					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5034	51	90	170	104	55	107	25	67	91	87	75	57	35	62	90	98	96	31	43	51	40	91	29	17	67	39	48	56	51	57	68	54	43	85	110	90	70	110	110	117	48	41	53	52	42	79	45	34	113	4	128	32	31	9	12	125	19	93	36	203	133	294	41	26	64	12	116	135	164	13					
6	Число погашенных избирательных бюллетеней	49951	844	727	620	883	1016	950	831	1147	1299	580	1117	754	622	948	722	535	660	1318	598	616	639	733	1276	1041	883	1028	1287	615	452	675	649	615	613	807	797	1196	714	935	822	544	684	570	636	878	587	964	843	1015	248	158	951	1181	1042	1180	676	255	663	620	184	822	791	660	270	156	372	73	31	32	67	234					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5034	51	90	170	104	55	107	25	67	91	87	75	57	35	62	90	98	96	31	43	51	40	91	29	17	67	39	48	56	51	57	68	54	43	85	110	90	70	110	110	117	48	41	53	52	42	79	45	34	113	4	128	32	31	9	12	125	19	93	36	203	133	294	41	26	64	12	116	135	164	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63763	955	1082	959	1011	1029	943	944	1286	1359	1233	1208	1086	793	1240	738	867	894	951	909	983	1021	976	1194	1291	950	1232	1215	679	797	668	683	681	744	858	643	1264	946	1105	1068	638	918	689	911	1470	821	1407	712	1401	289	187	820	1287	1427	1311	562	2120	868	1187	212	975	1226	1146	539	318	564	145	303	333	119	373					
9	Число недействительных избирательных бюллетеней	779	17	10	21	9	19	13	7	20	11	30	10	8	15	9	6	7	45	7	8	10	14	8	12	17	8	30	15	13	14	12	17	7	3	12	3	4	10	20	9	13	12	3	6	16	5	17	8	16	6	1	13	9	17	8	4	17	4	10	2	8	12	8	11	5	13	2	9	7	2	5					
10	Число действительных избирательных бюллетеней	68018	989	1162	1108	1106	1065	1037	962	1333	1439	1290	1273	1135	813	1293	822	958	945	975	944	1024	1047	1059	1211	1291	1009	1241	1248	722	834	713	734	728	784	931	750	1350	1006	1195	1169	742	954	727	958	1506	858	1469	749	1419	396	190	935	1310	1441	1312	570	2228	883	1270	246	1170	1347	1432	569	339	615	155	410	461	281	381					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	747	8	14	13	8	14	14	17	14	14	14	14	14	8	14	8	8	8	14	8	13	13	8	14	14	14	14	14	8	8	8	8	8	8	8	8	14	8	14	14	8	11	8	8	14	8	14	8	14	5	5	14	14	14	19	14	8	8	14	5	14	14	14	25	5	8	5	0	0	0	5					
