Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва															
Дата голосования: 02.12.2007															
															
Наименование Избирательной комиссии:    Пионерская ТИК															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408					
1	"Число избирателей, внесенных в списки избирателей"	9375	1293	1733	1225	1126	1209	613	641	1535					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8550	1100	1500	1100	1100	1100	550	600	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5516	738	953	767	674	709	291	360	1024					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	231	22	31	13	23	26	43	63	10					
6	Число погашенных избирательных бюллетеней	2803	340	516	320	403	365	216	177	466					
7	Число избирательных бюллетеней в переносных ящиках для голосования	231	22	31	13	23	26	43	63	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5505	738	953	767	674	709	291	360	1013					
9	Число недействительных избирательных бюллетеней	88	12	13	14	9	9	7	8	16					
10	Число действительных избирательных бюллетеней	5648	748	971	766	688	726	327	415	1007					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	98	21	10	10	14	14	7	6	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	96	21	9	10	14	14	6	6	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	44	7	6	7	5	6	1	10	2					
14	Число погашенных неиспользованных открепительных удостоверений	2	0	1	0	0	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
															
18	1.Политическая партия «Аграрная партия России»	109	15	17	13	12	20	8	5	19					
		1.90%	1.97%	1.73%	1.67%	1.72%	2.72%	2.40%	1.18%	1.86%					
19	2.Всероссийская политическая партия «Гражданская Сила»	98	10	17	16	10	14	3	3	25					
		1.71%	1.32%	1.73%	2.05%	1.43%	1.90%	0.90%	0.71%	2.44%					
20	3.Политическая партия «Демократическая партия России»	18	4	3	0	2	3	1	1	4					
		0.31%	0.53%	0.30%	0.00%	0.29%	0.41%	0.30%	0.24%	0.39%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	763	83	134	118	99	93	23	38	175					
		13.30%	10.92%	13.62%	15.13%	14.20%	12.65%	6.89%	8.98%	17.11%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	31	4	9	3	5	2	2	1	5					
		0.54%	0.53%	0.91%	0.38%	0.72%	0.27%	0.60%	0.24%	0.49%					
23	6.Политическая партия «Партия социальной справедливости»	25	2	5	5	2	4	1	1	5					
		0.44%	0.26%	0.51%	0.64%	0.29%	0.54%	0.30%	0.24%	0.49%					
24	7.Политическая партия «Либерально-демократическая партия России»	628	84	101	83	66	87	38	35	134					
		10.95%	11.05%	10.26%	10.64%	9.47%	11.84%	11.38%	8.27%	13.10%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	702	96	146	120	96	76	29	27	112					
		12.24%	12.63%	14.84%	15.38%	13.77%	10.34%	8.68%	6.38%	10.95%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	137	23	14	24	20	20	6	9	21					
		2.39%	3.03%	1.42%	3.08%	2.87%	2.72%	1.80%	2.13%	2.05%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3038	411	510	371	365	395	208	290	488					
		52.96%	54.08%	51.83%	47.56%	52.37%	53.74%	62.28%	68.56%	47.70%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	99	16	15	13	11	12	8	5	19					
		1.73%	2.11%	1.52%	1.67%	1.58%	1.63%	2.40%	1.18%	1.86%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
