Выборы Президента Российской Федерации																						
																						
Наименование Избирательной комиссии:    Белокурихинская городская																						
																						
Итоги голосования 																						
																						
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266					
1	"Число избирателей, внесенных в список"	11979	1516	858	2315	1412	684	1489	1605	1620	60	47	97	103	40	41	92					
2	Число полученных избирательных бюллетеней	11500	1300	800	2100	1200	600	1300	1400	1400	200	200	200	200	200	200	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6597	854	441	1315	830	343	766	899	672	60	47	97	102	40	41	90					
5	"Число избирательных бюллетеней, выданных вне помещения"	224	41	21	43	16	20	21	28	34	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	4679	405	338	742	354	237	513	473	694	140	153	103	98	160	159	110					
7	Число избирательных бюллетеней в переносных ящиках	224	41	21	43	16	20	21	28	34	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	6577	853	441	1315	811	343	766	899	672	60	47	97	102	40	41	90					
9	Число недействительных избирательных бюллетеней	44	7	2	15	5	2	2	7	2	1	0	0	0	0	1	0					
10	Число действительных избирательных бюллетеней	6757	887	460	1343	822	361	785	920	704	59	47	97	102	40	40	90					
11	Число полученных открепительных  удостоверений	160	20	20	20	20	20	20	20	20	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	28	7	4	4	4	1	5	3	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	422	5	4	9	8	2	3	3	3	60	47	64	83	40	27	64					
14	Число неиспользованных открепительных удостоверений	132	13	16	16	16	19	15	17	20	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																						
18	. Глазьев Сергей Юрьевич	355	49	19	80	48	20	20	53	23	3	5	7	9	7	1	11					
		5.22%	5.48%	4.11%	5.89%	5.80%	5.51%	2.54%	5.72%	3.26%	5.00%	10.64%	7.22%	8.82%	17.50%	2.44%	12.22%					
19	. Малышкин Олег Александрович	132	15	5	28	18	5	11	28	9	1	1	5	4	0	0	2					
		1.94%	1.68%	1.08%	2.06%	2.18%	1.38%	1.40%	3.02%	1.27%	1.67%	2.13%	5.15%	3.92%	0.00%	0.00%	2.22%					
20	. Миронов Сергей Михайлович	77	8	5	13	10	6	4	15	11	1	0	1	0	0	0	3					
		1.13%	0.89%	1.08%	0.96%	1.21%	1.65%	0.51%	1.62%	1.56%	1.67%	0.00%	1.03%	0.00%	0.00%	0.00%	3.33%					
21	. Путин Владимир Владимирович	4845	642	335	975	585	256	609	628	522	35	33	53	67	20	27	58					
		71.24%	71.81%	72.51%	71.80%	70.74%	70.52%	77.38%	67.75%	73.94%	58.33%	70.21%	54.64%	65.69%	50.00%	65.85%	64.44%					
22	. Хакамада Ирина Муцуовна	267	45	14	48	27	13	35	30	33	2	5	4	5	1	3	2					
		3.93%	5.03%	3.03%	3.53%	3.26%	3.58%	4.45%	3.24%	4.67%	3.33%	10.64%	4.12%	4.90%	2.50%	7.32%	2.22%					
23	. Харитонов Николай Михайлович	938	113	74	174	108	53	92	146	96	11	2	22	15	9	9	14					
		13.79%	12.64%	16.02%	12.81%	13.06%	14.60%	11.69%	15.75%	13.60%	18.33%	4.26%	22.68%	14.71%	22.50%	21.95%	15.56%					
																						
24	Против всех	143	15	8	25	26	8	14	20	10	6	1	5	2	3	0	0					
		2.10%	1.68%	1.73%	1.84%	3.14%	2.20%	1.78%	2.16%	1.42%	10.00%	2.13%	5.15%	1.96%	7.50%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
