Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Район Ховрино																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК  3066					
1	"Число избирателей, внесенных в списки"	55729	2613	2598	2394	2310	2604	2585	2636	2779	2852	2931	2894	2924	2403	2617	2747	2672	2653	2630	2517	2483	2842	45					
2	"Число бюллетеней, полученных участковыми комиссиями"	50250	2300	2400	2200	2000	2200	2300	2400	2500	2600	2600	2600	2500	2200	2400	2600	2400	2400	2400	2300	2500	2400	50					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	30422	1613	1513	1376	1473	1258	1492	1577	1587	1565	1672	1516	1469	1296	1380	1309	1353	1337	1436	1269	1365	1524	42					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1034	42	52	48	45	75	28	30	53	31	39	45	72	49	39	52	56	45	59	47	50	77	0					
6	Число погашенных бюллетеней	18794	645	835	776	482	867	780	793	860	1004	889	1039	959	855	981	1239	991	1018	905	984	1085	799	8					
7	Число бюллетеней в переносных ящиках для голосования	1034	42	52	48	45	75	28	30	53	31	39	45	72	49	39	52	56	45	59	47	50	77	0					
8	Число бюллетеней в стационарных ящиках для голосования	30160	1583	1513	1376	1469	1252	1492	1577	1544	1565	1623	1460	1469	1292	1380	1257	1353	1335	1429	1263	1365	1521	42					
9	Число недействительных бюллетеней	247	9	6	9	5	4	19	14	10	15	6	12	8	11	16	2	12	12	25	14	17	20	1					
10	Число действительных бюллетеней	30947	1616	1559	1415	1509	1323	1501	1593	1587	1581	1656	1493	1533	1330	1403	1307	1397	1368	1463	1296	1398	1578	41					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1050	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	694	41	30	40	35	20	28	29	40	25	27	42	32	28	29	31	34	40	30	35	40	38	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	444	24	28	15	28	14	0	6	19	11	29	19	26	14	18	27	8	9	17	26	59	29	18					
14	Число погашенных открепительных удостоверений	356	9	20	10	15	30	22	21	10	25	23	8	18	22	21	19	16	10	20	15	10	12	0					
15	Число открепительных удостоверений выданных ТИК	19	1	1	1	0	0	2	0	0	3	2	2	1	1	0	1	0	1	0	0	0	3	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	"1. ""ЕДИНЕНИЕ"""	199	12	3	4	15	4	5	4	8	9	12	12	9	21	8	11	12	6	10	7	7	18	2					
		0.63%	0.73%	0.19%	0.28%	0.99%	0.30%	0.32%	0.24%	0.50%	0.56%	0.72%	0.79%	0.58%	1.56%	0.56%	0.84%	0.85%	0.43%	0.67%	0.53%	0.49%	1.12%	4.76%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	3334	153	215	252	242	162	126	215	157	165	153	142	145	113	146	149	102	144	112	111	153	177	0					
		10.68%	9.41%	13.73%	17.69%	15.98%	12.20%	8.28%	13.37%	9.83%	10.33%	9.20%	9.43%	9.40%	8.42%	10.28%	11.38%	7.23%	10.43%	7.52%	8.47%	10.81%	11.07%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	755	41	29	37	24	29	45	39	30	37	43	39	43	39	35	19	37	32	48	27	44	38	0					
		2.42%	2.52%	1.85%	2.59%	1.58%	2.18%	2.96%	2.42%	1.87%	2.31%	2.58%	2.59%	2.79%	2.90%	2.46%	1.45%	2.62%	2.31%	3.22%	2.06%	3.10%	2.37%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	3789	190	224	243	243	159	182	219	188	206	190	164	144	153	155	172	191	149	126	149	150	191	1					
		12.14%	11.69%	14.31%	17.06%	16.05%	11.98%	11.97%	13.62%	11.77%	12.90%	11.43%	10.89%	9.34%	11.40%	10.92%	13.13%	13.55%	10.79%	8.46%	11.37%	10.60%	11.95%	2.38%					
22	"5. ""За Русь Святую"""	142	8	7	8	10	10	4	6	5	6	11	7	10	8	3	4	2	11	9	4	5	4	0					
		0.45%	0.49%	0.44%	0.56%	0.66%	0.75%	0.26%	0.37%	0.31%	0.37%	0.66%	0.46%	0.64%	0.59%	0.21%	0.30%	0.14%	0.79%	0.60%	0.30%	0.35%	0.25%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	53	3	1	3	4	4	4	4	0	3	1	2	0	2	5	1	2	6	2	2	2	2	0					
		0.16%	0.18%	0.06%	0.21%	0.26%	0.30%	0.26%	0.24%	0.0%	0.18%	0.06%	0.13%	0.0%	0.14%	0.35%	0.07%	0.14%	0.43%	0.13%	0.15%	0.14%	0.12%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	502	25	39	16	13	25	26	20	19	30	23	24	28	22	26	17	17	26	25	23	24	31	3					
		1.60%	1.53%	2.49%	1.12%	0.85%	1.88%	1.71%	1.24%	1.18%	1.87%	1.38%	1.59%	1.81%	1.64%	1.83%	1.29%	1.20%	1.88%	1.68%	1.75%	1.69%	1.93%	7.14%					
25	"8. ""Народно-республиканская партия России"""	18	1	3	0	1	0	0	3	1	1	0	1	1	0	0	2	1	0	1	1	0	1	0					
		0.05%	0.06%	0.19%	0.0%	0.06%	0.0%	0.0%	0.18%	0.06%	0.06%	0.0%	0.06%	0.06%	0.0%	0.0%	0.15%	0.07%	0.0%	0.06%	0.07%	0.0%	0.06%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	291	8	22	3	17	18	8	23	10	12	9	16	15	14	14	18	13	17	14	11	11	18	0					
		0.93%	0.49%	1.40%	0.21%	1.12%	1.35%	0.52%	1.43%	0.62%	0.75%	0.54%	1.06%	0.97%	1.04%	0.98%	1.37%	0.92%	1.23%	0.94%	0.83%	0.77%	1.12%	0.0%					
27	"10. ""Аграрная партия России"""	468	27	32	25	18	9	25	9	31	26	24	20	32	19	27	16	17	17	35	20	21	17	1					
		1.50%	1.66%	2.04%	1.75%	1.18%	0.67%	1.64%	0.56%	1.94%	1.62%	1.44%	1.32%	2.07%	1.41%	1.90%	1.22%	1.20%	1.23%	2.35%	1.52%	1.48%	1.06%	2.38%					
28	"11. ""Истинные патриоты России"""	24	0	0	0	1	0	0	2	1	0	2	6	3	2	1	0	2	0	1	0	2	1	0					
		0.07%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.12%	0.06%	0.0%	0.12%	0.39%	0.19%	0.14%	0.07%	0.0%	0.14%	0.0%	0.06%	0.0%	0.14%	0.06%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	287	23	6	12	9	18	1	16	18	13	12	18	12	18	8	12	11	15	18	10	21	16	0					
		0.92%	1.41%	0.38%	0.84%	0.59%	1.35%	0.06%	0.99%	1.12%	0.81%	0.72%	1.19%	0.77%	1.34%	0.56%	0.91%	0.78%	1.08%	1.20%	0.76%	1.48%	1.00%	0.0%					
30	"13. ""Демократическая партия России"""	44	3	3	1	2	2	1	1	3	3	1	2	5	0	1	1	3	4	2	1	0	4	1					
		0.14%	0.18%	0.19%	0.07%	0.13%	0.15%	0.06%	0.06%	0.18%	0.18%	0.06%	0.13%	0.32%	0.0%	0.07%	0.07%	0.21%	0.28%	0.13%	0.07%	0.0%	0.25%	2.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	43	1	3	0	0	2	5	1	4	1	1	2	2	5	2	2	3	1	0	4	2	2	0					
		0.13%	0.06%	0.19%	0.0%	0.0%	0.15%	0.32%	0.06%	0.25%	0.06%	0.06%	0.13%	0.12%	0.37%	0.14%	0.15%	0.21%	0.07%	0.0%	0.30%	0.14%	0.12%	0.0%					
32	"15. ""Партия СЛОН"""	51	5	3	2	1	2	1	0	5	1	1	4	5	0	3	3	1	2	4	2	3	3	0					
		0.16%	0.30%	0.19%	0.14%	0.06%	0.15%	0.06%	0.0%	0.31%	0.06%	0.06%	0.26%	0.32%	0.0%	0.21%	0.22%	0.07%	0.14%	0.26%	0.15%	0.21%	0.18%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5147	271	255	272	290	220	276	314	308	240	318	256	218	194	220	225	211	228	224	180	191	224	12					
		16.49%	16.67%	16.29%	19.10%	19.15%	16.57%	18.15%	19.53%	19.28%	15.03%	19.13%	17.00%	14.14%	14.46%	15.50%	17.18%	14.97%	16.52%	15.05%	13.74%	13.49%	14.01%	28.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	27	2	2	2	0	0	1	1	2	0	1	2	1	1	3	3	0	1	2	0	1	2	0					
		0.08%	0.12%	0.12%	0.14%	0.0%	0.0%	0.06%	0.06%	0.12%	0.0%	0.06%	0.13%	0.06%	0.07%	0.21%	0.22%	0.0%	0.07%	0.13%	0.0%	0.07%	0.12%	0.0%					
35	"18. ""ЛДПР"""	1627	86	78	40	51	64	77	67	61	91	71	72	120	67	76	46	77	69	102	75	81	154	2					
		5.21%	5.29%	4.98%	2.80%	3.36%	4.82%	5.06%	4.16%	3.81%	5.70%	4.27%	4.78%	7.78%	4.99%	5.35%	3.51%	5.46%	5.0%	6.85%	5.72%	5.72%	9.63%	4.76%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	230	22	6	9	6	5	11	14	10	11	13	9	19	16	6	13	5	11	9	18	7	9	1					
