Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																														
Дата голосования: 04.12.2011																														
																														
Наименование Избирательной комиссии:    Лаганская																														
																														
Сводная таблица результатов выборов																														
																														
		Сумма	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128					
1	"Число избирателей, внесенных в список избирателей"	14609	789	641	576	487	417	767	806	675	652	1038	614	562	796	575	503	472	465	784	208	767	509	781	725					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15128	872	663	598	523	442	792	838	672	650	1047	634	572	797	555	519	477	475	788	207	801	656	813	737					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10826	624	476	511	363	298	700	735	435	497	824	496	447	245	451	315	363	214	659	172	622	443	385	551					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	483	8	28	2	18	5	13	6	8	6	13	26	27	33	10	19	20	7	48	20	14	66	57	29					
6	Число погашенных избирательных бюллетеней	3819	240	159	85	142	139	79	97	229	147	210	112	98	519	94	185	94	254	81	15	165	147	371	157					
7	Число избирательных бюллетеней в переносных ящиках для голосования	483	8	28	2	18	5	13	6	8	6	13	26	27	33	10	19	20	7	48	20	14	66	57	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10819	624	476	511	363	298	700	735	435	497	824	496	447	245	451	315	363	207	659	172	622	443	385	551					
9	Число недействительных избирательных бюллетеней	112	5	5	9	5	1	0	0	2	4	12	4	3	14	4	7	1	2	3	0	7	11	11	2					
10	Число действительных избирательных бюллетеней	11190	627	499	504	376	302	713	741	441	499	825	518	471	264	457	327	382	212	704	192	629	498	431	578					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	236	10	10	10	10	10	11	10	10	10	20	10	10	10	10	10	10	10	10	5	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	80	0	1	1	4	0	11	8	0	4	3	5	3	8	2	10	1	3	1	2	3	2	3	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	5	3	3	0	1	2	1	2	2	9	0	1	3	2	1	2	3	2	3	2	3	4	1					
14	Число погашенных неиспользованных открепительных удостоверений	156	10	9	9	6	10	0	2	10	6	17	5	7	2	8	0	9	7	9	3	7	8	7	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	383	0	22	19	27	3	33	7	36	8	15	37	12	10	0	32	4	17	35	0	0	0	43	23					
		3.39%	0.00%	4.37%	3.70%	7.09%	0.99%	4.63%	0.94%	8.13%	1.59%	1.79%	7.09%	2.53%	3.60%	0.00%	9.58%	1.04%	7.94%	4.95%	0.00%	0.00%	0.00%	9.73%	3.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	217	0	18	12	4	7	23	3	11	10	16	9	8	3	0	34	13	13	8	0	0	0	20	5					
		1.92%	0.00%	3.57%	2.34%	1.05%	2.31%	3.23%	0.40%	2.48%	1.99%	1.91%	1.72%	1.69%	1.08%	0.00%	10.18%	3.39%	6.07%	1.13%	0.00%	0.00%	0.00%	4.52%	0.86%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	0	3	0	2	2	3	2	1	1	5	2	3	1	0	3	5	0	1	0	2	0	1	0					
		0.33%	0.00%	0.60%	0.00%	0.52%	0.66%	0.42%	0.27%	0.23%	0.20%	0.60%	0.38%	0.63%	0.36%	0.00%	0.90%	1.31%	0.00%	0.14%	0.00%	0.31%	0.00%	0.23%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1444	77	59	51	40	38	85	70	57	65	115	82	61	64	69	75	63	69	43	12	45	69	60	75					
		12.78%	12.18%	11.71%	9.94%	10.50%	12.54%	11.92%	9.45%	12.87%	12.92%	13.74%	15.71%	12.87%	23.02%	14.97%	22.46%	16.45%	32.24%	6.08%	6.25%	7.08%	13.56%	13.57%	12.93%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	50	0	5	5	1	1	4	0	5	4	3	2	2	3	0	5	2	2	1	0	1	0	3	1					
		0.44%	0.00%	0.99%	0.97%	0.26%	0.33%	0.56%	0.00%	1.13%	0.80%	0.36%	0.38%	0.42%	1.08%	0.00%	1.50%	0.52%	0.93%	0.14%	0.00%	0.16%	0.00%	0.68%	0.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9048	550	391	417	302	250	565	659	330	410	670	385	385	182	388	176	294	111	616	180	580	429	304	474					
		80.06%	87.03%	77.58%	81.29%	79.27%	82.51%	79.24%	88.93%	74.49%	81.51%	80.05%	73.75%	81.22%	65.47%	84.16%	52.69%	76.76%	51.87%	87.13%	93.75%	91.19%	84.28%	68.78%	81.72%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	11	0	1	0	0	1	0	0	1	1	1	1	0	1	0	2	1	0	0	0	1	0	0	0					
		0.10%	0.00%	0.20%	0.00%	0.00%	0.33%	0.00%	0.00%	0.23%	0.20%	0.12%	0.19%	0.00%	0.36%	0.00%	0.60%	0.26%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
