Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    район Южное Бутово																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437	УИК №2438	УИК №2439	УИК №2440	УИК №2441	УИК №2442	УИК №2443	УИК №2444	УИК №2445	УИК №2446	УИК №2447	УИК №2448	УИК №2449	УИК №2450	УИК №2451	УИК №2452	УИК №2453	УИК №2454	УИК №2455	УИК №2456	УИК №2457	УИК №2458	УИК №2459	УИК №2460	УИК №2461	УИК №2462	УИК №2463	УИК №2464	УИК №2465	УИК №2466	УИК №2467	УИК №2468	УИК №2469	УИК №2470	УИК №2471	УИК №2472	УИК №2473	УИК №3422									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	140690	2718	2749	2087	2724	2417	2667	2685	1897	2668	2528	2497	2383	2693	2887	2742	2327	2695	2516	2679	2611	468	2558	2456	2529	2342	2275	2346	2231	2301	2459	2349	2258	2245	2214	2343	2351	2551	2400	2298	2340	2424	2788	2565	2237	2458	2496	1406	1545	2294	2328	2377	2824	2519	2640	2691	2391	2480	2149	1594									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	109100	2150	2150	1650	2100	1900	2100	2100	1500	2000	1950	1950	1850	2150	1400	2150	1800	2100	2000	2100	1300	350	2050	1900	2000	1850	1750	1850	1750	1800	1800	1850	1800	1800	1750	1850	1850	2100	2000	1850	1850	2000	2200	2050	1800	1950	2000	1100	1200	1800	1850	1850	2250	2000	2100	2100	1900	1900	1650	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	42405	847	842	708	966	645	703	620	526	858	786	780	694	756	705	746	647	861	807	824	791	176	905	806	796	841	661	726	692	711	645	692	752	665	644	747	694	794	660	615	634	778	781	855	633	764	703	515	549	640	785	676	772	807	794	830	573	828	711	443									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	844	4	8	4	13	15	7	5	42	23	20	40	61	15	16	11	22	7	8	4	11	4	16	7	13	6	6	12	12	11	12	34	15	19	19	8	22	16	11	29	19	21	13	12	6	9	23	2	2	5	6	14	14	22	17	30	7	9	4	1									
6	Число погашенных избирательных бюллетеней	65851	1299	1300	938	1121	1240	1390	1475	932	1119	1144	1130	1095	1379	679	1393	1131	1232	1185	1272	498	170	1129	1087	1191	1003	1083	1112	1046	1078	1143	1124	1033	1116	1087	1095	1134	1290	1329	1206	1197	1201	1406	1183	1161	1177	1274	583	649	1155	1059	1160	1464	1171	1289	1240	1320	1063	935	756									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	844	4	8	4	13	15	7	5	42	23	20	40	61	15	16	11	22	7	8	4	11	4	16	7	13	6	6	12	12	11	12	34	15	19	19	8	22	16	11	29	19	21	13	12	6	9	23	2	2	5	6	14	14	22	17	30	7	9	4	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	42338	847	842	708	966	645	702	616	526	857	766	780	694	756	705	744	647	854	807	824	791	176	905	805	796	838	661	726	692	711	645	692	752	665	644	747	694	794	660	613	634	764	781	855	633	762	703	514	549	639	785	676	772	801	794	830	573	826	711	443									
9	Число недействительных избирательных бюллетеней	717	18	17	4	23	13	9	11	13	16	10	12	12	13	11	12	30	7	7	8	16	5	17	19	7	20	14	4	18	11	12	10	9	16	11	9	14	15	6	16	11	11	8	0	15	11	16	5	5	12	5	11	16	13	18	22	7	11	15	10									
10	Число действительных избирательных бюллетеней	42465	833	833	708	956	647	700	610	555	864	776	808	743	758	710	743	639	854	808	820	786	175	904	793	802	824	653	734	686	711	645	716	758	668	652	746	702	795	665	626	642	774	786	867	624	760	710	511	546	632	786	679	770	810	793	838	573	824	700	434									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1301	20	30	40	30	30	35	30	20	20	20	20	10	30	30	30	25	20	20	30	20	10	30	15	30	40	20	20	15	10	30	21	40	30	10	20	15	20	30	20	10	20	20	20	20	30	20	25	20	10	15	10	20	20	30	20	20	10	15	10									
