Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Аксубаевская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616					
1	"Число избирателей, внесенных в списки"	22495	1513	1998	1318	1475	322	245	457	462	491	525	154	408	1425	1106	440	141	308	693	413	297	237	193	412	170	400	344	141	293	351	105	439	328	238	320	236	87	333	307	279	380	305	256	223	123	292	197	227	845	243					
2	"Число бюллетеней, полученных участковыми комиссиями"	22373	1464	1935	1277	1497	322	239	458	454	491	518	156	410	1440	1109	440	141	306	672	433	301	235	195	401	170	400	344	143	294	349	107	441	337	236	317	231	87	333	308	274	380	304	257	225	124	290	197	230	858	243					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20788	1190	1628	1060	1348	317	239	445	454	491	512	153	400	1393	1049	428	141	271	650	401	274	235	193	382	155	390	339	141	280	317	95	375	318	234	292	220	80	333	307	274	373	286	252	220	118	289	196	218	799	233					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	656	58	33	114	49	5	0	9	0	0	4	0	2	20	36	8	0	28	14	6	23	0	0	16	7	5	5	0	6	31	8	49	6	0	25	9	7	0	0	0	0	16	0	0	5	0	0	9	35	8					
6	Число погашенных бюллетеней	929	216	274	103	100	0	0	4	0	0	2	3	8	27	24	4	0	7	8	26	4	0	2	3	8	5	0	2	8	1	4	17	13	2	0	2	0	0	1	0	7	2	5	5	1	1	1	3	24	2					
7	Число бюллетеней в переносных ящиках для голосования	656	58	33	114	49	5	0	9	0	0	4	0	2	20	36	8	0	28	14	6	23	0	0	16	7	5	5	0	6	31	8	49	6	0	25	9	7	0	0	0	0	16	0	0	5	0	0	9	35	8					
8	Число бюллетеней в стационарных ящиках для голосования	20788	1190	1628	1060	1348	317	239	445	454	491	512	153	400	1393	1049	428	141	271	650	401	274	235	193	382	155	390	339	141	280	317	95	375	318	234	292	220	80	333	307	274	373	286	252	220	118	289	196	218	799	233					
9	Число недействительных бюллетеней	167	5	10	122	0	0	0	5	0	1	0	0	0	0	1	0	0	0	1	2	1	0	4	2	0	0	0	0	0	1	0	3	0	0	0	0	0	5	0	0	0	0	2	0	0	0	2	0	0	0					
10	Число действительных бюллетеней	21277	1243	1651	1052	1397	322	239	449	454	490	516	153	402	1413	1084	436	141	299	663	405	296	235	189	396	162	395	344	141	286	347	103	421	324	234	317	229	87	328	307	274	373	302	250	220	123	289	194	227	834	241					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	297	27	38	20	25	0	1	5	5	5	7	3	5	15	6	1	5	5	5	5	5	5	5	5	0	2	0	5	5	5	5	5	5	3	5	6	0	1	1	0	5	5	5	5	3	5	3	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	231	26	38	20	25	0	0	3	5	3	7	1	4	15	6	1	0	0	5	5	2	4	2	4	0	2	0	1	0	5	1	5	4	1	4	6	0	1	1	0	5	3	0	1	1	3	1	2	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	129	11	4	61	5	0	0	0	1	0	1	0	0	8	7	0	1	4	1	0	1	0	0	4	0	0	0	0	0	2	0	0	0	2	5	1	0	1	1	0	0	1	0	0	0	2	0	0	3	2					
14	Число погашенных открепительных удостоверений	66	1	0	0	0	0	1	2	0	2	0	2	1	0	0	0	5	5	0	0	3	1	3	1	0	0	0	4	5	0	4	0	1	2	1	0	0	0	0	0	0	2	5	4	2	2	2	3	0	2					
