Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Кушвинская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2095	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	35796	142	917	1747	1124	1843	1669	1622	1641	1829	79	1605	1630	1894	1030	1144	810	970	1858	1520	781	1571	1943	1910	953	1758	1806									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31700	130	800	1600	1000	1600	1500	1400	1500	1630	70	1400	1400	1700	900	1000	700	850	1600	1370	700	1400	1700	1700	850	1600	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14621	44	277	751	348	888	834	729	735	768	31	734	649	932	362	450	239	350	748	464	213	623	908	850	347	702	645									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	390	17	10	16	13	31	18	10	9	15	13	20	34	10	7	13	3	13	17	8	28	10	14	21	7	13	20									
6	Число погашенных избирательных бюллетеней	16689	69	513	833	639	681	648	661	756	847	26	646	717	758	531	537	458	487	835	898	459	767	778	829	496	885	935									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	390	17	10	16	13	31	18	10	9	15	13	20	34	10	7	13	3	13	17	8	28	10	14	21	7	13	20									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14618	44	277	751	348	888	834	729	733	768	31	734	649	932	361	450	239	350	748	464	213	623	908	850	347	702	645									
9	Число недействительных избирательных бюллетеней	576	6	7	38	16	26	27	40	16	25	0	37	29	20	19	23	9	7	34	17	7	16	41	37	19	38	22									
10	Число действительных избирательных бюллетеней	14432	55	280	729	345	893	825	699	726	758	44	717	654	922	349	440	233	356	731	455	234	617	881	834	335	677	643									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	900	2	22	44	28	46	42	41	41	46	2	40	40	48	25	28	20	25	46	39	20	40	50	50	25	45	45									
