Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																															
Дата голосования: 04.12.2011																															
																															
Наименование Избирательной комиссии:    Березовская городская																															
																															
Сводная таблица результатов выборов																															
																															
		Сумма	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в список избирателей"	37652	314	1381	1203	1235	1016	1768	1712	1942	1331	498	1745	2084	2091	2007	1954	2012	2064	1990	1950	1870	2079	2067	1186	153					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	38094	323	1413	1209	1214	1020	1793	1702	1655	1320	490	1780	2101	2170	2065	2012	1993	1896	2034	1985	1923	2091	2119	1631	155					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	24577	114	1096	817	763	500	965	1122	1331	715	273	923	1209	1311	1207	1462	1628	1524	1278	1332	1216	1293	1290	1102	106					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1749	62	50	84	151	151	60	50	65	151	83	108	55	67	58	74	59	70	62	37	55	71	31	84	11					
6	Число погашенных избирательных бюллетеней	11768	147	267	308	300	369	768	530	259	454	134	749	837	792	800	476	306	302	694	616	652	727	798	445	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1749	62	50	84	151	151	60	50	65	151	83	108	55	67	58	74	59	70	62	37	55	71	31	84	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24497	114	1096	817	763	500	964	1122	1331	715	273	923	1209	1311	1207	1460	1621	1524	1278	1265	1216	1292	1290	1100	106					
9	Число недействительных избирательных бюллетеней	288	1	0	8	1	6	13	26	20	6	0	22	17	23	17	0	15	22	9	19	26	20	15	0	2					
10	Число действительных избирательных бюллетеней	25958	175	1146	893	913	645	1011	1146	1376	860	356	1009	1247	1355	1248	1534	1665	1572	1331	1283	1245	1343	1306	1184	115					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1035	15	33	20	25	37	42	40	33	30	30	51	58	72	65	59	53	46	62	57	63	45	53	39	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1007	13	31	20	25	37	41	39	30	30	21	48	58	72	65	59	53	46	58	57	63	44	53	39	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1055	5	14	12	15	29	12	62	327	21	31	22	26	29	28	22	48	208	25	30	19	32	14	18	6					
14	Число погашенных неиспользованных открепительных удостоверений	28	2	2	0	0	0	1	1	3	0	9	3	0	0	0	0	0	0	4	0	0	1	0	0	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	65	0	2	0	3	0	0	5	0	2	0	0	6	3	7	1	4	7	5	2	6	3	5	3	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1506	5	10	15	50	63	11	14	14	105	35	3	157	171	166	12	36	160	100	0	156	172	31	12	8					
		5.74%	2.84%	0.87%	1.66%	5.47%	9.68%	1.07%	1.19%	1.00%	12.12%	9.83%	0.29%	12.42%	12.41%	13.12%	0.78%	2.14%	10.04%	7.46%	0.00%	12.27%	12.62%	2.35%	1.01%	6.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	2493	10	30	22	119	108	26	47	55	126	69	82	185	239	210	49	59	252	113	55	192	227	52	147	19					
		9.50%	5.68%	2.62%	2.44%	13.02%	16.59%	2.54%	4.01%	3.94%	14.55%	19.38%	7.95%	14.64%	17.34%	16.60%	3.19%	3.51%	15.81%	8.43%	4.22%	15.11%	16.65%	3.94%	12.42%	16.24%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	131	1	8	1	4	6	0	3	6	3	4	0	5	17	13	2	7	12	7	6	10	6	2	8	0					
		0.50%	0.57%	0.70%	0.11%	0.44%	0.92%	0.00%	0.26%	0.43%	0.35%	1.12%	0.00%	0.40%	1.23%	1.03%	0.13%	0.42%	0.75%	0.52%	0.46%	0.79%	0.44%	0.15%	0.68%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3387	21	131	89	77	98	125	95	223	128	48	86	205	225	196	198	151	246	86	211	225	235	167	111	10					
		12.90%	11.93%	11.43%	9.88%	8.42%	15.05%	12.21%	8.11%	15.97%	14.78%	13.48%	8.34%	16.22%	16.33%	15.49%	12.91%	8.99%	15.43%	6.42%	16.21%	17.70%	17.24%	12.64%	9.38%	8.55%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	475	1	5	3	17	9	3	4	11	30	7	7	48	54	44	5	20	27	43	34	42	43	11	7	0					
		1.81%	0.57%	0.44%	0.33%	1.86%	1.38%	0.29%	0.34%	0.79%	3.46%	1.97%	0.68%	3.80%	3.92%	3.48%	0.33%	1.19%	1.69%	3.21%	2.61%	3.30%	3.15%	0.83%	0.59%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17870	137	960	763	645	356	842	980	1059	462	193	830	638	638	611	1261	1392	862	977	975	612	658	1042	899	78					
		68.09%	77.84%	83.77%	84.68%	70.57%	54.69%	82.23%	83.62%	75.86%	53.35%	54.21%	80.50%	50.47%	46.30%	48.30%	82.20%	82.86%	54.08%	72.91%	74.88%	48.15%	48.28%	78.88%	75.93%	66.67%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	96	0	2	0	1	5	4	3	8	6	0	1	9	11	8	7	0	13	5	2	8	2	1	0	0					
		0.37%	0.00%	0.17%	0.00%	0.11%	0.77%	0.39%	0.26%	0.57%	0.69%	0.00%	0.10%	0.71%	0.80%	0.63%	0.46%	0.00%	0.82%	0.37%	0.15%	0.63%	0.15%	0.08%	0.00%	0.00%					
																															
																															
																															
																															
																															
																															
