Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																												
Дата голосования: 04.12.2011																												
																												
Наименование Избирательной комиссии:    Николаевская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2704	УИК №2705	УИК №2706	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2711	УИК №2712	УИК №2713	УИК №2714	УИК №2715	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2721					
1	"Число избирателей, внесенных в список избирателей"	25131	2427	2653	2217	2897	2677	160	985	1299	1089	766	267	1175	653	504	944	1266	185	1040	912	228	787					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25195	2381	2650	2218	2754	2676	184	1013	1339	1132	786	264	1192	648	537	1007	1274	188	1021	905	233	793					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10465	921	1040	943	1216	1059	50	325	550	408	362	112	697	284	222	415	409	98	454	430	104	366					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1222	134	54	56	55	76	44	117	98	67	67	12	60	41	30	86	107	14	27	28	2	47					
6	Число погашенных избирательных бюллетеней	13508	1326	1556	1219	1483	1541	90	571	691	657	357	140	435	323	285	506	758	76	540	447	127	380					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1222	134	54	56	55	76	44	117	98	67	67	12	60	41	30	86	107	14	27	28	2	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10464	921	1040	943	1216	1058	50	325	550	408	362	112	697	284	222	415	409	98	454	430	104	366					
9	Число недействительных избирательных бюллетеней	166	16	11	16	14	14	0	10	6	6	4	0	23	10	4	7	7	0	3	9	1	5					
10	Число действительных избирательных бюллетеней	11520	1039	1083	983	1257	1120	94	432	642	469	425	124	734	315	248	494	509	112	478	449	105	408					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	343	19	20	28	24	43	2	15	15	15	15	5	17	5	8	15	5	12	52	10	3	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	287	8	20	25	23	43	2	15	4	9	10	0	17	4	8	11	5	12	47	8	1	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	89	11	17	9	4	12	1	6	1	1	1	2	2	1	4	4	1	3	3	2	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	56	11	0	3	1	0	0	0	11	6	5	5	0	1	0	4	0	0	5	2	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2840	266	309	299	389	352	8	72	92	107	76	31	204	61	47	85	74	15	98	107	26	122					
		24.30%	25.21%	28.24%	29.93%	30.61%	31.04%	8.51%	16.29%	14.20%	22.53%	17.72%	25.00%	26.95%	18.77%	18.65%	16.97%	14.34%	13.39%	20.37%	23.36%	24.53%	29.54%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1262	142	139	103	173	135	8	16	37	49	49	10	97	42	10	21	38	13	53	62	9	56					
		10.80%	13.46%	12.71%	10.31%	13.61%	11.90%	8.51%	3.62%	5.71%	10.32%	11.42%	8.06%	12.81%	12.92%	3.97%	4.19%	7.36%	11.61%	11.02%	13.54%	8.49%	13.56%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	85	8	6	11	12	16	0	2	3	1	0	0	11	0	1	4	1	0	2	2	0	5					
		0.73%	0.76%	0.55%	1.10%	0.94%	1.41%	0.00%	0.45%	0.46%	0.21%	0.00%	0.00%	1.45%	0.00%	0.40%	0.80%	0.19%	0.00%	0.42%	0.44%	0.00%	1.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1986	206	215	193	222	184	20	111	90	101	51	12	83	60	27	43	85	12	101	71	12	87					
		16.99%	19.53%	19.65%	19.32%	17.47%	16.23%	21.28%	25.11%	13.89%	21.26%	11.89%	9.68%	10.96%	18.46%	10.71%	8.58%	16.47%	10.71%	20.99%	15.50%	11.32%	21.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	132	16	15	22	23	24	0	3	3	7	2	1	4	0	2	3	1	1	0	3	1	1					
		1.13%	1.52%	1.37%	2.20%	1.81%	2.12%	0.00%	0.68%	0.46%	1.47%	0.47%	0.81%	0.53%	0.00%	0.79%	0.60%	0.19%	0.89%	0.00%	0.66%	0.94%	0.24%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5182	401	396	353	435	402	58	227	416	201	246	70	334	152	160	337	306	71	223	203	56	135					
		44.34%	38.01%	36.20%	35.34%	34.23%	35.45%	61.70%	51.36%	64.20%	42.32%	57.34%	56.45%	44.12%	46.77%	63.49%	67.27%	59.30%	63.39%	46.36%	44.32%	52.83%	32.69%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	33	0	3	2	3	7	0	1	1	3	1	0	1	0	1	1	4	0	1	1	1	2					
		0.28%	0.00%	0.27%	0.20%	0.24%	0.62%	0.00%	0.23%	0.15%	0.63%	0.23%	0.00%	0.13%	0.00%	0.40%	0.20%	0.78%	0.00%	0.21%	0.22%	0.94%	0.48%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
