Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																								
Дата голосования: 04.12.2011																																																								
																																																								
Наименование Избирательной комиссии:    Октябрьская																																																								
																																																								
Сводная таблица результатов выборов																																																								
																																																								
		Сумма	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №2483	УИК №2484	УИК №2506	УИК №2507					
1	"Число избирателей, внесенных в список избирателей"	57098	871	1107	754	1114	427	424	414	219	1944	1367	296	738	169	273	1408	239	1397	1412	1541	342	1037	248	840	1165	2240	1159	88	1261	496	2774	1108	2654	277	750	934	3104	2094	2124	860	2850	898	2272	3047	1958	1430	308	318	1240	1108					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53937	876	1100	745	1090	424	416	405	225	1880	1310	293	748	172	284	1350	236	1350	1360	1490	344	1000	248	854	1090	2125	1076	92	1205	501	2655	1065	2450	279	756	945	2674	1800	2010	859	2670	887	2055	2665	1765	1275	304	319	1200	1015					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	40003	597	916	690	987	334	388	309	185	1438	1024	235	592	115	261	854	163	928	874	948	263	464	219	424	609	1365	578	26	824	322	1938	815	2101	226	721	893	2534	1530	1696	677	1827	482	1565	1788	1413	870	246	238	977	534					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2853	86	25	22	52	24	21	52	4	39	4	31	80	41	0	47	16	78	83	96	44	77	9	65	91	124	45	33	148	28	39	99	56	41	21	15	12	58	175	21	82	77	106	185	92	165	18	24	16	86					
6	Число погашенных избирательных бюллетеней	11081	193	159	33	51	66	7	44	36	403	282	27	76	16	23	449	57	344	403	446	37	459	20	365	390	636	453	33	233	151	678	151	293	12	14	37	128	212	139	161	761	328	384	692	260	240	40	57	207	395					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2853	86	25	22	52	24	21	52	4	39	4	31	80	41	0	47	16	78	83	96	44	77	9	65	91	124	45	33	148	28	39	99	56	41	21	15	12	58	175	21	82	77	106	185	92	165	18	24	16	86					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	39971	597	916	690	987	334	388	309	185	1438	1024	235	592	113	261	854	163	928	874	948	263	464	219	424	609	1335	578	26	824	322	1938	815	2101	226	721	893	2534	1530	1696	677	1827	482	1565	1788	1413	870	246	238	977	534					
9	Число недействительных избирательных бюллетеней	130	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	3	0	0	0	10	13	0	2	5	11	2	12	0	0	0	32	11	5	6	0	0	4	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	42694	683	941	712	1038	358	409	361	189	1477	1028	266	672	154	261	901	179	1006	951	1037	307	538	228	489	700	1449	610	59	970	345	1966	912	2145	267	742	908	2514	1577	1866	692	1909	559	1667	1973	1505	1035	264	262	993	620					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1490	10	20	15	25	20	10	10	5	25	15	10	10	5	5	20	5	20	20	20	5	20	5	15	20	30	20	5	35	10	30	20	30	5	10	10	200	180	150	20	200	40	30	40	20	20	5	5	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	655	2	15	8	24	11	1	2	3	17	12	8	1	2	5	15	0	6	5	16	1	20	1	15	9	15	8	1	21	10	28	6	16	2	7	1	23	84	80	9	34	10	22	35	13	14	0	2	9	6					
