Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																		
Дата голосования: 02.12.2007																		
																		
Наименование Избирательной комиссии:    Тандинская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138					
1	"Число избирателей, внесенных в списки избирателей"	7618	1775	972	496	86	1740	323	178	510	677	288	573					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7236	1700	852	490	84	1648	317	160	500	679	288	518					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	60	0	0	5	2	33	0	0	12	0	0	8					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6438	1439	734	363	80	1568	273	150	409	631	286	505					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	182	58	39	16	2	29	4	3	16	8	2	5					
6	Число погашенных избирательных бюллетеней	556	203	79	106	0	18	40	7	63	40	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	242	58	39	21	4	62	4	3	28	8	2	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6438	1439	734	363	80	1568	273	150	409	631	286	505					
9	Число недействительных избирательных бюллетеней	72	0	21	8	0	3	0	28	8	1	1	2					
10	Число действительных избирательных бюллетеней	6608	1497	752	376	84	1627	277	125	429	638	287	516					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	81	16	10	8	3	14	6	4	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	59	16	10	3	0	6	6	2	5	5	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	32	8	4	0	0	11	0	1	3	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	22	0	0	5	3	8	0	2	0	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
																		
18	1.Политическая партия «Аграрная партия России»	35	0	5	3	0	8	0	2	14	3	0	0					
		0.52%	0.00%	0.65%	0.78%	0.00%	0.49%	0.00%	1.31%	3.20%	0.47%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	3	2	2	0	4	0	0	0	0	0	0					
		0.16%	0.20%	0.26%	0.52%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	184	22	33	18	2	72	4	2	23	4	4	0					
		2.75%	1.47%	4.27%	4.69%	2.38%	4.42%	1.44%	1.31%	5.26%	0.63%	1.39%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2	2	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	10	6	2	1	0	1	0	0	0	0	0	0					
		0.15%	0.40%	0.26%	0.26%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	127	19	29	10	0	55	0	0	14	0	0	0					
		1.90%	1.27%	3.75%	2.60%	0.00%	3.37%	0.00%	0.00%	3.20%	0.00%	0.00%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	92	19	28	10	1	28	0	0	6	0	0	0					
		1.38%	1.27%	3.62%	2.60%	1.19%	1.72%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	26	6	8	1	0	6	0	0	5	0	0	0					
		0.39%	0.40%	1.03%	0.26%	0.00%	0.37%	0.00%	0.00%	1.14%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	6106	1413	642	330	81	1451	273	120	366	631	283	516					
		91.41%	94.39%	83.05%	85.94%	96.43%	89.02%	98.56%	78.43%	83.75%	98.75%	98.26%	99.61%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	7	3	1	0	2	0	1	1	0	0	0					
		0.22%	0.47%	0.39%	0.26%	0.00%	0.12%	0.00%	0.65%	0.23%	0.00%	0.00%	0.00%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
