Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																		
Дата голосования: 04.12.2011																		
																		
Наименование Избирательной комиссии:    Тандинская																		
																		
Сводная таблица результатов выборов																		
																		
		Сумма	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139					
1	"Число избирателей, внесенных в список избирателей"	7068	1485	939	460	105	1818	319	194	414	556	251	527					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7824	1770	995	529	115	1838	387	206	542	619	286	537					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	141	0	0	5	0	90	0	0	15	13	0	18					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6087	1412	771	376	100	1439	300	187	379	511	233	379					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	224	29	56	20	3	46	6	7	20	15	16	6					
6	Число погашенных избирательных бюллетеней	1371	329	168	128	12	263	81	12	128	80	37	133					
7	Число избирательных бюллетеней в переносных ящиках для голосования	365	29	56	25	3	136	6	7	35	28	16	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6086	1411	771	376	100	1439	300	187	379	511	233	379					
9	Число недействительных избирательных бюллетеней	142	34	53	18	2	21	3	0	5	3	0	3					
10	Число действительных избирательных бюллетеней	6309	1406	774	383	101	1554	303	194	409	536	249	400					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	15	10	5	4	10	6	4	6	7	6	7					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	69	15	10	3	2	7	6	1	6	7	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	22	8	8	3	7	2	0	1	0	3	0					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	2	2	3	0	3	0	0	0	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	1					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0					
																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	655	192	113	37	16	117	13	10	23	44	7	83					
		10.15%	13.33%	13.66%	9.23%	15.53%	7.43%	4.25%	5.15%	5.56%	8.16%	2.81%	20.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	283	84	39	16	0	109	2	8	18	6	0	1					
		4.39%	5.83%	4.72%	3.99%	0.00%	6.92%	0.65%	4.12%	4.35%	1.11%	0.00%	0.25%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	4	7	0	0	12	0	0	1	2	0	2					
		0.43%	0.28%	0.85%	0.00%	0.00%	0.76%	0.00%	0.00%	0.24%	0.37%	0.00%	0.50%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	457	104	66	24	2	186	6	13	19	15	16	6					
		7.08%	7.22%	7.98%	5.99%	1.94%	11.81%	1.96%	6.70%	4.59%	2.78%	6.43%	1.49%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	9	5	1	0	8	1	0	1	2	0	0					
		0.42%	0.63%	0.60%	0.25%	0.00%	0.51%	0.33%	0.00%	0.24%	0.37%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4840	1010	541	305	83	1115	281	163	343	467	226	306					
		75.03%	70.14%	65.42%	76.06%	80.58%	70.79%	91.83%	84.02%	82.85%	86.64%	90.76%	75.93%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	19	3	3	0	0	7	0	0	4	0	0	2					
		0.29%	0.21%	0.36%	0.00%	0.00%	0.44%	0.00%	0.00%	0.97%	0.00%	0.00%	0.50%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
