Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																									
																																																																									
Наименование Избирательной комиссии:    Ефремовская 																																																																									
																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																									
																																																																									
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898					
1	"Число избирателей, внесенных в списки"	57920	1059	2082	1147	1350	644	2312	1440	1509	2071	1257	1149	598	1512	611	1783	1967	1348	1604	1494	1464	1185	1318	1292	1273	1590	1632	1784	1024	628	515	411	213	775	306	323	440	1081	334	593	405	378	442	293	300	433	300	516	614	604	316	357	432	287	473	315	253	838	1137	347	724	699	306	346	215	635	837					
2	"Число бюллетеней, полученных участковыми комиссиями"	53700	1000	1900	1100	1200	600	1700	1300	1400	1800	1200	1100	550	1400	600	1600	1800	1200	1500	1400	1300	1100	1200	1200	1200	1500	1500	1600	900	600	500	400	200	800	300	300	450	1000	310	600	400	350	400	300	300	400	300	500	600	600	300	350	410	310	450	300	250	800	1100	310	700	700	300	350	210	600	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	24308	421	882	521	579	238	1160	652	681	860	520	491	226	599	229	687	857	520	550	627	648	520	582	505	521	750	666	829	370	260	205	111	52	320	108	102	200	481	160	291	179	174	249	173	139	176	146	227	273	226	124	170	231	41	217	168	62	270	464	160	305	356	136	161	116	93	291					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3369	21	35	27	44	10	22	32	20	30	8	14	5	38	34	39	19	2	5	42	13	66	17	18	21	20	32	30	1	2	77	112	55	53	61	47	124	132	18	121	123	61	48	45	38	53	74	86	55	49	12	34	45	115	72	35	98	76	40	54	125	54	92	21	35	242	120					
6	Число погашенных бюллетеней	26023	558	983	552	577	352	518	616	699	910	672	595	319	763	337	874	924	678	945	731	639	514	601	677	658	730	802	741	529	338	218	177	93	427	131	151	126	387	132	188	98	115	103	82	123	171	80	187	272	325	164	146	134	154	161	97	90	454	596	96	270	290	72	168	59	265	389					
7	Число бюллетеней в переносных ящиках для голосования	3369	21	35	27	44	10	22	32	20	30	8	14	5	38	34	39	19	2	5	42	13	66	17	18	21	20	32	30	1	2	77	112	55	53	61	47	124	132	18	121	123	61	48	45	38	53	74	86	55	49	12	34	45	115	72	35	98	76	40	54	125	54	92	21	35	242	120					
8	Число бюллетеней в стационарных ящиках для голосования	24308	421	882	521	579	238	1160	652	681	860	520	491	226	599	229	687	857	520	550	627	648	520	582	505	521	750	666	829	370	260	205	111	52	320	108	102	200	481	160	291	179	174	249	173	139	176	146	227	273	226	124	170	231	41	217	168	62	270	464	160	305	356	136	161	116	93	291					
9	Число недействительных бюллетеней	427	7	6	8	2	4	8	12	9	17	7	14	4	10	8	17	16	4	8	18	9	9	17	8	14	17	6	12	4	8	1	4	0	7	0	3	0	16	0	10	0	5	3	0	0	3	0	9	2	0	1	6	2	0	4	2	0	17	8	4	5	13	3	8	0	1	7					
10	Число действительных бюллетеней	27250	435	911	540	621	244	1174	672	692	873	521	491	227	627	255	709	860	518	547	651	652	577	582	515	528	753	692	847	367	254	281	219	107	366	169	146	324	597	178	402	302	230	294	218	177	226	220	304	326	275	135	198	274	156	285	201	160	329	496	210	425	397	225	174	151	334	404					
