Выборы Президента Российской Федерации																																								
																																								
Наименование Избирательной комиссии:    Курортная №13																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК  1002	УИК  1003	УИК №1004	УИК №1005					
1	"Число избирателей, внесенных в список"	44662	1472	3052	2595	2621	2493	2336	1908	2788	1804	2295	2261	828	333	2728	2540	965	383	2749	1287	2364	358	1167	231	1136	574	356	91	75	136	97	279	231	129					
2	Число полученных избирательных бюллетеней	42000	1200	2500	2500	2500	2200	2000	1700	2500	1700	2000	2000	700	350	2500	2500	1000	500	2500	1300	2200	350	1000	300	1000	650	400	150	300	300	100	450	450	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27746	934	1978	2107	1604	1538	1220	1144	1690	1153	1578	1235	462	224	1564	1413	628	259	1618	689	1281	211	987	130	658	370	161	46	75	132	53	271	207	126					
5	"Число избирательных бюллетеней, выданных вне помещения"	1655	41	130	22	52	40	102	58	50	64	44	90	44	4	127	122	36	34	120	38	77	15	3	39	21	41	195	31	0	0	7	0	8	0					
6	Число погашенных избирательных бюллетеней	12599	225	392	371	844	622	678	498	760	483	378	675	194	122	809	965	336	207	762	573	842	124	10	131	321	239	44	73	225	168	40	179	235	74					
7	Число избирательных бюллетеней в переносных ящиках	1654	41	130	22	52	40	102	58	50	64	44	90	43	4	127	122	36	34	120	38	77	15	3	39	21	41	195	31	0	0	7	0	8	0					
8	Число бюллетеней в стационарных ящиках для голосования	27701	933	1948	2107	1603	1538	1218	1144	1689	1153	1575	1234	461	224	1561	1412	628	259	1618	689	1281	211	987	130	658	369	161	46	75	132	53	271	207	126					
9	Число недействительных избирательных бюллетеней	141	0	7	8	5	7	5	6	14	1	5	4	7	1	15	4	4	1	9	1	10	1	6	3	4	1	4	0	2	1	2	0	2	1					
10	Число действительных избирательных бюллетеней	29214	974	2071	2121	1650	1571	1315	1196	1725	1216	1614	1320	497	227	1673	1530	660	292	1729	726	1348	225	984	166	675	409	352	77	73	131	58	271	213	125					
11	Число полученных открепительных  удостоверений	1987	40	110	80	80	80	80	80	80	67	80	80	100	70	120	120	70	60	70	60	70	20	80	70	100	70	0	0	0	0	50	0	0	0					
12	Число выданных открепительных удостоверений	751	15	100	80	67	29	39	24	32	25	66	30	14	0	31	15	8	7	34	23	37	6	35	0	17	16	0	0	0	0	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1441	38	121	37	17	38	32	45	51	26	30	37	31	40	25	47	72	56	59	54	82	8	4	23	23	129	12	7	11	21	6	176	51	32					
14	Число неиспользованных открепительных удостоверений	1236	25	10	0	13	51	41	56	48	42	14	50	86	70	89	105	62	53	36	37	33	14	45	70	83	54	0	0	0	0	49	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	13	1	0	3	3	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																								
18	. Глазьев Сергей Юрьевич	1170	25	65	71	93	62	52	58	57	58	53	66	22	9	44	62	22	12	85	48	60	11	39	2	25	15	19	6	3	3	6	8	5	4					
		3.99%	2.57%	3.13%	3.33%	5.62%	3.93%	3.94%	4.83%	3.28%	4.77%	3.27%	4.98%	4.37%	3.95%	2.61%	4.04%	3.31%	4.10%	4.89%	6.60%	4.42%	4.87%	3.94%	1.18%	3.68%	3.66%	5.34%	7.79%	4.00%	2.27%	10.00%	2.95%	2.33%	3.17%					
19	. Малышкин Олег Александрович	259	10	23	15	13	9	14	10	14	10	15	9	7	3	11	20	5	6	13	3	6	2	17	2	8	4	7	0	0	0	1	0	2	0					
		0.88%	1.03%	1.11%	0.70%	0.79%	0.57%	1.06%	0.83%	0.81%	0.82%	0.93%	0.68%	1.39%	1.32%	0.65%	1.30%	0.75%	2.05%	0.75%	0.41%	0.44%	0.88%	1.72%	1.18%	1.18%	0.98%	1.97%	0.00%	0.00%	0.00%	1.67%	0.00%	0.93%	0.00%					
20	. Миронов Сергей Михайлович	372	8	35	42	20	18	13	17	21	11	14	13	7	0	15	20	7	3	26	10	23	2	5	9	7	3	7	2	1	4	0	2	4	3					
		1.27%	0.82%	1.68%	1.97%	1.21%	1.14%	0.98%	1.41%	1.21%	0.90%	0.86%	0.98%	1.39%	0.00%	0.89%	1.30%	1.05%	1.02%	1.50%	1.38%	1.69%	0.88%	0.51%	5.33%	1.03%	0.73%	1.97%	2.60%	1.33%	3.03%	0.00%	0.74%	1.86%	2.38%					
21	. Путин Владимир Владимирович	22333	804	1583	1675	1250	1193	1021	887	1347	883	1257	978	391	170	1345	1185	537	211	1220	540	976	169	754	132	527	339	261	61	57	92	44	181	165	98					
		76.08%	82.55%	76.18%	78.68%	75.53%	75.60%	77.35%	73.79%	77.46%	72.56%	77.64%	73.87%	77.58%	74.56%	79.68%	77.25%	80.87%	72.01%	70.20%	74.28%	71.87%	74.78%	76.16%	78.11%	77.61%	82.68%	73.31%	79.22%	76.00%	69.70%	73.33%	66.79%	76.74%	77.78%					
22	. Хакамада Ирина Муцуовна	1470	40	111	134	90	76	78	71	80	71	65	50	13	23	71	88	32	24	101	32	80	7	32	12	19	5	16	4	4	9	3	14	7	8					
		5.01%	4.11%	5.34%	6.29%	5.44%	4.82%	5.91%	5.91%	4.60%	5.83%	4.01%	3.78%	2.58%	10.09%	4.21%	5.74%	4.82%	8.19%	5.81%	4.40%	5.89%	3.10%	3.23%	7.10%	2.80%	1.22%	4.49%	5.19%	5.33%	6.82%	5.00%	5.17%	3.26%	6.35%					
23	. Харитонов Николай Михайлович	2553	53	168	110	128	148	84	118	143	141	153	155	44	15	115	110	42	27	206	65	141	29	92	5	65	38	34	3	5	16	4	63	24	9					
		8.70%	5.44%	8.08%	5.17%	7.73%	9.38%	6.36%	9.82%	8.22%	11.59%	9.45%	11.71%	8.73%	6.58%	6.81%	7.17%	6.33%	9.22%	11.85%	8.94%	10.38%	12.83%	9.29%	2.96%	9.57%	9.27%	9.55%	3.90%	6.67%	12.12%	6.67%	23.25%	11.16%	7.14%					
																																								
24	Против всех	1057	34	86	74	56	65	53	35	63	42	57	49	13	7	72	45	15	9	78	28	62	5	45	4	24	5	8	1	3	7	0	3	6	3					
		3.60%	3.49%	4.14%	3.48%	3.38%	4.12%	4.02%	2.91%	3.62%	3.45%	3.52%	3.70%	2.58%	3.07%	4.27%	2.93%	2.26%	3.07%	4.49%	3.85%	4.57%	2.21%	4.55%	2.37%	3.53%	1.22%	2.25%	1.30%	4.00%	5.30%	0.00%	1.11%	2.79%	2.38%					
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
																																								
