Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Стародубская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30444	906	285	458	178	344	328	250	181	141	309	503	1041	297	389	129	895	241	309	511	360	228	234	234	189	285	1225	342	222	556	162	610	220	274	327	417	569	316	152	407	276	230	333	1432	1418	1668	2097	1208	1156	965	1228	1356	2053									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30000	900	290	460	180	350	330	250	180	140	300	500	1000	290	390	130	890	240	300	500	370	225	225	230	190	290	1200	340	220	570	160	600	220	270	330	420	580	360	160	400	280	230	330	1425	1400	1600	2050	1100	1055	950	1250	1300	2050									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20400	722	224	309	129	303	300	160	123	111	158	361	433	155	160	87	170	98	184	299	239	167	151	193	135	254	1007	193	159	393	121	439	144	222	247	301	449	280	74	276	206	142	246	975	958	1040	1317	892	853	681	825	895	1440									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2941	94	27	84	16	17	8	55	46	23	94	113	108	109	72	26	199	22	73	113	71	28	62	26	28	28	47	94	38	106	10	111	25	17	25	41	94	36	56	60	19	49	24	27	67	216	32	12	9	13	35	66	70									
6	Число погашенных избирательных бюллетеней	6659	84	39	67	35	30	22	35	11	6	48	26	459	26	158	17	521	120	43	88	60	30	12	11	27	8	146	53	23	71	29	50	51	31	58	78	37	44	30	64	55	39	60	423	375	344	701	196	193	256	390	339	540									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2941	94	27	84	16	17	8	55	46	23	94	113	108	109	72	26	199	22	73	113	71	28	62	26	28	28	47	94	38	106	10	111	25	17	25	41	94	36	56	60	19	49	24	27	67	216	32	12	9	13	35	66	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20400	722	224	309	129	303	300	160	123	111	158	361	433	155	160	87	170	98	184	299	239	167	151	193	135	254	1007	193	159	393	121	439	144	222	247	301	449	280	74	276	206	142	246	975	958	1040	1317	892	853	681	825	895	1440									
9	Число недействительных избирательных бюллетеней	98	4	0	0	0	2	0	1	2	1	1	1	3	0	4	1	7	0	0	0	2	0	0	0	0	2	4	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	4	12	0	0	19	13	9	0	0	0	0									
10	Число действительных избирательных бюллетеней	23243	812	251	393	145	318	308	214	167	133	251	473	538	264	228	112	362	120	257	412	308	195	213	219	163	280	1050	287	192	499	131	550	168	239	272	342	543	316	130	336	225	191	266	990	1025	1256	1330	891	853	694	860	961	1510									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	213	5	2	2	2	2	2	2	2	2	2	2	5	2	2	2	5	2	3	3	2	2	2	2	2	2	10	5	2	3	2	3	2	3	2	2	5	2	2	3	2	2	2	10	10	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	101	3	1	0	2	0	0	2	0	0	1	1	4	0	2	0	5	0	3	0	2	0	0	0	0	0	10	1	1	0	0	3	0	0	2	1	1	1	0	1	0	1	0	8	3	6	8	5	6	3	5	4	5									
