Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
Наименование Избирательной комиссии:    Полтавская																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК  790	УИК  791	УИК  792	УИК  793	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816					
1	"Число избирателей, внесенных в списки"	17346	1699	2148	1689	455	115	193	156	255	197	67	1005	230	154	148	81	720	130	234	213	111	982	206	281	139	186	917	276	1020	172	230	130	716	188	224	136	85	833	269	129	76	151					
2	"Число бюллетеней, полученных участковыми комиссиями"	17366	1684	2130	1673	447	116	200	159	245	199	67	1010	234	159	155	82	725	128	235	218	113	979	202	275	145	187	912	275	1027	170	230	132	729	190	227	138	91	846	272	130	77	153					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12343	968	1267	1054	289	98	169	142	188	183	63	710	189	147	105	79	483	106	179	192	104	689	151	217	119	139	735	230	729	123	163	121	480	167	168	108	71	628	242	127	73	148					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	526	34	95	52	23	0	6	0	11	0	0	21	0	0	14	2	21	9	9	1	0	22	11	8	1	6	34	10	30	15	9	0	36	0	13	2	0	30	0	0	0	1					
6	Число погашенных бюллетеней	4497	682	768	567	135	18	25	17	46	16	4	279	45	12	36	1	221	13	47	25	9	268	40	50	25	42	143	35	268	32	58	11	213	23	46	28	20	188	30	3	4	4					
7	Число бюллетеней в переносных ящиках для голосования	526	34	95	52	23	0	6	0	11	0	0	21	0	0	14	2	21	9	9	1	0	22	11	8	1	6	34	10	30	15	9	0	36	0	13	2	0	30	0	0	0	1					
8	Число бюллетеней в стационарных ящиках для голосования	12343	968	1267	1054	289	98	169	142	188	183	63	710	189	147	105	79	483	106	179	192	104	689	151	217	119	139	735	230	729	123	163	121	480	167	168	108	71	628	242	127	73	148					
9	Число недействительных бюллетеней	124	12	15	9	4	0	0	0	3	2	0	6	0	0	7	2	3	3	2	2	0	10	1	0	1	0	3	5	3	0	1	3	12	0	0	3	3	8	1	0	0	0					
10	Число действительных бюллетеней	12745	990	1347	1097	308	98	175	142	196	181	63	725	189	147	112	79	501	112	186	191	104	701	161	225	119	145	766	235	756	138	171	118	504	167	181	107	68	650	241	127	73	149					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	25	24	22	10	5	5	5	5	6	5	10	5	5	5	5	10	5	5	5	5	10	5	5	5	5	10	5	10	5	5	5	10	5	5	5	5	10	5	5	5	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	66	9	21	8	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	5	0	0	0	0	3	0	5	0	0	0	4	0	2	1	0	2	1	0	0	0					
