Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																						
Дата голосования: 18.09.2016																																																																						
																																																																						
Наименование Избирательной комиссии:    Егорьевская городская																																																																						
																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																						
																																																																						
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	80277	1665	1111	1583	1177	2049	1125	1496	2630	1184	914	1068	1067	2420	2602	2269	2401	2497	2091	1312	1404	1764	2315	1555	1917	2017	1985	1928	1837	2028	2366	1125	1053	249	228	2647	296	2340	271	492	451	1403	425	1694	507	713	693	1030	247	686	1386	2299	744	1072	1011	911	327	396	142	1662									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76397	1594	1036	1500	1089	1961	1074	1392	2492	1126	864	1021	1000	2290	2499	2176	2306	2382	1971	1241	1334	1674	2184	1489	1851	1916	1894	1834	1766	1935	2270	1075	1007	300	228	2513	278	2244	257	466	437	1350	401	1604	480	691	655	956	232	659	1313	2223	584	1057	846	903	301	376	212	1588									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25771	487	333	352	265	602	342	498	849	318	323	271	365	872	907	775	865	778	625	399	426	559	740	496	600	582	719	626	567	718	737	313	275	239	228	853	51	733	95	190	142	448	154	477	166	170	221	387	108	200	333	956	224	390	368	312	110	194	16	422									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4266	45	46	73	74	30	17	12	22	46	4	23	2	37	16	50	7	17	21	37	72	31	11	11	51	29	14	12	18	14	33	16	45	0	0	126	72	69	27	17	34	102	38	147	58	166	56	249	31	140	341	116	248	185	233	157	90	77	126	425									
6	Число погашенных избирательных бюллетеней	46360	1062	657	1075	750	1329	715	882	1621	762	537	727	633	1381	1576	1351	1434	1587	1325	805	836	1084	1433	982	1200	1305	1161	1196	1181	1203	1500	746	687	61	0	1534	155	1442	135	259	261	800	209	980	256	355	378	320	93	319	639	1151	112	482	245	434	101	105	70	741									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4266	45	46	73	74	30	17	12	22	46	4	23	2	37	16	50	7	17	21	37	72	31	11	11	51	29	14	12	18	14	33	16	45	0	0	126	72	69	27	17	34	102	38	147	58	166	56	249	31	140	341	116	248	185	233	157	90	77	126	425									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	25765	485	333	352	265	602	342	498	849	318	323	271	365	872	907	775	865	778	625	399	426	559	740	496	600	582	719	626	567	718	737	313	275	239	228	853	51	733	95	190	142	445	154	477	166	170	221	387	108	200	333	956	224	390	367	312	110	194	16	422									
9	Число недействительных избирательных бюллетеней	977	28	17	11	16	22	28	14	29	5	16	9	7	36	25	34	20	13	31	13	12	15	39	16	36	15	19	24	2	2	15	13	0	14	19	32	10	41	3	13	0	25	7	24	5	0	19	28	6	1	16	22	23	6	47	17	5	2	2	8									
10	Число действительных избирательных бюллетеней	29054	502	362	414	323	610	331	496	842	359	311	285	360	873	898	791	852	782	615	423	486	575	712	491	615	596	714	614	583	730	755	316	320	225	209	947	113	761	119	194	176	522	185	600	219	336	258	608	133	339	658	1050	449	569	553	452	195	269	140	839									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1477	22	25	25	25	25	25	25	25	25	25	25	25	35	35	25	35	25	25	25	25	30	25	25	25	25	25	25	25	25	30	25	25	0	0	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	40	25	25	25	25	25	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	726	17	11	11	8	23	10	7	17	8	6	7	9	33	26	13	31	16	12	8	8	18	15	17	21	7	15	17	20	16	26	11	7	0	0	13	0	25	0	8	5	12	3	9	5	16	6	15	2	10	14	34	1	25	5	25	1	11	0	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	652	4	11	5	5	24	3	4	11	7	11	2	12	16	6	6	8	12	6	15	9	5	9	8	2	6	8	12	0	10	8	6	7	43	120	16	4	5	3	2	3	3	5	15	14	13	10	7	2	6	12	6	53	6	12	4	8	11	3	8									
14	Число погашенных неиспользованных открепительных удостоверений	751	5	14	14	17	2	15	18	8	17	19	18	16	2	9	12	4	9	13	17	17	12	10	8	4	18	10	8	5	9	4	14	18	0	0	12	25	0	25	17	20	13	22	16	20	9	19	10	23	15	11	6	24	0	20	0	24	14	25	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	201	4	1	4	4	14	4	5	4	3	2	6	8	6	13	5	11	6	1	0	2	3	3	3	6	4	6	0	1	3	11	2	6	0	0	6	1	6	1	0	1	2	1	2	0	0	1	1	0	3	5	6	0	5	1	1	1	0	1	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	550	18	4	7	15	14	7	18	14	9	6	10	6	20	26	17	26	13	17	4	11	17	17	5	11	15	12	14	7	15	17	0	5	5	1	17	0	12	1	3	3	18	1	9	1	2	4	7	4	4	1	21	7	3	5	9	4	3	2	6									
		1.83%	3.40%	1.06%	1.65%	4.42%	2.22%	1.95%	3.53%	1.61%	2.47%	1.83%	3.40%	1.63%	2.20%	2.82%	2.06%	2.98%	1.64%	2.63%	0.92%	2.21%	2.88%	2.26%	0.99%	1.69%	2.45%	1.64%	2.19%	1.20%	2.05%	2.21%	0.00%	1.56%	2.09%	0.44%	1.74%	0.00%	1.50%	0.82%	1.45%	1.70%	3.29%	0.52%	1.44%	0.45%	0.60%	1.44%	1.10%	2.88%	1.18%	0.15%	1.96%	1.48%	0.52%	0.83%	1.92%	2.00%	1.11%	1.41%	0.71%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	632	10	8	9	5	14	6	15	21	12	1	7	12	13	15	15	17	16	10	15	10	12	18	13	6	13	20	14	12	16	22	8	17	6	1	22	1	19	0	5	3	12	4	6	6	1	5	7	0	11	16	38	7	10	9	10	11	3	1	16									
		2.10%	1.89%	2.11%	2.12%	1.47%	2.22%	1.67%	2.94%	2.41%	3.30%	0.31%	2.38%	3.27%	1.43%	1.63%	1.82%	1.95%	2.01%	1.55%	3.44%	2.01%	2.03%	2.40%	2.56%	0.92%	2.13%	2.73%	2.19%	2.05%	2.19%	2.86%	2.43%	5.31%	2.51%	0.44%	2.25%	0.81%	2.37%	0.00%	2.42%	1.70%	2.19%	2.08%	0.96%	2.68%	0.30%	1.81%	1.10%	0.00%	3.24%	2.37%	3.54%	1.48%	1.74%	1.50%	2.13%	5.50%	1.11%	0.70%	1.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	773	12	8	12	14	8	10	15	20	7	15	12	8	24	19	28	28	25	19	11	10	19	15	19	16	15	28	19	3	32	22	9	10	13	1	30	12	29	5	4	2	9	6	17	8	8	8	15	3	2	9	15	7	13	16	9	0	0	0	20									
		2.57%	2.26%	2.11%	2.82%	4.13%	1.27%	2.79%	2.94%	2.30%	1.92%	4.59%	4.08%	2.18%	2.64%	2.06%	3.39%	3.21%	3.14%	2.94%	2.52%	2.01%	3.22%	1.99%	3.75%	2.46%	2.45%	3.82%	2.98%	0.51%	4.37%	2.86%	2.74%	3.13%	5.44%	0.44%	3.06%	9.76%	3.62%	4.10%	1.93%	1.14%	1.65%	3.13%	2.72%	3.57%	2.38%	2.89%	2.36%	2.16%	0.59%	1.34%	1.40%	1.48%	2.26%	2.67%	1.92%	0.00%	0.00%	0.00%	2.36%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15091	240	169	229	177	317	156	222	374	192	138	134	173	382	437	390	382	408	281	222	255	268	306	218	296	292	287	276	310	364	362	152	159	103	96	484	58	350	72	96	84	282	102	302	122	241	111	379	79	220	424	521	324	347	402	270	133	219	95	607									
		50.25%	45.28%	44.59%	53.88%	52.21%	50.16%	43.45%	43.53%	42.94%	52.75%	42.20%	45.58%	47.14%	42.02%	47.35%	47.27%	43.81%	51.32%	43.50%	50.92%	51.20%	45.42%	40.75%	42.99%	45.47%	47.79%	39.15%	43.26%	52.99%	49.73%	47.01%	46.20%	49.69%	43.10%	42.11%	49.44%	47.15%	43.64%	59.02%	46.38%	47.73%	51.55%	53.13%	48.40%	54.46%	71.73%	40.07%	59.59%	56.83%	64.71%	62.91%	48.60%	68.64%	60.35%	67.00%	57.57%	66.50%	80.81%	66.90%	71.66%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	297	7	3	4	5	3	3	7	15	3	5	3	1	9	9	10	10	5	7	3	3	7	7	5	6	1	12	5	5	6	10	2	1	4	1	12	0	9	1	3	1	3	2	5	2	1	2	8	3	4	7	21	6	6	6	3	0	1	1	3									
		0.99%	1.32%	0.79%	0.94%	1.47%	0.47%	0.84%	1.37%	1.72%	0.82%	1.53%	1.02%	0.27%	0.99%	0.98%	1.21%	1.15%	0.63%	1.08%	0.69%	0.60%	1.19%	0.93%	0.99%	0.92%	0.16%	1.64%	0.78%	0.85%	0.82%	1.30%	0.61%	0.31%	1.67%	0.44%	1.23%	0.00%	1.12%	0.82%	1.45%	0.57%	0.55%	1.04%	0.80%	0.89%	0.30%	0.72%	1.26%	2.16%	1.18%	1.04%	1.96%	1.27%	1.04%	1.00%	0.64%	0.00%	0.37%	0.70%	0.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	57	0	0	2	0	1	0	0	1	0	0	0	1	0	5	1	2	0	3	1	1	0	1	2	1	1	2	1	1	1	2	2	1	1	0	6	1	1	0	1	1	0	1	3	1	1	0	1	0	0	1	2	1	0	2	0	0	0	0	0									
		0.19%	0.00%	0.00%	0.47%	0.00%	0.16%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.27%	0.00%	0.54%	0.12%	0.23%	0.00%	0.46%	0.23%	0.20%	0.00%	0.13%	0.39%	0.15%	0.16%	0.27%	0.16%	0.17%	0.14%	0.26%	0.61%	0.31%	0.42%	0.00%	0.61%	0.81%	0.12%	0.00%	0.48%	0.57%	0.00%	0.52%	0.48%	0.45%	0.30%	0.00%	0.16%	0.00%	0.00%	0.15%	0.19%	0.21%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5143	92	72	71	44	104	55	96	150	51	49	47	65	179	160	130	137	135	117	75	86	117	135	80	122	106	160	119	83	110	133	60	67	42	93	179	23	165	18	33	40	112	31	106	34	39	67	86	28	55	74	249	60	102	56	91	24	25	8	96									
		17.13%	17.36%	18.99%	16.71%	12.98%	16.46%	15.32%	18.82%	17.22%	14.01%	14.98%	15.99%	17.71%	19.69%	17.33%	15.76%	15.71%	16.98%	18.11%	17.20%	17.27%	19.83%	17.98%	15.78%	18.74%	17.35%	21.83%	18.65%	14.19%	15.03%	17.27%	18.24%	20.94%	17.57%	40.79%	18.28%	18.70%	20.57%	14.75%	15.94%	22.73%	20.48%	16.15%	16.99%	15.18%	11.61%	24.19%	13.52%	20.14%	16.18%	10.98%	23.23%	12.71%	17.74%	9.33%	19.40%	12.00%	9.23%	5.63%	11.33%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	207	1	2	3	3	2	0	7	14	1	2	1	1	10	8	5	13	4	2	2	1	3	10	1	7	5	8	10	5	7	8	4	0	1	4	6	0	4	1	1	0	3	1	2	0	1	0	4	0	2	5	6	5	4	3	1	0	0	1	2									
		0.69%	0.19%	0.53%	0.71%	0.88%	0.32%	0.00%	1.37%	1.61%	0.27%	0.61%	0.34%	0.27%	1.10%	0.87%	0.61%	1.49%	0.50%	0.31%	0.46%	0.20%	0.51%	1.33%	0.20%	1.08%	0.82%	1.09%	1.57%	0.85%	0.96%	1.04%	1.22%	0.00%	0.42%	1.75%	0.61%	0.00%	0.50%	0.82%	0.48%	0.00%	0.55%	0.52%	0.32%	0.00%	0.30%	0.00%	0.63%	0.00%	0.59%	0.74%	0.56%	1.06%	0.70%	0.50%	0.21%	0.00%	0.00%	0.70%	0.24%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	291	4	9	5	12	5	4	9	12	1	7	5	2	8	4	7	4	9	8	4	8	9	7	9	9	8	9	8	10	12	7	2	1	3	1	18	0	7	1	2	1	2	1	5	2	3	2	4	0	1	2	7	0	3	2	3	0	0	0	3									
		0.97%	0.75%	2.37%	1.18%	3.54%	0.79%	1.11%	1.76%	1.38%	0.27%	2.14%	1.70%	0.54%	0.88%	0.43%	0.85%	0.46%	1.13%	1.24%	0.92%	1.61%	1.53%	0.93%	1.78%	1.38%	1.31%	1.23%	1.25%	1.71%	1.64%	0.91%	0.61%	0.31%	1.26%	0.44%	1.84%	0.00%	0.87%	0.82%	0.97%	0.57%	0.37%	0.52%	0.80%	0.89%	0.89%	0.72%	0.63%	0.00%	0.29%	0.30%	0.65%	0.00%	0.52%	0.33%	0.64%	0.00%	0.00%	0.00%	0.35%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	1	0	0	0	0	1	2	0	1	0	1	3	0	2	1	0	0	1	0	4	0	1	2	0	1	0	3	0	0	1	0	0	1	0	0	2	0	1	0	1	0	0	1	0	1	2	0	2	0	0	1	3	2	1	0	1	0	1									
		0.15%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.20%	0.23%	0.00%	0.31%	0.00%	0.27%	0.33%	0.00%	0.24%	0.11%	0.00%	0.00%	0.23%	0.00%	0.68%	0.00%	0.20%	0.31%	0.00%	0.14%	0.00%	0.51%	0.00%	0.00%	0.30%	0.00%	0.00%	0.44%	0.00%	0.00%	0.25%	0.00%	0.48%	0.00%	0.18%	0.00%	0.00%	0.45%	0.00%	0.36%	0.31%	0.00%	0.59%	0.00%	0.00%	0.21%	0.52%	0.33%	0.21%	0.00%	0.37%	0.00%	0.12%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	477	4	8	5	3	14	9	7	29	7	2	1	7	18	16	16	32	10	7	5	4	6	22	13	11	10	18	15	13	13	13	5	3	4	1	7	0	15	3	6	6	7	3	9	4	2	1	6	0	2	7	19	5	6	6	5	1	0	0	6									
		1.59%	0.75%	2.11%	1.18%	0.88%	2.22%	2.51%	1.37%	3.33%	1.92%	0.61%	0.34%	1.91%	1.98%	1.73%	1.94%	3.67%	1.26%	1.08%	1.15%	0.80%	1.02%	2.93%	2.56%	1.69%	1.64%	2.46%	2.35%	2.22%	1.78%	1.69%	1.52%	0.94%	1.67%	0.44%	0.72%	0.00%	1.87%	2.46%	2.90%	3.41%	1.28%	1.56%	1.44%	1.79%	0.60%	0.36%	0.94%	0.00%	0.59%	1.04%	1.77%	1.06%	1.04%	1.00%	1.07%	0.50%	0.00%	0.00%	0.71%									
