Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
"Наименование Избирательной комиссии:    Барнаул, Октябрьская"																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №1872					
1	"Число избирателей, внесенных в списки"	80345	1467	1168	2688	1926	1465	2154	2460	2167	2497	2225	2433	2256	2358	1453	2565	2476	2540	2591	2824	2606	2592	1719	2346	2948	3012	2812	2362	2379	2132	2000	2548	2338	2622	2149	634	366	497	229	170	171					
2	"Число бюллетеней, полученных участковыми комиссиями"	76115	1450	1140	2600	2000	1450	2000	2350	2100	2450	2000	2300	2150	2150	1400	2500	2400	2400	2500	2600	2500	2500	1650	2100	2800	2800	2550	2200	2300	2000	1900	2200	2200	2500	2000	600	350	445	210	170	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	43991	991	559	1589	1189	644	1148	1235	1236	1422	1199	1444	1271	1379	974	1513	1596	1465	1523	1271	1442	1346	931	1241	1611	1746	1417	1188	1358	1044	1012	1240	1083	1149	1113	283	251	395	167	155	171					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2159	21	34	80	60	65	53	45	59	37	100	71	44	124	43	58	54	59	73	68	47	36	27	36	65	56	112	67	70	89	23	185	57	57	37	47	0	0	0	0	0					
6	Число погашенных бюллетеней	29965	438	547	931	751	741	799	1070	805	991	701	785	835	647	383	929	750	876	904	1261	1011	1118	692	823	1124	998	1021	945	872	867	865	775	1060	1294	850	270	99	50	43	15	29					
7	Число бюллетеней в переносных ящиках для голосования	2192	21	34	80	60	65	53	45	59	37	100	71	77	124	43	58	54	59	73	68	47	36	27	36	65	56	112	67	70	89	23	185	57	57	37	47	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	43798	991	559	1575	1188	644	1147	1230	1236	1422	1199	1441	1236	1374	973	1509	1594	1465	1523	1271	1438	1346	930	1241	1611	1746	1306	1183	1358	1044	1012	1240	1083	1149	1112	283	251	395	167	155	171					
9	Число недействительных бюллетеней	443	1	6	12	8	5	19	6	11	15	10	15	11	12	0	21	19	24	18	14	14	8	11	10	19	15	13	9	14	13	5	18	14	13	20	2	6	7	4	1	0					
10	Число действительных бюллетеней	45547	1011	587	1643	1240	704	1181	1269	1284	1444	1289	1497	1302	1486	1016	1546	1629	1500	1578	1325	1471	1374	946	1267	1657	1787	1405	1241	1414	1120	1030	1407	1126	1193	1129	328	245	388	163	154	171					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	930	45	15	80	25	20	15	45	25	25	20	23	25	20	25	30	41	36	35	22	20	32	20	25	25	30	20	15	35	25	20	25	20	21	15	10	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	753	45	8	61	22	13	12	25	13	15	16	23	20	20	15	20	34	28	34	20	18	31	20	20	25	27	18	15	35	23	15	13	20	18	5	6	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	857	14	9	21	25	9	15	9	9	15	17	24	52	33	23	17	24	10	30	19	10	21	13	13	11	23	13	20	10	14	15	121	22	58	20	5	16	39	12	12	14					
14	Число погашенных открепительных удостоверений	177	0	7	19	3	7	3	20	12	10	4	0	5	0	10	10	7	8	1	2	2	1	0	5	0	3	2	0	0	2	5	12	0	3	10	4	0	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	"1. ""ЕДИНЕНИЕ"""	464	7	6	12	13	9	8	16	8	17	11	6	12	20	9	12	18	11	5	12	17	17	9	12	16	20	17	17	17	5	11	19	23	18	9	1	7	8	4	2	3					
		1.00%	0.69%	1.01%	0.72%	1.04%	1.26%	0.66%	1.25%	0.61%	1.16%	0.84%	0.39%	0.91%	1.33%	0.88%	0.76%	1.09%	0.72%	0.31%	0.89%	1.14%	1.23%	0.94%	0.93%	0.95%	1.10%	1.19%	1.36%	1.19%	0.44%	1.06%	1.33%	2.01%	1.49%	0.78%	0.30%	2.78%	2.02%	2.39%	1.29%	1.75%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2744	91	39	104	98	33	40	46	45	89	69	122	111	122	84	104	109	65	89	75	92	97	58	85	79	157	65	67	82	48	72	89	48	60	46	7	17	12	4	19	5					
		5.96%	8.99%	6.57%	6.28%	7.85%	4.65%	3.33%	3.60%	3.47%	6.10%	5.31%	8.06%	8.45%	8.14%	8.26%	6.63%	6.61%	4.26%	5.57%	5.60%	6.19%	7.01%	6.06%	6.65%	4.71%	8.71%	4.58%	5.36%	5.74%	4.23%	6.95%	6.24%	4.21%	4.97%	4.00%	2.12%	6.77%	3.03%	2.39%	12.25%	2.92%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1380	7	11	59	17	30	57	30	48	52	38	31	30	51	42	54	64	41	71	31	44	29	36	36	47	58	38	30	48	31	27	42	30	34	34	7	13	20	7	0	5					
		3.00%	0.69%	1.85%	3.56%	1.36%	4.23%	4.75%	2.35%	3.70%	3.56%	2.92%	2.05%	2.28%	3.40%	4.13%	3.44%	3.88%	2.69%	4.44%	2.31%	2.96%	2.09%	3.76%	2.81%	2.80%	3.21%	2.67%	2.4%	3.36%	2.73%	2.60%	2.94%	2.63%	2.81%	2.95%	2.12%	5.17%	5.06%	4.19%	0.0%	2.92%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2482	36	21	115	130	40	64	49	61	63	72	115	88	99	112	75	128	78	98	59	97	77	49	68	70	100	62	47	65	52	50	61	48	57	37	11	7	5	4	7	5					
		5.39%	3.55%	3.54%	6.94%	10.41%	5.64%	5.33%	3.84%	4.71%	4.31%	5.54%	7.60%	6.70%	6.60%	11.02%	4.78%	7.76%	5.11%	6.14%	4.40%	6.53%	5.57%	5.12%	5.32%	4.17%	5.54%	4.37%	3.76%	4.55%	4.58%	4.83%	4.28%	4.21%	4.72%	3.22%	3.33%	2.78%	1.26%	2.39%	4.51%	2.92%					
22	"5. ""За Русь Святую"""	166	2	1	5	4	5	5	1	5	7	2	6	3	6	3	9	8	1	6	4	1	1	1	5	6	7	19	5	7	5	2	3	4	8	4	0	2	1	2	0	0					
		0.36%	0.19%	0.16%	0.30%	0.32%	0.70%	0.41%	0.07%	0.38%	0.47%	0.15%	0.39%	0.22%	0.40%	0.29%	0.57%	0.48%	0.06%	0.37%	0.29%	0.06%	0.07%	0.10%	0.39%	0.35%	0.38%	1.33%	0.4%	0.49%	0.44%	0.19%	0.21%	0.35%	0.66%	0.34%	0.0%	0.79%	0.25%	1.19%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	76	3	0	0	2	4	2	3	3	5	0	2	0	1	2	4	3	3	3	3	2	2	1	3	2	3	0	0	1	3	1	3	4	2	3	1	0	2	0	0	0					
		0.16%	0.29%	0.0%	0.0%	0.16%	0.56%	0.16%	0.23%	0.23%	0.34%	0.0%	0.13%	0.0%	0.06%	0.19%	0.25%	0.18%	0.19%	0.18%	0.22%	0.13%	0.14%	0.10%	0.23%	0.11%	0.16%	0.0%	0.0%	0.07%	0.26%	0.09%	0.21%	0.35%	0.16%	0.26%	0.30%	0.0%	0.50%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	292	8	5	7	14	9	5	2	6	15	9	17	8	7	4	7	11	7	9	15	19	6	12	5	5	16	8	2	3	5	8	8	5	11	8	0	1	2	1	1	1					
		0.63%	0.79%	0.84%	0.42%	1.12%	1.26%	0.41%	0.15%	0.46%	1.02%	0.69%	1.12%	0.60%	0.46%	0.39%	0.44%	0.66%	0.45%	0.56%	1.12%	1.27%	0.43%	1.25%	0.39%	0.29%	0.88%	0.56%	0.16%	0.21%	0.44%	0.77%	0.56%	0.43%	0.91%	0.69%	0.0%	0.39%	0.50%	0.59%	0.64%	0.58%					
25	"8. ""Народно-республиканская партия России"""	15	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	1	0	1	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.07%	0.0%	0.0%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.14%	0.06%	0.07%	0.0%	0.07%	0.0%	0.0%	0.07%	0.0%	0.07%	0.0%	0.0%	0.07%	0.0%	0.08%	0.0%	0.30%	0.0%	0.25%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	267	15	8	11	6	1	2	8	3	8	11	3	11	10	10	6	9	11	10	7	15	10	8	2	12	19	4	6	6	4	6	2	5	1	3	0	4	4	2	3	1					
		0.58%	1.48%	1.34%	0.66%	0.48%	0.14%	0.16%	0.62%	0.23%	0.54%	0.84%	0.19%	0.83%	0.66%	0.98%	0.38%	0.54%	0.72%	0.62%	0.52%	1.01%	0.72%	0.83%	0.15%	0.71%	1.05%	0.28%	0.48%	0.42%	0.35%	0.57%	0.14%	0.43%	0.08%	0.26%	0.0%	1.59%	1.01%	1.19%	1.93%	0.58%					
27	"10. ""Аграрная партия России"""	1790	40	20	79	52	18	67	50	39	75	47	54	36	60	39	56	54	42	58	58	70	62	34	49	73	65	38	37	61	35	47	54	53	49	45	10	16	27	8	2	11					
		3.89%	3.95%	3.37%	4.77%	4.16%	2.53%	5.58%	3.92%	3.01%	5.14%	3.61%	3.57%	2.74%	4.00%	3.83%	3.57%	3.27%	2.75%	3.63%	4.33%	4.71%	4.48%	3.55%	3.83%	4.35%	3.60%	2.67%	2.96%	4.27%	3.08%	4.54%	3.78%	4.64%	4.06%	3.91%	3.03%	6.37%	6.83%	4.79%	1.29%	6.43%					
28	"11. ""Истинные патриоты России"""	21	0	0	1	1	0	0	0	2	2	1	1	1	1	0	1	0	4	1	0	0	0	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
