Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																								
Дата голосования: 07.12.2003 0:00:00																																								
																																								
Наименование Избирательной комиссии:    Ржаксинская																																								
																																								
Сводная таблица предварительных итогов голосования по пропорциональной системе выборов (Протокол №2)																																								
																																								
		Сумма	УИК  409	УИК  410	УИК  411	УИК  412	УИК  413	УИК  414	УИК  415	УИК  416	УИК  417	УИК  418	УИК  419	УИК  420	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441					
1	"Число избирателей, внесенных в списки"	16665	1758	1155	1387	282	291	546	572	317	276	232	197	225	479	218	587	486	488	197	719	314	682	615	314	131	271	630	192	337	806	253	1006	536	166					
2	"Число бюллетеней, полученных участковыми комиссиями"	16450	1700	1100	1300	290	290	550	570	310	270	230	200	220	450	220	620	500	490	200	720	310	700	600	300	130	270	630	190	340	800	250	1000	540	160					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7543	755	583	522	139	110	193	299	156	124	120	105	133	221	131	131	216	172	105	344	109	257	418	182	60	132	234	68	148	350	108	552	256	110					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2754	95	93	98	97	45	166	105	72	76	32	27	35	27	38	118	145	171	26	104	78	134	91	73	49	78	171	73	73	183	69	62	37	13					
6	Число погашенных бюллетеней	6153	850	424	680	54	135	191	166	82	70	78	68	52	202	51	371	139	147	69	272	123	309	91	45	21	60	225	49	119	267	73	386	247	37					
7	Число бюллетеней в переносных ящиках для голосования	2753	95	93	98	97	45	166	105	72	76	32	27	35	27	37	118	145	171	26	104	78	134	91	73	49	78	171	73	73	183	69	62	37	13					
8	Число бюллетеней в стационарных ящиках для голосования	7533	755	575	522	139	110	193	299	156	124	120	105	133	221	131	131	216	172	105	343	109	257	418	182	60	132	234	68	148	349	108	552	256	110					
9	Число недействительных бюллетеней	221	11	14	11	2	2	7	9	8	1	9	0	13	17	3	9	3	3	5	8	7	10	14	2	0	0	3	3	7	11	15	2	9	3					
10	Число действительных бюллетеней	10065	839	654	609	234	153	352	395	220	199	143	132	155	231	165	240	358	340	126	439	180	381	495	253	109	210	402	138	214	521	162	612	284	120					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	20	20	3	3	5	5	3	3	3	3	3	5	3	5	3	3	3	10	3	10	10	3	3	3	10	3	3	10	3	10	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	28	7	8	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	1	0	2	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	4	1	0	1	2	1	2	2	1	0	0	0	0	1	1	0	1	0	2	0	0	0	1	0	0	1	0	1	1	0	0	0	1					
14	Число погашенных открепительных удостоверений	172	13	12	18	2	2	4	5	3	3	3	3	3	5	3	5	3	3	3	10	3	10	8	3	3	3	7	3	3	9	3	8	3	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																								
18	"1. ""ЕДИНЕНИЕ"""	200	14	2	2	5	4	16	3	4	7	4	2	8	6	7	4	12	2	5	11	1	11	9	1	1	4	7	5	3	23	1	6	7	3					
		1.94%	1.64%	0.29%	0.32%	2.11%	2.58%	4.45%	0.74%	1.75%	3.5%	2.63%	1.51%	4.76%	2.41%	4.16%	1.60%	3.32%	0.58%	3.81%	2.46%	0.53%	2.81%	1.76%	0.39%	0.91%	1.90%	1.72%	3.54%	1.35%	4.32%	0.56%	0.97%	2.38%	2.43%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	97	8	6	6	5	1	4	7	2	1	1	1	1	0	0	4	2	1	1	7	2	1	3	2	1	1	1	3	2	1	2	12	6	2					
		0.94%	0.94%	0.89%	0.96%	2.11%	0.64%	1.11%	1.73%	0.87%	0.5%	0.65%	0.75%	0.59%	0.0%	0.0%	1.60%	0.55%	0.29%	0.76%	1.56%	1.06%	0.25%	0.58%	0.78%	0.91%	0.47%	0.24%	2.12%	0.90%	0.18%	1.12%	1.95%	2.04%	1.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	658	61	65	45	20	20	14	29	10	17	3	2	9	25	7	30	22	13	3	17	9	28	3	2	2	11	29	7	6	49	22	53	20	5					
		6.39%	7.17%	9.73%	7.25%	8.47%	12.90%	3.89%	7.17%	4.38%	8.5%	1.97%	1.51%	5.35%	10.08%	4.16%	12.04%	6.09%	3.79%	2.29%	3.80%	4.81%	7.16%	0.58%	0.78%	1.83%	5.23%	7.16%	4.96%	2.71%	9.21%	12.42%	8.63%	6.82%	4.06%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	93	12	13	4	5	1	2	2	4	0	0	0	2	0	0	4	3	1	0	3	2	4	3	2	2	2	3	5	0	2	4	2	5	1					
		0.90%	1.41%	1.94%	0.64%	2.11%	0.64%	0.55%	0.49%	1.75%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	1.60%	0.83%	0.29%	0.0%	0.67%	1.06%	1.02%	0.58%	0.78%	1.83%	0.95%	0.74%	3.54%	0.0%	0.37%	2.25%	0.32%	1.70%	0.81%					
22	"5. ""За Русь Святую"""	76	6	3	8	1	1	2	1	1	0	0	0	2	6	0	3	1	1	1	3	0	3	3	13	1	2	2	0	0	5	2	2	3	0					
		0.73%	0.70%	0.44%	1.29%	0.42%	0.64%	0.55%	0.24%	0.43%	0.0%	0.0%	0.0%	1.19%	2.41%	0.0%	1.20%	0.27%	0.29%	0.76%	0.67%	0.0%	0.76%	0.58%	5.09%	0.91%	0.95%	0.49%	0.0%	0.0%	0.93%	1.12%	0.32%	1.02%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	22	0	1	2	1	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	3	0	0	2	0	2	0	1	1	1	1	1	0					
