Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Знаменская городская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30471	2068	2125	1974	2147	2045	2259	2244	2301	1951	2034	2089	2144	2470	2620									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29639	2000	2000	1700	2000	1900	2200	2124	2300	1900	2000	2135	2170	2520	2690									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20637	1004	1285	1094	1024	1047	1360	1271	1243	1110	876	2089	2144	2470	2620									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	442	13	10	197	25	23	13	17	136	3	5	0	0	0	0									
6	Число погашенных избирательных бюллетеней	8560	983	705	409	951	830	827	836	921	787	1119	46	26	50	70									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	442	13	10	197	25	23	13	17	136	3	5	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	20462	1004	1285	922	1024	1047	1360	1271	1240	1110	876	2089	2144	2470	2620									
9	Число недействительных избирательных бюллетеней	306	17	25	15	19	18	15	22	22	19	12	59	21	14	28									
10	Число действительных избирательных бюллетеней	20598	1000	1270	1104	1030	1052	1358	1266	1354	1094	869	2030	2123	2456	2592									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	375	23	26	23	23	23	22	35	20	31	22	0	0	127	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	313	10	24	14	20	15	22	19	15	29	18	0	0	127	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	429	16	9	19	5	4	5	23	2	5	7	203	127	0	4									
