Выборы Президента Российской Федерации																																			
																																			
Наименование Избирательной комиссии:    район Черемушки																																			
																																			
Итоги голосования 																																			
																																			
		Сумма	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2263	УИК №2264	УИК №2265	УИК №2266	УИК №2267	УИК №3172					
1	"Число избирателей, внесенных в список"	58453	2414	2144	1804	2449	2061	1978	2146	2265	2089	2340	2103	2136	2035	2177	1801	2219	2130	2292	2281	2161	1766	2241	2026	2472	2429	2096	2221	177					
2	Число полученных избирательных бюллетеней	55810	2300	2100	1700	2200	1900	1800	2100	2200	2050	2300	1900	2050	2010	2000	1700	2050	2020	2210	2200	2000	1600	2200	1900	2400	2400	2100	2200	220					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	33338	1147	1173	1027	1169	1132	1262	1461	1240	1357	1233	1092	1137	1259	1311	992	1182	1271	1270	1430	1195	1055	1282	1056	1300	1395	1347	1386	177					
5	"Число избирательных бюллетеней, выданных вне помещения"	1065	43	33	44	58	30	21	26	49	37	25	23	79	24	21	27	28	27	27	40	26	23	62	61	70	46	68	47	0					
6	Число погашенных избирательных бюллетеней	21407	1110	894	629	973	738	517	613	911	656	1042	785	834	727	668	681	840	722	913	730	779	522	856	783	1030	959	685	767	43					
7	Число избирательных бюллетеней в переносных ящиках	1065	43	33	44	58	30	21	26	49	37	25	23	79	24	21	27	28	27	27	40	26	23	62	61	70	46	68	47	0					
8	Число бюллетеней в стационарных ящиках для голосования	33141	1147	1173	1026	1169	1127	1256	1461	1240	1357	1208	1086	1137	1256	1306	992	1182	1267	1247	1430	1195	1055	1218	1053	1299	1348	1343	1386	177					
9	Число недействительных избирательных бюллетеней	229	5	3	5	10	11	9	6	10	10	8	7	4	4	3	5	1	4	10	17	13	5	11	11	15	14	14	14	0					
10	Число действительных избирательных бюллетеней	33977	1185	1203	1065	1217	1146	1268	1481	1279	1384	1225	1102	1212	1276	1324	1014	1209	1290	1264	1453	1208	1073	1269	1103	1354	1380	1397	1419	177					
