Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Мариинская городская																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261					
1	"Число избирателей, внесенных в список избирателей"	40387	1394	1472	1336	1306	1405	1462	1446	1767	1141	1491	1438	1438	1406	1395	1655	1365	1291	833	573	1388	1314	331	190	109	61	837	287	215	226	270	169	87	104	618	353	137	152	628	103	229	266	635	194	130	261	84	236	76	213	129	419	134	188	310	35	54	137	320	166	150	1130	1112	206	253	32	95					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	40992	1410	1510	1335	1320	1410	1460	1475	1790	1160	1500	1430	1440	1445	1390	1560	1370	1300	820	580	1370	1325	340	195	110	60	875	283	213	227	300	185	103	148	670	380	135	145	655	114	218	272	725	228	143	285	85	230	85	212	132	415	147	225	315	34	55	133	335	172	150	1140	1125	210	255	33	95					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	25287	742	711	789	1028	900	1191	672	864	823	735	701	674	863	753	914	865	754	469	395	724	720	263	149	107	58	687	209	162	136	224	150	70	48	519	282	110	97	467	96	214	226	458	155	110	197	69	188	58	164	92	317	95	164	280	26	41	129	273	117	91	644	564	155	219	30	90					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	3049	115	42	85	31	23	101	101	100	120	62	71	128	232	168	162	74	83	20	32	42	73	25	17	0	0	23	29	14	19	30	7	14	51	49	28	3	21	36	0	0	15	146	32	9	26	0	12	5	9	0	44	17	9	12	5	0	4	17	8	45	174	183	33	13	0	0					
6	Число погашенных избирательных бюллетеней	12656	553	757	461	261	487	168	702	826	217	703	658	638	350	469	484	431	463	331	153	604	532	52	29	3	2	165	45	37	72	46	28	19	49	102	70	22	27	152	18	4	31	121	41	24	62	16	30	22	39	40	54	35	52	23	3	14	0	45	47	14	322	378	22	23	3	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3049	115	42	85	31	23	101	101	100	120	62	71	128	232	168	162	74	83	20	32	42	73	25	17	0	0	23	29	14	19	30	7	14	51	49	28	3	21	36	0	0	15	146	32	9	26	0	12	5	9	0	44	17	9	12	5	0	4	17	8	45	174	183	33	13	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25282	742	711	789	1028	900	1191	671	864	823	735	701	674	863	753	911	865	754	469	395	724	720	263	149	107	58	687	209	162	136	224	150	70	48	519	282	110	97	467	96	214	226	458	155	110	197	69	188	58	164	92	317	95	164	280	26	41	129	273	117	91	644	563	155	219	30	90					
9	Число недействительных избирательных бюллетеней	678	0	22	11	12	10	11	53	14	10	10	14	13	24	16	17	12	8	8	7	9	7	0	1	0	0	10	6	2	2	0	0	0	0	0	0	0	0	11	0	33	44	10	8	2	6	1	4	2	0	2	3	0	1	5	0	0	1	0	2	2	179	12	9	23	4	5					
10	Число действительных избирательных бюллетеней	27653	857	731	863	1047	913	1281	719	950	933	787	758	789	1071	905	1056	927	829	481	420	757	786	288	165	107	58	700	232	174	153	254	157	84	99	568	310	113	118	492	96	181	197	594	179	117	217	68	196	61	173	90	358	112	172	287	31	41	132	290	123	134	639	734	179	209	26	85					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	997	9	15	7	21	9	10	9	21	14	10	9	19	19	19	17	8	14	9	10	19	13	7	2	2	2	25	8	2	7	32	20	15	50	44	35	8	12	30	15	4	4	107	50	20	40	18	5	9	3	1	35	9	43	4	1	1	2	5	3	3	10	10	4	5	2	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	894	8	9	7	21	9	9	5	15	13	10	9	16	19	19	17	8	14	7	9	18	13	7	2	0	0	24	8	2	7	32	20	15	50	44	35	8	12	30	12	4	4	107	31	12	36	18	1	9	0	0	35	6	43	2	0	0	0	5	2	0	3	8	4	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	441	9	4	6	2	12	10	15	9	8	10	15	4	10	16	18	15	12	11	8	9	13	7	3	2	2	8	4	2	5	6	6	0	5	12	8	8	7	8	3	3	4	22	4	2	14	3	3	3	2	2	22	2	6	2	2	1	4	3	3	1	4	10	4	0	0	3					
14	Число погашенных неиспользованных открепительных удостоверений	103	1	6	0	0	0	1	4	6	1	0	0	3	0	0	0	0	0	2	1	1	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	19	8	4	0	4	0	3	1	0	3	0	2	1	1	2	0	1	3	7	2	0	5	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1264	53	57	72	36	16	67	59	94	10	39	0	53	54	65	8	15	48	70	33	88	59	5	7	3	0	0	0	5	0	15	0	2	0	24	3	5	5	24	1	1	0	5	0	0	10	1	1	1	1	0	6	4	4	0	0	0	0	0	0	1	66	57	8	0	0	3					
		4.46%	6.18%	7.57%	8.24%	3.40%	1.73%	5.19%	7.64%	9.75%	1.06%	4.89%	0.00%	6.61%	4.93%	7.06%	0.75%	1.60%	5.73%	14.31%	7.73%	11.49%	7.44%	1.74%	4.22%	2.80%	0.00%	0.00%	0.00%	2.84%	0.00%	5.91%	0.00%	2.38%	0.00%	4.23%	0.97%	4.42%	4.24%	4.77%	1.04%	0.47%	0.00%	0.83%	0.00%	0.00%	4.48%	1.45%	0.50%	1.59%	0.58%	0.00%	1.66%	3.57%	2.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	8.07%	7.64%	4.26%	0.00%	0.00%	3.33%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3061	51	137	167	52	175	65	106	145	47	70	131	144	130	146	164	28	115	73	25	121	80	14	15	12	0	107	30	14	25	16	3	7	2	28	16	5	10	24	12	5	7	5	0	17	28	3	3	10	1	10	71	22	8	0	0	6	1	34	22	5	130	113	24	21	2	1					
		10.80%	5.95%	18.19%	19.11%	4.91%	18.96%	5.03%	13.73%	15.04%	4.98%	8.78%	16.97%	17.96%	11.87%	15.85%	15.28%	2.98%	13.74%	14.93%	5.85%	15.80%	10.09%	4.86%	9.04%	11.21%	0.00%	15.07%	12.61%	7.95%	16.13%	6.30%	1.91%	8.33%	2.02%	4.93%	5.16%	4.42%	8.47%	4.77%	12.50%	2.34%	2.90%	0.83%	0.00%	14.29%	12.56%	4.35%	1.50%	15.87%	0.58%	10.87%	19.67%	19.64%	4.62%	0.00%	0.00%	14.63%	0.75%	11.72%	17.60%	3.68%	15.89%	15.15%	12.77%	9.05%	6.67%	1.11%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	149	5	6	5	5	10	3	7	6	10	4	0	0	6	7	7	5	7	2	4	12	2	0	0	0	0	0	1	0	2	0	1	0	0	3	2	0	1	0	2	1	0	6	0	1	0	0	2	0	2	1	1	0	1	0	0	0	0	0	0	0	5	3	0	1	0	0					
