Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Мариинская городская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235					
1	"Число избирателей, внесенных в списки избирателей"	40610	947	860	398	1415	1694	528	1097	1640	1417	1691	1669	1812	621	1136	904	796	480	1378	1664	1914	1272	424	1796	1026	148	303	102	544	68	121	316	287	114	562	245	109	306	35	1086	149	144	57	906	305	230	236	687	215	512	1080	50	245	73	1126	280	355	143	59	115	255	108	222	133					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	40000	938	854	393	1398	1637	510	1089	1611	1398	1583	1657	1758	625	1126	865	773	475	1219	1625	1853	1439	424	1709	1017	176	301	105	548	70	117	314	283	130	590	263	113	308	37	1039	147	146	64	892	302	227	232	706	209	518	1035	51	247	73	1103	282	350	147	59	120	252	105	229	134					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27470	561	508	234	836	1232	353	757	921	807	1062	1131	1178	374	662	533	525	302	829	997	1128	1002	313	1163	694	140	227	101	445	64	114	263	204	69	402	210	104	254	34	824	126	115	40	786	248	170	164	494	165	422	652	43	198	56	728	222	333	126	58	104	229	86	222	126					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2353	54	43	17	79	54	19	40	70	39	80	137	63	55	64	107	28	19	197	83	70	93	44	61	90	0	25	0	41	0	0	13	16	25	84	5	0	19	0	22	0	0	7	15	20	24	19	41	8	21	152	5	6	15	101	22	14	11	0	7	9	0	0	0					
6	Число погашенных избирательных бюллетеней	10177	323	303	142	483	351	138	292	620	552	441	389	517	196	400	225	220	154	193	545	655	344	67	485	233	36	49	4	62	6	3	38	63	36	104	48	9	35	3	193	21	31	17	91	34	33	49	171	36	75	231	3	43	2	274	38	3	10	1	9	14	19	7	8					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2353	54	43	17	79	54	19	40	70	39	80	137	63	55	64	107	28	19	197	83	70	93	44	61	90	0	25	0	41	0	0	13	16	25	84	5	0	19	0	22	0	0	7	15	20	24	19	41	8	21	152	5	6	15	101	22	14	11	0	7	9	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27295	561	508	234	836	1232	353	757	921	807	1062	1130	1115	374	662	533	525	302	829	997	1112	909	313	1163	694	140	227	101	445	64	114	263	203	68	402	210	104	254	34	824	126	115	40	786	248	170	164	494	165	422	652	43	198	56	728	222	333	126	58	104	229	86	222	126					
9	Число недействительных избирательных бюллетеней	281	7	0	1	4	3	1	4	6	4	14	3	4	2	9	7	4	2	10	12	8	13	2	22	5	0	4	0	3	0	0	0	2	0	4	0	1	0	0	19	3	2	1	9	2	0	5	48	5	2	6	0	1	1	9	5	1	0	0	0	0	1	0	0					
10	Число действительных избирательных бюллетеней	29367	608	551	250	911	1283	371	793	985	842	1128	1264	1174	427	717	633	549	319	1016	1068	1174	989	355	1202	779	140	248	101	483	64	114	276	217	93	482	215	103	273	34	827	123	113	46	792	266	194	178	487	168	441	798	48	203	70	820	239	346	137	58	111	238	85	222	126					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	993	20	20	10	25	25	10	25	25	20	20	29	30	15	25	20	15	15	25	30	26	25	15	35	25	10	15	5	15	5	5	15	10	10	30	15	5	15	5	48	10	10	5	20	15	10	10	15	10	15	25	5	10	5	25	10	10	5	5	5	10	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	435	8	6	0	10	10	5	8	7	8	17	25	27	6	13	14	1	1	21	7	22	21	9	6	17	3	7	1	10	0	0	6	0	2	28	15	0	0	0	31	0	0	5	5	0	2	0	15	0	10	14	0	0	0	7	3	2	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	292	2	3	0	3	6	13	7	4	17	30	22	18	7	3	4	9	4	11	6	3	10	0	3	7	3	2	1	7	0	6	3	2	1	5	5	0	0	0	11	1	2	0	4	3	2	6	3	2	2	7	0	3	2	3	6	2	0	2	1	0	2	0	1					
14	Число погашенных неиспользованных открепительных удостоверений	558	12	14	10	15	15	5	17	18	12	3	4	3	9	12	6	14	14	4	23	4	4	6	29	8	7	8	4	5	5	5	9	10	8	2	0	5	15	5	17	10	10	0	15	15	8	10	0	10	5	11	5	10	5	18	7	8	5	5	5	10	5	10	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	1	0	1	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
