Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																
Дата голосования: 18.09.2016																																																																																																
																																																																																																
Наименование Избирательной комиссии:    Нижнекамская городская																																																																																																
																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																
																																																																																																
		Сумма	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241	УИК №2242	УИК №2243	УИК №2244	УИК №2245	УИК №2246	УИК №2247	УИК №2248	УИК №2249	УИК №2250	УИК №2251	УИК №2252	УИК №2253	УИК №2254	УИК №2255	УИК №2256	УИК №2257	УИК №2258	УИК №2259	УИК №2260	УИК №2261	УИК №2262	УИК №2823	УИК №8114	УИК №8115	УИК №8116	УИК №8117									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	173533	2572	2290	2039	1975	1760	1587	2041	1925	1712	2261	1638	421	710	1846	1878	2193	2194	2624	2419	2057	2263	2388	2380	2452	1813	1899	2202	2368	2321	2197	2012	2513	2036	1673	1948	2096	2175	2161	1831	1900	2011	2220	2099	2281	2180	2224	2049	2165	2196	191	1674	1644	1946	2450	2618	2550	2385	2397	2142	1921	2109	2072	2273	1170	2859	2734	2798	2618	2734	1933	2246	2820	2880	2002	1977	2506	2123	2313	2438	2854	2842	351	85	212	471									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	191300	2500	2200	2000	2000	1700	1500	2000	1800	1600	2200	1600	500	700	1700	1800	2000	2000	2500	2300	2000	2200	2300	2300	2300	1600	1800	2200	2300	2200	2000	2000	2500	2000	1600	1900	2000	2000	2000	1800	1800	2000	2100	2000	2200	2000	2200	2025	2000	2100	300	1600	1500	1900	2300	2500	2500	2300	2300	2000	1800	2000	2000	2200	1100	2700	2700	2700	2500	2500	1800	2200	2700	2800	1900	1900	2500	2000	2200	2300	2875	2800	1700	310	440	23450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	176	44									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	146310	1433	2040	1737	1776	1574	1368	1161	1711	1550	2089	1472	0	611	1613	1746	1142	1952	2338	1937	1766	1886	1260	1992	1940	1112	1515	1955	1978	2088	1932	1154	2297	1718	1415	1742	1772	1951	1923	1639	1566	1841	2010	1903	1870	1778	2058	1863	1947	1965	191	1200	1459	1802	1832	2389	2315	2136	2101	1911	1727	1863	1852	2042	1013	2479	2459	2494	1855	2315	1730	2010	2337	2089	1686	1785	2231	1906	2048	2186	2476	2471	351	20	36	427									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1833	18	10	26	25	10	60	62	31	20	15	3	421	28	14	19	18	22	22	110	32	34	28	28	18	27	27	14	12	26	25	11	15	13	5	9	10	9	20	9	13	5	28	12	13	29	15	22	5	14	0	7	20	8	9	6	17	9	54	17	7	0	19	9	5	10	6	1	12	7	7	10	12	8	13	6	61	8	10	6	6	1	0	0	0	0									
6	Число погашенных избирательных бюллетеней	42872	1049	150	237	199	116	72	777	58	30	96	125	79	61	73	35	840	26	140	253	202	280	1012	280	342	461	258	231	310	86	43	835	188	269	180	149	218	40	57	152	221	154	62	85	317	193	127	140	48	121	109	393	21	90	459	105	168	155	145	72	66	137	129	149	82	211	235	205	633	178	63	180	351	703	201	109	208	86	142	108	393	328	1349	225	228	22979									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2110	18	10	26	25	10	60	62	31	20	15	3	421	28	14	19	18	22	22	110	32	34	28	28	18	27	27	14	12	26	25	11	15	13	5	9	10	9	20	9	13	5	28	12	13	29	15	22	5	14	0	7	20	8	9	6	17	9	54	17	7	0	19	9	5	10	6	1	12	7	7	10	12	8	13	6	61	0	10	6	6	1	0	65	176	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	146291	1433	2040	1737	1776	1574	1368	1161	1711	1550	2089	1472	0	611	1613	1746	1142	1952	2338	1937	1766	1886	1260	1992	1940	1112	1515	1941	1978	2088	1932	1154	2297	1718	1415	1742	1772	1951	1923	1639	1566	1841	2010	1903	1870	1778	2058	1863	1947	1965	191	1200	1459	1802	1831	2389	2315	2136	2101	1911	1727	1863	1852	2042	1013	2479	2459	2494	1855	2315	1728	2010	2337	2089	1686	1785	2231	1906	2048	2186	2476	2470	350	20	36	427									
9	Число недействительных избирательных бюллетеней	1076	1	2	6	0	5	0	4	18	5	7	10	0	0	0	0	16	0	25	10	16	27	33	55	35	6	11	32	7	23	176	16	18	0	0	8	9	17	20	3	44	5	0	0	11	12	0	0	6	7	0	25	7	7	7	5	7	31	7	6	17	23	5	5	7	3	84	17	6	10	4	0	10	24	5	7	0	0	7	6	8	1	11	1	4	3									
10	Число действительных избирательных бюллетеней	147325	1450	2048	1757	1801	1579	1428	1219	1724	1565	2097	1465	421	639	1627	1765	1144	1974	2335	2037	1782	1893	1255	1965	1923	1133	1531	1923	1983	2091	1781	1149	2294	1731	1420	1743	1773	1943	1923	1645	1535	1841	2038	1915	1872	1795	2073	1885	1946	1972	191	1182	1472	1803	1833	2390	2325	2114	2148	1922	1717	1840	1866	2046	1011	2486	2381	2478	1861	2312	1731	2020	2339	2073	1694	1784	2292	1906	2051	2186	2474	2470	339	84	208	468									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2705	33	33	33	33	33	33	33	33	33	33	33	0	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	43	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	0	33	33	33	33	33	33	33	43	33	33	43	33	33	33	43	33	46	33	43	33	33	33	48	33	33	33	33	33	33	33	33	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1633	22	25	13	23	21	11	8	10	10	18	14	0	3	10	11	18	10	26	21	24	20	19	22	15	9	12	28	27	7	14	15	33	16	17	17	17	29	18	20	30	23	11	15	21	23	21	14	18	16	0	3	14	18	29	26	23	20	38	20	16	38	22	27	19	39	32	39	30	42	20	19	31	39	25	18	27	13	28	20	31	22	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	677	5	2	5	4	1	16	4	1	7	8	33	0	6	10	2	11	1	6	13	6	17	4	11	10	4	5	8	3	16	5	7	11	1	3	0	12	6	4	4	6	4	3	5	15	14	4	3	5	4	0	1	4	13	7	7	3	1	2	2	3	18	0	11	4	15	5	6	6	16	1	9	4	18	20	7	0	13	13	2	11	13	28	12	7	60									
14	Число погашенных неиспользованных открепительных удостоверений	1072	11	8	20	10	12	22	25	23	23	15	19	0	30	23	22	15	23	7	12	9	13	14	11	18	24	21	5	6	26	19	18	10	17	16	16	16	4	15	13	3	10	22	18	12	10	12	19	15	17	0	30	19	15	4	7	10	13	5	13	17	5	11	6	14	4	1	7	3	1	13	14	2	9	8	15	6	20	5	13	2	11	5	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	117	1	2	1	0	1	0	2	2	6	1	2	0	0	3	2	0	5	1	1	3	5	1	0	2	4	2	3	0	2	1	2	2	3	0	3	1	1	1	0	0	0	3	0	2	1	1	0	2	1	0	0	0	0	0	2	1	1	1	1	0	2	2	2	2	2	2	0	3	3	0	2	2	0	0	3	0	2	2	4	2	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	502	1	12	1	1	3	1	2	8	5	2	1	0	1	1	2	6	15	6	5	5	11	15	5	3	2	5	5	2	5	0	22	3	10	11	3	7	21	2	1	1	2	31	1	2	12	1	1	4	18	0	2	0	1	5	12	1	1	0	3	9	1	0	3	2	3	8	5	32	29	2	2	6	28	0	6	0	0	4	7	5	1	21	3	2	14									
		0.34%	0.07%	0.59%	0.06%	0.06%	0.19%	0.07%	0.16%	0.46%	0.32%	0.10%	0.07%	0.00%	0.16%	0.06%	0.11%	0.52%	0.76%	0.25%	0.24%	0.28%	0.57%	1.16%	0.25%	0.15%	0.18%	0.32%	0.26%	0.10%	0.24%	0.00%	1.89%	0.13%	0.58%	0.77%	0.17%	0.39%	1.07%	0.10%	0.06%	0.06%	0.11%	1.52%	0.05%	0.11%	0.66%	0.05%	0.05%	0.20%	0.91%	0.00%	0.17%	0.00%	0.06%	0.27%	0.50%	0.04%	0.05%	0.00%	0.16%	0.52%	0.05%	0.00%	0.15%	0.20%	0.12%	0.32%	0.20%	1.71%	1.25%	0.12%	0.10%	0.26%	1.34%	0.00%	0.34%	0.00%	0.00%	0.19%	0.32%	0.20%	0.04%	6.00%	3.53%	0.94%	2.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	5294	74	44	32	17	15	124	23	41	15	5	13	8	8	97	9	11	31	187	41	143	28	61	157	14	23	24	39	10	4	15	42	184	36	31	139	36	51	154	14	123	17	40	10	175	26	9	13	5	28	3	95	147	27	20	19	232	211	215	10	15	180	19	195	6	199	17	48	65	185	86	15	237	102	20	178	28	38	1	24	190	14	2	2	2	1									
		3.57%	5.10%	2.15%	1.82%	0.94%	0.95%	8.68%	1.88%	2.35%	0.96%	0.24%	0.88%	1.90%	1.25%	5.96%	0.51%	0.95%	1.57%	7.92%	2.00%	7.95%	1.46%	4.74%	7.77%	0.72%	2.02%	1.56%	1.99%	0.50%	0.19%	0.77%	3.61%	7.96%	2.08%	2.18%	7.94%	2.02%	2.60%	7.93%	0.85%	7.79%	0.92%	1.96%	0.52%	9.29%	1.44%	0.43%	0.69%	0.26%	1.41%	1.57%	7.87%	9.94%	1.49%	1.09%	0.79%	9.95%	9.84%	9.98%	0.52%	0.87%	9.66%	1.02%	9.51%	0.59%	7.99%	0.69%	1.92%	3.48%	7.97%	4.96%	0.74%	10.09%	4.86%	1.18%	9.94%	1.22%	1.99%	0.05%	1.09%	7.66%	0.57%	0.57%	2.35%	0.94%	0.21%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	604	7	2	2	2	5	1	1	6	15	4	1	0	2	1	2	26	17	9	19	3	20	56	9	8	10	10	3	5	10	1	23	4	8	24	12	9	30	4	1	1	3	20	1	4	31	3	1	7	15	0	4	0	1	3	2	1	1	0	1	5	3	0	2	1	4	0	3	28	23	1	2	3	4	0	6	0	0	8	12	5	2	10	2	4	5									
		0.41%	0.48%	0.10%	0.11%	0.11%	0.32%	0.07%	0.08%	0.34%	0.96%	0.19%	0.07%	0.00%	0.31%	0.06%	0.11%	2.24%	0.86%	0.38%	0.93%	0.17%	1.04%	4.35%	0.45%	0.41%	0.88%	0.65%	0.15%	0.25%	0.47%	0.05%	1.97%	0.17%	0.46%	1.69%	0.69%	0.51%	1.53%	0.21%	0.06%	0.06%	0.16%	0.98%	0.05%	0.21%	1.72%	0.14%	0.05%	0.36%	0.76%	0.00%	0.33%	0.00%	0.06%	0.16%	0.08%	0.04%	0.05%	0.00%	0.05%	0.29%	0.16%	0.00%	0.10%	0.10%	0.16%	0.00%	0.12%	1.50%	0.99%	0.06%	0.10%	0.13%	0.19%	0.00%	0.34%	0.00%	0.00%	0.39%	0.55%	0.20%	0.08%	2.86%	2.35%	1.89%	1.06%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	122752	1033	1536	1634	1712	1497	1095	1104	1279	1487	2013	1399	404	594	1220	1661	894	1481	1704	1507	1319	1564	738	1434	1789	986	1424	1590	1892	1986	1700	603	1698	1535	1051	1272	1576	1483	1442	1581	1167	1767	1529	1835	1431	1519	1988	1790	1863	1459	178	875	1075	1683	1684	2263	1688	1565	1568	1828	1631	1319	1785	1467	948	1815	2214	2273	1418	1711	1350	1939	1731	1581	1592	1302	2200	1820	1848	1618	1864	2321	123	18	89	103									
		82.72%	71.19%	74.93%	92.68%	95.06%	94.51%	76.68%	90.27%	73.42%	94.71%	95.67%	94.85%	95.96%	92.96%	74.98%	94.11%	77.07%	75.03%	72.20%	73.62%	73.36%	81.46%	57.30%	70.99%	91.37%	86.57%	92.35%	81.33%	95.08%	93.95%	86.87%	51.76%	73.44%	88.68%	74.01%	72.64%	88.44%	75.66%	74.22%	95.93%	73.91%	95.72%	75.02%	95.82%	75.99%	84.06%	95.90%	94.96%	95.44%	73.72%	93.19%	72.49%	72.68%	92.98%	91.52%	94.49%	72.38%	72.96%	72.76%	94.81%	94.06%	70.80%	95.40%	71.53%	93.12%	72.92%	89.82%	91.10%	75.95%	73.69%	77.81%	95.99%	73.69%	75.39%	93.70%	72.70%	95.99%	95.49%	89.80%	73.81%	75.10%	93.93%	35.14%	21.18%	41.98%	21.87%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	288	1	12	1	1	0	1	1	3	1	1	1	0	1	1	2	5	13	4	9	2	8	9	2	3	3	3	4	2	3	1	13	4	1	1	6	8	6	2	1	1	1	10	1	1	5	1	1	1	0	0	2	0	2	3	3	1	1	0	2	2	0	1	3	2	2	0	9	13	24	1	1	0	6	0	2	0	2	3	11	2	1	12	2	1	12									
		0.19%	0.07%	0.59%	0.06%	0.06%	0.00%	0.07%	0.08%	0.17%	0.06%	0.05%	0.07%	0.00%	0.16%	0.06%	0.11%	0.43%	0.66%	0.17%	0.44%	0.11%	0.42%	0.70%	0.10%	0.15%	0.26%	0.19%	0.20%	0.10%	0.14%	0.05%	1.12%	0.17%	0.06%	0.07%	0.34%	0.45%	0.31%	0.10%	0.06%	0.06%	0.05%	0.49%	0.05%	0.05%	0.28%	0.05%	0.05%	0.05%	0.00%	0.00%	0.17%	0.00%	0.11%	0.16%	0.13%	0.04%	0.05%	0.00%	0.10%	0.12%	0.00%	0.05%	0.15%	0.20%	0.08%	0.00%	0.36%	0.70%	1.03%	0.06%	0.05%	0.00%	0.29%	0.00%	0.11%	0.00%	0.10%	0.15%	0.50%	0.08%	0.04%	3.43%	2.35%	0.47%	2.55%									
24	"6. Политическая партия ""Гражданская Платформа"""	232	3	12	1	1	0	1	1	11	0	3	1	0	1	1	2	9	10	3	3	2	1	1	3	1	1	2	6	1	2	0	2	3	2	1	5	6	2	2	1	1	1	14	1	3	5	1	1	2	0	0	5	0	1	1	5	1	2	0	0	0	2	2	2	1	10	0	0	19	21	1	1	1	5	0	2	0	2	0	0	5	1	2	2	0	2									
		0.16%	0.21%	0.59%	0.06%	0.06%	0.00%	0.07%	0.08%	0.63%	0.00%	0.14%	0.07%	0.00%	0.16%	0.06%	0.11%	0.78%	0.51%	0.13%	0.15%	0.11%	0.05%	0.08%	0.15%	0.05%	0.09%	0.13%	0.31%	0.05%	0.09%	0.00%	0.17%	0.13%	0.12%	0.07%	0.29%	0.34%	0.10%	0.10%	0.06%	0.06%	0.05%	0.69%	0.05%	0.16%	0.28%	0.05%	0.05%	0.10%	0.00%	0.00%	0.41%	0.00%	0.06%	0.05%	0.21%	0.04%	0.09%	0.00%	0.00%	0.00%	0.11%	0.11%	0.10%	0.10%	0.40%	0.00%	0.00%	1.02%	0.90%	0.06%	0.05%	0.04%	0.24%	0.00%	0.11%	0.00%	0.10%	0.00%	0.00%	0.20%	0.04%	0.57%	2.35%	0.00%	0.42%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1700	54	12	3	2	3	1	10	26	3	8	1	0	3	1	2	66	20	6	44	17	108	153	9	42	11	15	10	4	3	3	145	4	17	65	6	11	97	5	1	3	1	15	1	26	30	5	1	3	33	0	48	0	4	19	22	1	3	0	4	12	4	4	7	3	45	19	15	33	23	8	3	20	43	0	5	0	2	5	143	2	12	24	8	26	24									
		1.15%	3.72%	0.59%	0.17%	0.11%	0.19%	0.07%	0.82%	1.49%	0.19%	0.38%	0.07%	0.00%	0.47%	0.06%	0.11%	5.69%	1.01%	0.25%	2.15%	0.95%	5.63%	11.88%	0.45%	2.15%	0.97%	0.97%	0.51%	0.20%	0.14%	0.15%	12.45%	0.17%	0.98%	4.58%	0.34%	0.62%	4.95%	0.26%	0.06%	0.19%	0.05%	0.74%	0.05%	1.38%	1.66%	0.24%	0.05%	0.15%	1.67%	0.00%	3.98%	0.00%	0.22%	1.03%	0.92%	0.04%	0.14%	0.00%	0.21%	0.69%	0.21%	0.21%	0.34%	0.29%	1.81%	0.77%	0.60%	1.77%	0.99%	0.46%	0.15%	0.85%	2.05%	0.00%	0.28%	0.00%	0.10%	0.24%	6.52%	0.08%	0.49%	6.86%	9.41%	12.26%	5.10%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	436	12	12	2	2	0	1	3	8	0	3	1	0	1	1	2	7	14	8	7	3	5	10	1	3	1	5	4	2	4	3	18	2	2	2	3	13	11	4	1	1	1	10	1	10	5	1	1	1	0	0	2	0	5	1	4	1	4	0	1	0	3	2	3	3	10	0	4	37	20	1	1	3	5	0	2	0	2	0	1	7	1	25	9	10	57									
		0.29%	0.83%	0.59%	0.11%	0.11%	0.00%	0.07%	0.25%	0.46%	0.00%	0.14%	0.07%	0.00%	0.16%	0.06%	0.11%	0.60%	0.71%	0.34%	0.34%	0.17%	0.26%	0.78%	0.05%	0.15%	0.09%	0.32%	0.20%	0.10%	0.19%	0.15%	1.55%	0.09%	0.12%	0.14%	0.17%	0.73%	0.56%	0.21%	0.06%	0.06%	0.05%	0.49%	0.05%	0.53%	0.28%	0.05%	0.05%	0.05%	0.00%	0.00%	0.17%	0.00%	0.28%	0.05%	0.17%	0.04%	0.19%	0.00%	0.05%	0.00%	0.16%	0.11%	0.15%	0.29%	0.40%	0.00%	0.16%	1.98%	0.86%	0.06%	0.05%	0.13%	0.24%	0.00%	0.11%	0.00%	0.10%	0.00%	0.05%	0.28%	0.04%	7.14%	10.59%	4.72%	12.10%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	345	3	12	1	1	0	1	1	9	0	5	1	0	2	1	2	7	11	4	4	5	9	6	11	2	1	3	6	1	2	0	10	5	1	1	7	3	12	4	1	2	1	10	1	8	13	2	1	1	0	0	3	0	2	2	3	1	2	0	1	0	1	1	2	1	8	0	0	27	12	1	1	0	12	0	3	0	2	2	3	2	4	11	5	16	23									
		0.23%	0.21%	0.59%	0.06%	0.06%	0.00%	0.07%	0.08%	0.52%	0.00%	0.24%	0.07%	0.00%	0.31%	0.06%	0.11%	0.60%	0.56%	0.17%	0.20%	0.28%	0.47%	0.47%	0.54%	0.10%	0.09%	0.19%	0.31%	0.05%	0.09%	0.00%	0.86%	0.22%	0.06%	0.07%	0.40%	0.17%	0.61%	0.21%	0.06%	0.13%	0.05%	0.49%	0.05%	0.42%	0.72%	0.10%	0.05%	0.05%	0.00%	0.00%	0.25%	0.00%	0.11%	0.11%	0.13%	0.04%	0.09%	0.00%	0.05%	0.00%	0.05%	0.05%	0.10%	0.10%	0.32%	0.00%	0.00%	1.45%	0.52%	0.06%	0.05%	0.00%	0.57%	0.00%	0.17%	0.00%	0.10%	0.10%	0.14%	0.08%	0.16%	3.14%	5.88%	7.55%	4.88%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	256	1	12	1	2	0	1	1	10	0	1	1	0	1	1	2	9	16	4	5	4	0	5	2	1	1	4	5	1	2	2	2	4	2	1	2	5	1	4	1	1	1	12	1	2	5	1	1	1	0	0	2	0	1	1	4	1	3	0	2	0	3	1	2	1	7	0	1	35	20	1	2	0	8	0	2	0	2	1	2	1	7	1	0	1	2									
		0.17%	0.07%	0.59%	0.06%	0.11%	0.00%	0.07%	0.08%	0.57%	0.00%	0.05%	0.07%	0.00%	0.16%	0.06%	0.11%	0.78%	0.81%	0.17%	0.24%	0.22%	0.00%	0.39%	0.10%	0.05%	0.09%	0.26%	0.26%	0.05%	0.09%	0.10%	0.17%	0.17%	0.12%	0.07%	0.11%	0.28%	0.05%	0.21%	0.06%	0.06%	0.05%	0.59%	0.05%	0.11%	0.28%	0.05%	0.05%	0.05%	0.00%	0.00%	0.17%	0.00%	0.06%	0.05%	0.17%	0.04%	0.14%	0.00%	0.10%	0.00%	0.16%	0.05%	0.10%	0.10%	0.28%	0.00%	0.04%	1.87%	0.86%	0.06%	0.10%	0.00%	0.38%	0.00%	0.11%	0.00%	0.10%	0.05%	0.09%	0.04%	0.28%	0.29%	0.00%	0.47%	0.42%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	767	4	12	2	1	0	1	2	23	2	4	1	0	2	1	3	4	19	5	8	5	6	15	12	3	3	3	3	2	4	2	15	6	2	3	6	9	18	2	1	2	1	11	1	6	18	1	1	4	66	0	4	0	2	5	2	1	2	0	3	0	1	1	4	2	6	3	1	35	17	1	1	4	7	0	4	0	2	2	11	8	20	69	24	22	178									
