Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Батыревская																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	26112	1139	1086	931	713	1268	1304	1126	281	453	477	334	649	221	365	748	374	551	216	415	504	147	328	745	472	469	493	682	69	279	437	273	470	299	101	37	175	522	323	172	182	745	378	770	302	246	266	225	1181	857	492	434	386									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	27115	1184	1144	995	702	1290	1320	1130	278	485	504	329	652	227	377	738	413	562	218	435	518	149	339	762	479	501	502	735	79	298	460	286	517	305	107	43	185	539	330	174	193	731	376	793	329	274	295	253	1235	894	588	452	411									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21964	969	775	766	542	1201	1199	1016	270	387	403	275	615	205	287	554	308	509	186	389	444	121	287	607	369	398	380	503	56	211	385	217	381	256	92	33	153	450	226	152	164	603	284	635	246	229	211	191	976	737	424	349	338									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1585	38	33	29	51	39	35	36	7	26	49	19	34	16	26	43	32	20	20	26	42	22	30	34	31	37	30	66	11	23	28	24	49	17	6	3	18	65	15	14	6	34	12	56	12	14	31	18	55	81	49	51	22									
6	Число погашенных избирательных бюллетеней	3566	177	336	200	109	50	86	78	1	72	52	35	3	6	64	141	73	33	12	20	32	6	22	121	79	66	92	166	12	64	47	45	87	32	9	7	14	24	89	8	23	94	80	102	71	31	53	44	204	76	115	52	51									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1585	38	33	29	51	39	35	36	7	26	49	19	34	16	26	43	32	20	20	26	42	22	30	34	31	37	30	66	11	23	28	24	49	17	6	3	18	65	15	14	6	34	12	56	12	14	31	18	55	81	49	51	22									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21960	969	775	766	541	1198	1199	1016	270	387	403	275	615	205	287	554	308	509	186	389	444	121	287	607	369	398	380	503	56	211	385	217	381	256	92	33	153	450	226	152	164	603	284	635	246	229	211	191	976	737	424	349	338									
9	Число недействительных избирательных бюллетеней	726	26	22	24	19	35	58	41	3	18	16	5	18	14	18	18	9	7	2	21	3	6	3	11	9	31	21	26	0	18	5	12	14	3	5	1	8	0	17	2	0	28	20	8	8	5	5	17	33	7	7	13	6									
10	Число действительных избирательных бюллетеней	22819	981	786	771	573	1202	1176	1011	274	395	436	289	631	207	295	579	331	522	204	394	483	137	314	630	391	404	389	543	67	216	408	229	416	270	93	35	163	515	224	164	170	609	276	683	250	238	237	192	998	811	466	387	354									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	996	48	58	64	37	37	30	28	4	28	25	10	15	11	10	34	26	21	5	21	21	7	9	29	9	19	12	22	5	8	14	7	27	13	8	5	11	24	11	9	10	40	2	13	13	8	13	4	46	15	21	12	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	996	48	58	64	37	37	30	28	4	28	25	10	15	11	10	34	26	21	5	21	21	7	9	29	9	19	12	22	5	8	14	7	27	13	8	5	11	24	11	9	10	40	2	13	13	8	13	4	46	15	21	12	17									
