Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Батецкая																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4632	1007	1044	432	343	279	406	194	197	472	258									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4700	1041	1057	448	345	277	406	188	191	479	268									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1808	436	421	149	112	133	153	77	77	175	75									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	648	128	84	47	76	20	72	48	32	72	69									
6	Число погашенных избирательных бюллетеней	2244	477	552	252	157	124	181	63	82	232	124									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	648	128	84	47	76	20	72	48	32	72	69									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1808	436	421	149	112	133	153	77	77	175	75									
9	Число недействительных избирательных бюллетеней	50	9	16	7	0	3	5	1	2	6	1									
10	Число действительных избирательных бюллетеней	2406	555	489	189	188	150	220	124	107	241	143									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	145	42	27	11	9	7	10	5	5	17	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	78	35	13	11	1	0	0	0	0	10	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	6	5	3	2	2	7	7	4	13	7									
14	Число погашенных неиспользованных открепительных удостоверений	67	7	14	0	8	7	10	5	5	7	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	2	4	2	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0									
																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	36	7	8	3	1	1	1	0	7	5	3									
		1.47%	1.24%	1.58%	1.53%	0.53%	0.65%	0.44%	0.00%	6.42%	2.02%	2.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	53	12	7	6	6	6	3	5	2	2	4									
		2.16%	2.13%	1.39%	3.06%	3.19%	3.92%	1.33%	4.00%	1.83%	0.81%	2.78%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	54	13	7	3	3	2	6	6	3	6	5									
		2.20%	2.30%	1.39%	1.53%	1.60%	1.31%	2.67%	4.80%	2.75%	2.43%	3.47%									
