Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																	
Дата голосования: 04.12.2011																																																																	
																																																																	
Наименование Избирательной комиссии:    Оренбургская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №1125	УИК №1126	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1824	УИК №1829					
1	"Число избирателей, внесенных в список избирателей"	57042	2066	385	1490	928	776	322	171	1757	1124	310	2915	1842	451	489	913	314	369	179	799	1129	1061	214	273	404	635	446	337	421	268	880	1118	537	878	925	559	1552	916	1374	1249	1555	1022	1404	640	1333	1055	2959	2141	852	973	654	223	2258	536	2385	1166	1159	1597	354					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57163	2053	390	1491	936	776	336	179	1715	1049	307	2879	1806	863	493	913	319	369	173	785	1135	1068	213	274	408	639	450	327	918	262	889	1121	543	890	938	559	1615	866	1287	1234	1542	1005	1424	632	1328	1051	2970	2052	836	994	653	231	2137	421	2373	1130	1149	1426	341					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	27311	803	138	791	444	316	142	93	751	643	129	1452	858	434	235	513	150	154	73	340	527	443	103	126	207	266	169	116	397	110	373	525	234	324	410	295	655	638	703	466	742	497	650	251	705	438	1269	1005	281	478	315	123	1131	221	1241	736	719	831	132					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1483	38	40	46	33	22	14	3	30	6	2	42	13	17	10	42	19	11	12	37	47	56	14	18	5	22	10	8	24	24	31	15	18	22	34	13	19	7	10	28	46	26	24	7	20	16	53	42	25	30	7	7	45	114	47	21	33	31	27					
6	Число погашенных избирательных бюллетеней	28369	1212	212	654	459	438	180	83	934	400	176	1385	935	412	248	358	150	204	88	408	561	569	96	130	196	351	271	203	497	128	485	581	291	544	494	251	941	221	574	740	754	482	750	374	603	597	1648	1005	530	486	331	101	961	86	1085	373	397	564	182					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1483	38	40	46	33	22	14	3	30	6	2	42	13	17	10	42	19	11	12	37	47	56	14	18	5	22	10	8	24	24	31	15	18	22	34	13	19	7	10	28	46	26	24	7	20	16	53	42	25	30	7	7	45	114	47	21	33	31	27					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27309	803	138	791	444	316	142	93	751	643	129	1452	858	434	235	513	150	154	73	340	526	443	103	126	207	266	169	116	397	110	373	525	234	324	410	295	655	638	703	466	742	497	650	251	705	438	1269	1005	281	478	315	123	1131	221	1241	736	718	831	132					
9	Число недействительных избирательных бюллетеней	520	87	42	18	6	5	1	0	7	7	3	14	8	3	3	13	3	3	0	6	4	1	5	1	3	9	6	0	3	1	2	4	2	2	8	5	11	8	13	8	25	5	9	10	16	7	10	6	4	5	6	0	18	10	20	12	21	9	2					
10	Число действительных избирательных бюллетеней	28272	754	136	819	471	333	155	96	774	642	128	1480	863	448	242	542	166	162	85	371	569	498	112	143	209	279	173	124	418	133	402	536	250	344	436	303	663	637	700	486	763	518	665	248	709	447	1312	1041	302	503	316	130	1158	325	1268	745	730	853	157					
