Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																		
Дата голосования: 02.12.2007																																																																		
																																																																		
Наименование Избирательной комиссии:    Оренбургская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1339	УИК №1829					
1	"Число избирателей, внесенных в списки избирателей"	52842	1871	313	100	1324	823	698	300	153	1701	808	259	2980	1371	803	463	872	310	332	174	744	1026	867	180	242	390	601	430	340	859	167	843	1069	477	849	897	529	2701	604	1259	931	1125	933	1365	598	1260	1014	2142	2169	1992	891	588	208	2027	511	1869	978	1103	117	292					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50721	1751	303	98	1281	785	677	295	148	1513	741	262	2920	1300	785	453	831	312	319	166	735	957	845	176	236	379	602	430	283	854	157	837	1064	480	840	886	539	2535	575	1250	930	1124	878	1307	566	1216	1007	1978	1958	1956	836	559	193	1958	434	1798	949	1087	112	275					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28939	1033	162	56	812	534	389	165	92	721	475	122	1553	672	515	310	512	183	190	98	382	641	614	133	199	269	270	214	192	427	61	409	542	238	406	486	327	1388	424	625	438	548	539	763	343	720	506	1019	1289	1017	509	316	147	1073	235	1022	631	732	106	145					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2369	59	20	5	49	52	17	19	0	248	8	4	34	67	18	10	33	15	23	10	86	48	44	0	0	23	71	30	34	79	52	45	42	19	11	43	18	84	4	36	36	51	40	54	16	20	38	54	75	62	38	30	9	80	114	95	11	34	0	52					
6	Число погашенных избирательных бюллетеней	19413	659	121	37	420	199	271	111	56	544	258	136	1333	561	252	133	286	114	106	58	267	268	187	43	37	87	261	186	57	348	44	383	480	223	423	357	194	1063	147	589	456	525	299	490	207	476	463	905	594	877	289	213	37	805	85	681	307	321	6	78					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2369	59	20	5	49	52	17	19	0	248	8	4	34	67	18	10	33	15	23	10	86	48	44	0	0	23	71	30	34	79	52	45	42	19	11	43	18	84	4	36	36	51	40	54	16	20	38	54	75	62	38	30	9	80	114	95	11	34	0	52					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28899	1033	162	56	811	534	389	165	92	721	475	122	1519	672	515	310	512	183	189	98	382	641	614	133	199	269	270	214	192	427	61	409	542	238	406	486	327	1388	424	625	438	548	539	763	343	720	506	1016	1289	1017	509	316	147	1072	235	1022	631	732	106	145					
9	Число недействительных избирательных бюллетеней	274	12	1	3	9	3	4	4	0	5	2	1	15	6	2	8	5	5	1	0	5	6	5	1	3	6	5	3	2	7	1	5	2	5	5	9	1	12	3	3	1	5	0	10	0	1	5	7	16	11	3	2	4	8	1	7	1	17	0	0					
10	Число действительных избирательных бюллетеней	30994	1080	181	58	851	583	402	180	92	964	481	125	1538	733	531	312	540	193	211	108	463	683	653	132	196	286	336	241	224	499	112	449	582	252	412	520	344	1460	425	658	473	594	579	807	359	739	539	1063	1348	1068	544	344	152	1144	348	1110	641	749	106	197					
