Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Ядринская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731					
1	"Число избирателей, внесенных в списки"	24849	1336	2697	2694	247	518	232	121	502	693	332	531	382	217	542	508	310	374	687	592	220	324	261	397	274	852	553	266	250	374	274	539	290	307	255	81	225	515	490	459	408	355	680	284	332	212	200	594	412	334	317					
2	"Число бюллетеней, полученных участковыми комиссиями"	23700	1300	2600	2540	230	500	220	110	490	650	300	500	350	200	500	450	300	350	650	550	200	300	250	360	250	850	550	250	250	350	250	500	260	300	250	80	230	500	480	450	400	350	700	280	320	200	200	550	400	300	300					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	13888	596	1417	1414	132	353	120	49	254	384	182	285	233	123	311	222	157	192	391	321	148	182	139	235	160	522	315	181	172	243	139	337	186	208	148	61	150	284	359	294	234	199	409	134	182	115	97	319	211	182	207					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	978	27	27	16	15	20	9	17	46	65	23	19	11	14	66	35	16	31	24	45	18	12	19	12	12	39	0	8	9	20	36	4	2	24	22	3	0	29	4	17	20	15	6	20	5	0	22	11	31	9	23					
6	Число погашенных бюллетеней	8834	677	1156	1110	83	127	91	44	190	201	95	196	106	63	123	193	127	127	235	184	34	106	92	113	78	289	235	61	69	87	75	159	72	68	80	16	80	187	117	139	146	136	285	126	133	85	81	220	158	109	70					
7	Число бюллетеней в переносных ящиках для голосования	978	27	27	16	15	20	9	17	46	65	23	19	11	14	66	35	16	31	24	45	18	12	19	12	12	39	0	8	9	20	36	4	2	24	22	3	0	29	4	17	20	15	6	20	5	0	22	11	31	9	23					
8	Число бюллетеней в стационарных ящиках для голосования	13876	596	1417	1402	132	353	120	49	254	384	182	285	233	123	311	222	157	192	391	321	148	182	139	235	160	522	315	181	172	243	139	337	186	208	148	61	150	284	359	294	234	199	409	134	182	115	97	319	211	182	207					
9	Число недействительных бюллетеней	482	21	28	37	3	15	8	4	6	12	2	4	3	7	6	3	15	4	10	34	9	5	12	16	12	23	19	2	4	2	7	3	10	9	7	3	3	12	12	8	3	9	8	7	8	2	7	14	5	9	10					
10	Число действительных бюллетеней	14372	602	1416	1381	144	358	121	62	294	437	203	300	241	130	371	254	158	219	405	332	157	189	146	231	160	538	296	187	177	261	168	338	178	223	163	61	147	301	351	303	251	205	407	147	179	113	112	316	237	182	220					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	627	17	37	31	10	15	10	10	10	18	10	15	10	10	15	10	10	10	18	15	10	10	10	10	10	18	15	10	10	10	10	15	10	10	10	10	10	15	10	10	10	10	18	10	10	10	10	15	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	143	9	36	26	2	3	0	0	2	1	2	2	1	1	4	0	1	2	3	3	0	2	0	0	1	7	0	2	1	5	0	0	0	1	0	1	5	2	0	0	0	4	9	0	0	0	1	2	0	1	1					
