Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    район Гольяново 																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975					
1	"Число избирателей, внесенных в список"	107338	2726	2650	2446	2821	2513	2627	2744	2517	2684	2428	2102	2117	2160	2381	2431	2626	2335	2371	2367	2362	2834	2643	2494	2173	2167	2724	2781	2881	1435	2743	2806	2725	2806	2704	2786	2846	2512	2517	2779	2876	2855	2843					
2	Число полученных избирательных бюллетеней	100400	2500	2500	2300	2600	2300	2500	2500	2300	2500	2300	2000	2000	2000	2200	2200	2400	2200	2200	2200	2200	2600	2300	2300	2000	2000	2500	2600	2700	2500	2500	2600	2500	2600	2500	2600	2600	2300	2500	2500	2600	2600	2600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	55740	1477	1257	1230	1419	1260	1314	1474	1369	1350	1141	1132	1143	1186	1183	1224	1530	1124	1250	1195	1227	1338	1360	1212	1018	1086	1356	1454	1409	1408	1432	1481	1434	1408	1480	1434	1490	1270	1373	1374	1420	1459	1559					
5	"Число избирательных бюллетеней, выданных вне помещения"	1355	32	37	27	38	34	36	22	43	54	39	45	50	40	36	35	28	35	16	24	16	29	24	27	30	27	18	27	28	27	47	50	52	50	27	48	17	25	42	23	18	11	21					
6	Число погашенных избирательных бюллетеней	43305	991	1206	1043	1143	1006	1150	1004	888	1096	1120	823	807	774	981	941	842	1041	934	981	957	1233	916	1061	952	887	1126	1119	1263	1065	1021	1069	1014	1142	993	1118	1093	1005	1085	1103	1162	1130	1020					
7	Число избирательных бюллетеней в переносных ящиках	1354	32	37	27	38	34	36	22	43	54	39	45	50	40	36	35	28	35	16	24	16	29	24	27	30	27	17	27	28	27	47	50	52	50	27	48	17	25	42	23	18	11	21					
8	Число бюллетеней в стационарных ящиках для голосования	55514	1474	1249	1227	1419	1245	1303	1460	1351	1344	1141	1127	1143	1146	1183	1224	1525	1124	1249	1191	1227	1336	1360	1210	1018	1086	1346	1454	1409	1405	1432	1471	1434	1406	1480	1432	1489	1249	1351	1368	1409	1459	1558					
9	Число недействительных избирательных бюллетеней	515	8	14	10	10	65	6	14	9	7	7	8	10	14	7	14	14	12	6	8	10	5	8	11	9	14	7	11	7	12	17	6	11	10	13	20	28	8	7	9	10	21	18					
10	Число действительных избирательных бюллетеней	56353	1498	1272	1244	1447	1214	1333	1468	1385	1391	1173	1164	1183	1172	1212	1245	1539	1147	1259	1207	1233	1360	1376	1226	1039	1099	1356	1470	1430	1420	1462	1515	1475	1446	1494	1460	1478	1266	1386	1382	1417	1449	1561					
11	Число полученных открепительных  удостоверений	2100	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50					
12	Число выданных открепительных удостоверений	1204	15	25	29	35	43	32	29	28	30	25	28	29	27	16	18	32	28	38	24	35	24	26	29	27	25	23	25	34	28	23	29	44	34	28	31	31	27	29	30	28	26	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	762	30	21	10	3	23	38	32	26	13	10	7	29	27	11	11	25	5	29	27	10	14	21	19	12	5	18	23	17	21	16	23	10	22	24	23	21	11	20	26	11	18	0					
14	Число неиспользованных открепительных удостоверений	896	35	25	21	15	7	18	21	22	20	25	22	21	23	34	32	18	22	12	26	15	26	24	21	23	25	27	25	16	22	27	21	6	16	22	19	19	23	21	20	22	24	13					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	4	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	3585	96	76	69	90	71	80	91	95	101	67	76	104	80	69	95	116	100	91	73	63	68	90	69	42	53	106	76	74	90	90	90	115	97	115	66	125	93	94	90	83	72	84					
		6.30%	6.37%	5.91%	5.50%	6.18%	5.55%	5.97%	6.14%	6.81%	7.22%	5.68%	6.48%	8.72%	6.75%	5.66%	7.55%	7.47%	8.63%	7.19%	6.01%	5.07%	4.98%	6.50%	5.58%	4.01%	4.76%	7.78%	5.13%	5.15%	6.28%	6.09%	5.92%	7.74%	6.66%	7.63%	4.46%	8.30%	7.30%	6.75%	6.47%	5.82%	4.90%	5.32%					
19	. Малышкин Олег Александрович	653	16	21	17	27	15	9	17	13	18	7	17	7	9	8	7	14	14	8	16	17	15	14	18	11	12	22	22	22	17	15	24	16	10	19	20	15	9	19	15	22	8	31					
		1.15%	1.06%	1.63%	1.36%	1.85%	1.17%	0.67%	1.15%	0.93%	1.29%	0.59%	1.45%	0.59%	0.76%	0.66%	0.56%	0.90%	1.21%	0.63%	1.32%	1.37%	1.10%	1.01%	1.46%	1.05%	1.08%	1.61%	1.49%	1.53%	1.19%	1.01%	1.58%	1.08%	0.69%	1.26%	1.35%	1.00%	0.71%	1.36%	1.08%	1.54%	0.54%	1.96%					
20	. Миронов Сергей Михайлович	342	8	3	8	11	7	9	9	7	9	8	12	12	7	4	5	9	7	15	8	12	10	7	11	8	7	10	6	8	5	3	14	10	8	11	6	5	9	8	3	8	8	7					
		0.60%	0.53%	0.23%	0.64%	0.75%	0.55%	0.67%	0.61%	0.50%	0.64%	0.68%	1.02%	1.01%	0.59%	0.33%	0.40%	0.58%	0.60%	1.19%	0.66%	0.97%	0.73%	0.51%	0.89%	0.76%	0.63%	0.73%	0.41%	0.56%	0.35%	0.20%	0.92%	0.67%	0.55%	0.73%	0.41%	0.33%	0.71%	0.57%	0.22%	0.56%	0.54%	0.44%					
21	. Путин Владимир Владимирович	39813	1058	916	913	990	881	945	1051	942	963	827	805	772	769	857	799	1000	752	842	852	875	1003	1047	897	777	761	964	1078	1014	982	1037	1025	1020	1081	1037	1116	1034	909	973	995	1061	1048	1145					
		70.01%	70.25%	71.23%	72.81%	67.95%	68.88%	70.58%	70.92%	67.58%	68.88%	70.08%	68.69%	64.71%	64.84%	70.30%	63.46%	64.39%	64.88%	66.56%	70.12%	70.39%	73.48%	75.65%	72.51%	74.14%	68.37%	70.73%	72.79%	70.56%	68.58%	70.11%	67.39%	68.64%	74.24%	68.81%	75.41%	68.66%	71.35%	69.85%	71.53%	74.35%	71.29%	72.51%					
22	. Хакамада Ирина Муцуовна	4187	118	100	79	116	81	125	108	109	91	105	100	122	101	128	133	145	86	114	95	87	76	66	79	58	109	69	87	106	104	98	143	111	87	106	83	99	81	104	76	94	119	89					
		7.36%	7.84%	7.78%	6.30%	7.96%	6.33%	9.34%	7.29%	7.82%	6.51%	8.90%	8.53%	10.23%	8.52%	10.50%	10.56%	9.34%	7.42%	9.01%	7.82%	7.00%	5.57%	4.77%	6.39%	5.53%	9.79%	5.06%	5.87%	7.38%	7.26%	6.63%	9.40%	7.47%	5.98%	7.03%	5.61%	6.57%	6.36%	7.47%	5.46%	6.59%	8.10%	5.64%					
23	. Харитонов Николай Михайлович	4305	128	80	79	123	95	93	112	128	115	80	91	96	115	86	111	150	113	110	85	108	110	83	86	82	89	79	118	108	111	111	117	116	94	125	89	101	102	100	114	75	96	101					
