Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																
Дата голосования: 02.12.2007																
																
Наименование Избирательной комиссии:    Арамильская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108					
1	"Число избирателей, внесенных в списки избирателей"	13546	1453	1241	2850	2477	2692	508	756	818	751					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	13000	1350	1200	2700	2450	2650	400	750	800	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	6725	642	706	1323	1190	1384	187	396	464	433					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	361	44	18	92	39	32	71	32	11	22					
6	Число погашенных избирательных бюллетеней	5914	664	476	1285	1221	1234	142	322	325	245					
7	Число избирательных бюллетеней в переносных ящиках для голосования	361	44	18	92	39	32	71	32	11	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6724	642	706	1323	1190	1383	187	396	464	433					
9	Число недействительных избирательных бюллетеней	59	9	6	5	12	12	2	6	5	2					
10	Число действительных избирательных бюллетеней	7026	677	718	1410	1217	1403	256	422	470	453					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	195	21	20	24	33	34	8	15	20	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	185	18	20	24	30	30	8	15	20	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	122	21	13	30	10	11	11	7	4	15					
14	Число погашенных неиспользованных открепительных удостоверений	10	3	0	0	3	4	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	1	2	0	1	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
																
18	1.Политическая партия «Аграрная партия России»	96	13	6	25	14	20	1	6	5	6					
		1.35%	1.90%	0.83%	1.77%	1.14%	1.41%	0.39%	1.40%	1.05%	1.32%					
19	2.Всероссийская политическая партия «Гражданская Сила»	324	69	25	93	49	55	3	13	10	7					
		4.57%	10.06%	3.45%	6.57%	3.99%	3.89%	1.16%	3.04%	2.11%	1.54%					
20	3.Политическая партия «Демократическая партия России»	5	0	0	4	0	0	0	0	1	0					
		0.07%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	361	35	28	68	58	82	7	24	29	30					
		5.10%	5.10%	3.87%	4.81%	4.72%	5.80%	2.71%	5.61%	6.11%	6.59%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	62	3	1	27	12	13	0	2	4	0					
		0.88%	0.44%	0.14%	1.91%	0.98%	0.92%	0.00%	0.47%	0.84%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	31	2	5	6	5	3	1	5	2	2					
		0.44%	0.29%	0.69%	0.42%	0.41%	0.21%	0.39%	1.17%	0.42%	0.44%					
24	7.Политическая партия «Либерально-демократическая партия России»	791	65	91	162	115	144	25	54	72	63					
		11.16%	9.48%	12.57%	11.45%	9.36%	10.18%	9.69%	12.62%	15.16%	13.85%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	531	73	60	89	85	127	12	28	27	30					
		7.49%	10.64%	8.29%	6.29%	6.92%	8.98%	4.65%	6.54%	5.68%	6.59%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	41	5	4	9	2	9	2	2	6	2					
		0.58%	0.73%	0.55%	0.64%	0.16%	0.64%	0.78%	0.47%	1.26%	0.44%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	4694	405	489	915	864	926	201	281	305	308					
		66.25%	59.04%	67.54%	64.66%	70.30%	65.44%	77.91%	65.65%	64.21%	67.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	90	7	9	12	13	24	4	7	9	5					
		1.27%	1.02%	1.24%	0.85%	1.06%	1.70%	1.55%	1.64%	1.89%	1.10%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
