Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Арамильская городская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108					
1	"Число избирателей, внесенных в список избирателей"	14438	1525	1349	2924	2872	2758	524	803	923	760					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14000	1450	1350	2850	2850	2750	400	750	900	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6333	654	583	1192	1150	1304	206	347	502	395					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	249	38	14	48	31	47	33	6	13	19					
6	Число погашенных избирательных бюллетеней	7418	758	753	1610	1669	1399	161	397	385	286					
7	Число избирательных бюллетеней в переносных ящиках для голосования	249	38	14	48	31	47	33	6	13	19					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6330	654	583	1192	1149	1302	206	347	502	395					
9	Число недействительных избирательных бюллетеней	206	37	14	23	34	43	10	18	14	13					
10	Число действительных избирательных бюллетеней	6373	655	583	1217	1146	1306	229	335	501	401					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	347	42	40	55	55	55	25	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	156	10	20	20	20	39	5	7	20	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	37	8	44	11	24	9	14	5	9					
14	Число погашенных неиспользованных открепительных удостоверений	191	32	20	35	35	16	20	18	5	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	1	0	2	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1422	136	143	271	279	297	51	72	101	72					
		21.61%	19.65%	23.95%	21.85%	23.64%	22.02%	21.34%	20.40%	19.61%	17.39%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1021	92	105	196	175	183	25	82	74	89					
		15.52%	13.29%	17.59%	15.81%	14.83%	13.57%	10.46%	23.23%	14.37%	21.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	54	7	9	10	5	13	2	0	3	5					
		0.82%	1.01%	1.51%	0.81%	0.42%	0.96%	0.84%	0.00%	0.58%	1.21%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1203	133	83	241	227	261	39	53	98	68					
		18.29%	19.22%	13.90%	19.44%	19.24%	19.35%	16.32%	15.01%	19.03%	16.43%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	214	28	21	44	34	52	4	9	13	9					
		3.25%	4.05%	3.52%	3.55%	2.88%	3.85%	1.67%	2.55%	2.52%	2.17%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2262	234	208	422	402	459	91	109	187	150					
		34.38%	33.82%	34.84%	34.03%	34.07%	34.03%	38.08%	30.88%	36.31%	36.23%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	197	25	14	33	24	41	17	10	25	8					
		2.99%	3.61%	2.35%	2.66%	2.03%	3.04%	7.11%	2.83%	4.85%	1.93%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
