Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																					
Дата голосования: 02.12.2007																																																					
																																																					
Наименование Избирательной комиссии:    Палласовская																																																					
																																																					
Сводная таблица результатов выборов																																																					
																																																					
		Сумма	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378					
1	"Число избирателей, внесенных в списки избирателей"	29598	1309	1215	1178	1212	1015	1449	1382	1186	1866	205	275	84	1069	1238	138	423	219	1435	341	362	718	111	1125	210	172	1385	96	77	1040	95	113	181	653	104	1317	792	769	469	275	837	857	64	178	172	100	87					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30070	1180	1125	1020	1135	935	1410	1215	1105	1675	240	270	100	1175	1220	140	428	220	1480	405	380	865	105	1265	230	150	1375	110	90	1195	125	120	227	735	130	1460	810	760	580	370	895	855	95	235	200	100	130					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	17372	702	651	639	655	542	643	738	629	1095	178	233	79	642	717	88	299	163	898	200	233	448	60	592	156	91	867	76	59	671	62	91	65	401	54	694	488	475	271	207	587	538	56	105	116	55	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2962	108	129	101	80	55	115	72	118	45	11	10	2	81	75	15	43	13	70	62	69	131	27	86	21	22	105	16	17	58	33	22	99	83	30	290	138	84	76	56	88	87	4	43	32	24	16					
6	Число погашенных избирательных бюллетеней	9736	370	345	280	400	338	652	405	358	535	51	27	19	452	428	37	86	44	512	143	78	286	18	587	53	37	403	18	14	466	30	7	63	251	46	476	184	201	233	107	220	230	35	87	52	21	51					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2962	108	129	101	80	55	115	72	118	45	11	10	2	81	75	15	43	13	70	62	69	131	27	86	21	22	105	16	17	58	33	22	99	83	30	290	138	84	76	56	88	87	4	43	32	24	16					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	17372	702	651	639	655	542	643	738	629	1095	178	233	79	642	717	88	299	163	898	200	233	448	60	592	156	91	867	76	59	671	62	91	65	401	54	694	488	475	271	207	587	538	56	105	116	55	63					
9	Число недействительных избирательных бюллетеней	174	2	4	4	4	3	10	5	4	12	1	2	0	4	3	1	7	3	5	1	1	8	0	3	0	0	11	4	0	4	0	0	0	2	2	11	10	18	4	1	8	10	0	0	0	1	1					
10	Число действительных избирательных бюллетеней	20160	808	776	736	731	594	748	805	743	1128	188	241	81	719	789	102	335	173	963	261	301	571	87	675	177	113	961	88	76	725	95	113	164	482	82	973	616	541	343	262	667	615	60	148	148	78	78					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	493	20	20	20	20	20	25	20	5	25	2	2	3	15	10	2	10	2	15	2	4	10	2	8	2	2	29	7	2	27	3	0	0	10	2	30	5	20	5	20	30	25	2	2	2	4	2					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	323	19	4	16	9	5	8	7	2	12	1	2	2	8	5	1	2	1	8	2	3	10	2	6	2	1	27	4	2	27	0	0	0	10	0	30	0	16	2	19	27	18	0	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	125	3	0	4	6	14	0	1	1	6	1	0	0	4	5	0	1	3	10	0	0	1	3	4	0	0	10	1	2	4	0	0	0	0	1	9	6	3	1	3	1	15	0	0	0	2	0					
14	Число погашенных неиспользованных открепительных удостоверений	170	1	16	4	11	15	17	13	3	13	1	0	1	7	5	1	8	1	7	0	1	0	0	2	0	1	2	3	0	0	3	0	0	0	2	0	5	4	3	1	3	7	2	2	2	2	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																					
18	1.Политическая партия «Аграрная партия России»	1095	35	39	30	27	14	20	33	26	38	13	12	2	81	89	6	16	2	56	9	20	50	6	86	27	4	48	1	2	49	7	3	9	27	1	60	46	27	7	7	25	12	2	5	2	6	8					
		5.39%	4.32%	5.00%	4.05%	3.67%	2.35%	2.64%	4.07%	3.48%	3.33%	6.88%	4.94%	2.47%	11.20%	11.24%	5.83%	4.68%	1.14%	5.79%	3.44%	6.62%	8.64%	6.90%	12.68%	15.25%	3.54%	4.94%	1.09%	2.63%	6.72%	7.37%	2.65%	5.49%	5.58%	1.19%	6.10%	7.35%	4.83%	2.02%	2.66%	3.70%	1.92%	3.33%	3.38%	1.35%	7.59%	10.13%					
19	2.Всероссийская политическая партия «Гражданская Сила»	59	6	2	2	1	3	2	2	3	2	0	1	2	3	1	0	4	1	6	1	2	1	2	0	0	0	4	0	0	0	0	1	0	1	0	0	0	1	0	1	2	1	1	0	0	0	0					
		0.29%	0.74%	0.26%	0.27%	0.14%	0.50%	0.26%	0.25%	0.40%	0.18%	0.00%	0.41%	2.47%	0.41%	0.13%	0.00%	1.17%	0.57%	0.62%	0.38%	0.66%	0.17%	2.30%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.88%	0.00%	0.21%	0.00%	0.00%	0.00%	0.18%	0.00%	0.38%	0.30%	0.16%	1.67%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	10	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0					
		0.05%	0.37%	0.13%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3493	141	156	142	192	112	144	125	132	178	43	38	6	89	116	11	43	48	137	68	32	79	22	121	19	11	229	22	21	159	15	5	35	54	13	135	114	112	52	37	111	104	9	18	21	8	14					
		17.18%	17.41%	20.00%	19.19%	26.12%	18.76%	18.99%	15.43%	17.67%	15.61%	22.75%	15.64%	7.41%	12.31%	14.65%	10.68%	12.57%	27.27%	14.15%	25.95%	10.60%	13.64%	25.29%	17.85%	10.73%	9.73%	23.56%	23.91%	27.63%	21.81%	15.79%	4.42%	21.34%	11.16%	15.48%	13.72%	18.21%	20.04%	14.99%	14.07%	16.44%	16.64%	15.00%	12.16%	14.19%	10.13%	17.72%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	32	1	1	2	2	4	3	3	1	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	1	0	0	0	2	3	0	2	0	0	0	0	0	0	0	1	0	0					
		0.16%	0.12%	0.13%	0.27%	0.27%	0.67%	0.40%	0.37%	0.13%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.41%	3.57%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	16	1	0	0	0	1	1	0	1	2	0	1	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0					
		0.08%	0.12%	0.00%	0.00%	0.00%	0.17%	0.13%	0.00%	0.13%	0.18%	0.00%	0.41%	0.00%	0.00%	0.13%	0.00%	0.29%	0.57%	0.10%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.29%	0.00%	0.15%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	830	37	44	49	37	22	31	43	44	76	1	6	2	20	36	2	2	3	52	6	7	22	4	26	2	2	40	6	3	27	2	3	8	6	0	28	32	25	7	9	24	24	3	5	1	1	0					
		4.08%	4.57%	5.64%	6.62%	5.03%	3.69%	4.09%	5.31%	5.89%	6.67%	0.53%	2.47%	2.47%	2.77%	4.55%	1.94%	0.58%	1.70%	5.37%	2.29%	2.32%	3.80%	4.60%	3.83%	1.13%	1.77%	4.12%	6.52%	3.95%	3.70%	2.11%	2.65%	4.88%	1.24%	0.00%	2.85%	5.11%	4.47%	2.02%	3.42%	3.56%	3.84%	5.00%	3.38%	0.68%	1.27%	0.00%					
