Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Йошкар-Олинская городская № 1																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №525	УИК №526									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	101572	1518	753	1295	1144	1787	1041	2273	1970	1973	1635	1548	1012	1977	1375	1526	2231	1852	2397	1242	1858	1766	1887	1778	1867	1627	2154	2265	2287	2185	2441	1898	1477	2083	1842	1308	1967	2178	1858	1612	1439	1363	2140	2166	1762	2308	2014	988	1407	1590	1966	1922	1586	169	1702	1239	2142	1812	643	988	501	495	140	203									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83538	783	394	661	645	1750	449	2250	1900	1950	1600	1500	950	1900	612	788	2150	1750	2350	1200	1800	953	964	923	837	797	1093	2200	2250	2150	1119	996	677	987	1800	1200	1950	2150	1800	1550	1400	1300	2100	2150	1700	2250	2000	950	1350	1550	1800	987	805	168	1650	1150	2050	1550	600	950	450	450	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48599	758	381	645	627	909	446	1155	1049	1054	827	805	444	814	591	774	1038	900	890	566	772	943	956	911	832	787	1085	1157	1183	1126	1114	976	666	985	966	743	1024	1069	765	710	621	495	1011	956	742	1053	790	461	718	732	1023	979	797	127	849	549	1003	845	263	391	280	213	140	118									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1085	25	13	16	18	17	3	21	28	18	13	8	8	15	21	14	9	23	8	10	8	10	8	12	5	10	8	5	12	21	5	20	11	2	6	10	17	8	12	6	16	9	6	17	2	11	12	15	20	14	106	8	8	41	4	84	15	11	26	22	39	33	0	82									
6	Число погашенных избирательных бюллетеней	33854	0	0	0	0	824	0	1074	823	878	760	687	498	1071	0	0	1103	827	1452	624	1020	0	0	0	0	0	0	1038	1055	1003	0	0	0	0	828	447	909	1073	1023	834	763	796	1083	1177	956	1186	1198	474	612	804	671	0	0	0	797	517	1032	694	311	537	131	204	60	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1081	25	13	16	17	17	3	21	28	18	13	8	8	15	21	14	9	23	8	10	8	10	8	11	5	10	8	5	12	21	5	20	11	2	6	10	17	8	12	6	16	9	6	17	2	11	12	15	20	14	106	7	7	41	4	84	15	11	26	22	39	33	0	82									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48533	758	381	643	627	909	446	1155	1049	1054	827	805	444	814	590	765	1037	900	890	566	772	943	952	908	832	780	1076	1157	1183	1126	1103	969	665	980	966	743	1024	1069	765	710	621	495	1011	956	742	1053	790	461	718	732	1020	978	797	127	848	549	1002	845	263	391	280	213	140	118									
9	Число недействительных избирательных бюллетеней	776	8	8	3	9	16	7	19	12	16	19	10	7	9	9	12	20	15	15	11	10	7	5	9	9	20	18	11	12	18	18	5	10	8	12	7	18	17	14	17	11	13	12	15	16	18	21	7	12	16	22	12	6	22	11	15	14	15	12	10	12	6	6	2									
10	Число действительных избирательных бюллетеней	48838	775	386	656	635	910	442	1157	1065	1056	821	803	445	820	602	767	1026	908	883	565	770	946	955	910	828	770	1066	1151	1183	1129	1090	984	666	974	960	746	1023	1060	763	699	626	491	1005	958	728	1046	781	469	726	730	1104	973	798	146	841	618	1003	841	277	403	307	240	134	198									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1976	30	15	30	17	40	20	50	35	40	40	30	15	28	35	25	35	30	33	25	20	35	25	40	30	25	50	45	51	50	50	45	25	40	35	15	35	50	30	25	25	30	50	35	30	50	27	25	30	30	50	40	40	0	50	35	35	25	20	15	20	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1588	20	8	20	12	27	14	36	28	26	35	27	12	24	26	21	31	25	28	20	20	33	17	30	26	19	46	45	43	47	45	36	23	32	34	9	27	44	22	19	20	24	36	33	25	41	27	17	22	15	38	33	37	0	40	25	29	25	16	6	12	10	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1505	49	18	16	24	43	20	32	31	22	9	14	6	13	16	15	18	58	34	9	15	69	23	55	9	8	37	30	23	27	24	36	17	24	20	70	19	17	16	13	14	11	16	18	23	17	14	25	32	8	60	12	28	9	22	13	27	20	14	18	26	11	1	67									
14	Число погашенных неиспользованных открепительных удостоверений	388	10	7	10	5	13	6	14	7	14	5	3	3	4	9	4	4	5	5	5	0	2	8	10	4	6	4	0	8	3	5	9	2	8	1	6	8	6	8	6	5	6	14	2	5	9	0	8	8	15	12	7	3	0	10	10	6	0	4	9	8	10	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	154	3	1	1	2	2	2	2	1	3	5	0	0	1	5	0	6	4	5	0	0	2	0	4	2	0	3	7	1	2	2	5	3	3	4	2	1	7	2	0	0	1	9	3	4	3	2	1	3	3	1	11	4	0	3	0	6	5	0	0	1	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	805	8	10	7	14	9	10	10	21	15	22	14	8	6	13	23	22	11	5	8	18	19	14	16	15	12	12	25	31	29	33	20	15	23	20	9	13	19	12	4	5	8	16	12	8	4	14	5	8	9	20	21	14	0	15	5	18	15	3	5	3	0	2	0									
		1.62%	1.02%	2.54%	1.06%	2.17%	0.97%	2.23%	0.85%	1.95%	1.40%	2.62%	1.72%	1.77%	0.72%	2.13%	2.95%	2.10%	1.19%	0.56%	1.39%	2.31%	1.99%	1.46%	1.74%	1.79%	1.52%	1.11%	2.15%	2.59%	2.53%	2.98%	2.02%	2.22%	2.34%	2.06%	1.20%	1.25%	1.76%	1.54%	0.56%	0.78%	1.59%	1.57%	1.23%	1.08%	0.38%	1.75%	1.05%	1.08%	1.21%	1.78%	2.13%	1.74%	0.00%	1.76%	0.79%	1.77%	1.75%	1.04%	1.21%	0.94%	0.00%	1.43%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	2666	107	44	68	53	21	52	27	22	27	26	25	15	33	59	89	44	31	33	19	22	83	95	124	93	83	122	33	35	28	117	83	63	94	28	23	27	34	31	27	15	19	24	28	17	39	26	14	21	23	31	109	98	4	24	13	49	18	10	23	8	7	3	3									
		5.37%	13.67%	11.17%	10.32%	8.23%	2.27%	11.58%	2.30%	2.04%	2.52%	3.10%	3.08%	3.32%	3.98%	9.66%	11.42%	4.21%	3.36%	3.67%	3.30%	2.82%	8.71%	9.90%	13.49%	11.11%	10.51%	11.25%	2.84%	2.93%	2.44%	10.56%	8.39%	9.32%	9.57%	2.88%	3.05%	2.59%	3.16%	3.99%	3.77%	2.35%	3.77%	2.36%	2.88%	2.28%	3.67%	3.24%	2.94%	2.85%	3.08%	2.75%	11.07%	12.19%	2.38%	2.82%	2.05%	4.82%	2.10%	3.46%	5.57%	2.51%	2.85%	2.14%	1.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	867	17	8	7	13	16	12	21	19	22	16	16	5	7	12	14	24	15	19	6	13	23	20	22	17	14	28	5	12	23	24	19	10	13	22	21	11	18	10	7	6	5	18	19	13	20	11	7	12	15	18	19	20	2	15	11	16	11	5	11	4	4	2	2									
		1.75%	2.17%	2.03%	1.06%	2.02%	1.73%	2.67%	1.79%	1.76%	2.05%	1.90%	1.97%	1.11%	0.84%	1.96%	1.80%	2.29%	1.63%	2.12%	1.04%	1.67%	2.41%	2.08%	2.39%	2.03%	1.77%	2.58%	0.43%	1.00%	2.01%	2.17%	1.92%	1.48%	1.32%	2.26%	2.79%	1.06%	1.67%	1.29%	0.98%	0.94%	0.99%	1.77%	1.95%	1.75%	1.88%	1.37%	1.47%	1.63%	2.01%	1.60%	1.93%	2.49%	1.19%	1.76%	1.74%	1.57%	1.29%	1.73%	2.66%	1.25%	1.63%	1.43%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17991	261	115	235	248	297	164	395	333	368	292	255	164	321	222	246	311	274	337	177	282	399	343	330	333	310	417	488	402	386	430	369	222	345	344	270	373	371	286	307	229	188	374	331	274	370	312	159	256	266	413	357	286	111	306	237	427	362	114	160	156	111	63	107									
		36.26%	33.33%	29.19%	35.66%	38.51%	32.07%	36.53%	33.59%	30.92%	34.33%	34.76%	31.37%	36.28%	38.72%	36.33%	31.58%	29.73%	29.69%	37.53%	30.73%	36.15%	41.87%	35.73%	35.91%	39.78%	39.24%	38.47%	41.99%	33.64%	33.65%	38.81%	37.31%	32.84%	35.13%	35.39%	35.86%	35.83%	34.45%	36.81%	42.88%	35.95%	37.30%	36.77%	34.02%	36.83%	34.77%	38.90%	33.40%	34.69%	35.66%	36.68%	36.24%	35.57%	66.07%	35.92%	37.44%	41.99%	42.29%	39.45%	38.74%	48.90%	45.12%	45.00%	53.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	580	11	6	7	11	11	5	14	12	20	8	4	7	6	9	9	14	15	12	15	9	9	13	13	18	4	13	19	16	11	18	12	8	9	10	7	11	7	5	6	6	4	13	12	14	12	9	9	8	10	6	12	11	0	5	5	5	12	5	2	3	1	0	2									
		1.17%	1.40%	1.52%	1.06%	1.71%	1.19%	1.11%	1.19%	1.11%	1.87%	0.95%	0.49%	1.55%	0.72%	1.47%	1.16%	1.34%	1.63%	1.34%	2.60%	1.15%	0.94%	1.35%	1.41%	2.15%	0.51%	1.20%	1.64%	1.34%	0.96%	1.62%	1.21%	1.18%	0.92%	1.03%	0.93%	1.06%	0.65%	0.64%	0.84%	0.94%	0.79%	1.28%	1.23%	1.88%	1.13%	1.12%	1.89%	1.08%	1.34%	0.53%	1.22%	1.37%	0.00%	0.59%	0.79%	0.49%	1.40%	1.73%	0.48%	0.94%	0.41%	0.00%	1.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	135	2	0	1	3	0	1	5	4	3	4	2	0	5	4	3	0	0	0	2	0	3	3	1	3	3	4	1	1	4	4	1	4	6	2	0	1	3	1	1	2	0	3	4	3	4	0	1	1	1	1	2	1	1	2	8	3	2	0	4	4	2	1	0									
		0.27%	0.26%	0.00%	0.15%	0.47%	0.00%	0.22%	0.43%	0.37%	0.28%	0.48%	0.25%	0.00%	0.60%	0.65%	0.39%	0.00%	0.00%	0.00%	0.35%	0.00%	0.31%	0.31%	0.11%	0.36%	0.38%	0.37%	0.09%	0.08%	0.35%	0.36%	0.10%	0.59%	0.61%	0.21%	0.00%	0.10%	0.28%	0.13%	0.14%	0.31%	0.00%	0.29%	0.41%	0.40%	0.38%	0.00%	0.21%	0.14%	0.13%	0.09%	0.20%	0.12%	0.60%	0.23%	1.26%	0.29%	0.23%	0.00%	0.97%	1.25%	0.81%	0.71%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6566	87	46	59	71	115	62	147	136	107	97	123	65	129	58	71	126	105	139	102	126	130	98	113	90	103	127	134	179	179	113	121	67	118	114	88	152	147	110	100	98	83	135	142	119	173	120	57	108	96	148	120	98	7	109	98	146	164	52	70	52	46	44	27									
