Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Знаменская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646					
1	"Число избирателей, внесенных в списки избирателей"	10120	1083	890	1093	969	379	331	111	285	164	628	262	193	420	135	392	516	473	102	146	262	106	136	666	176	99	103					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	9693	945	820	1000	890	350	315	126	370	184	630	270	205	365	140	370	470	465	107	141	270	113	138	615	188	99	107					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7008	726	560	776	621	280	161	90	222	140	393	180	172	317	106	244	335	293	85	113	210	91	109	486	143	70	85					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	823	94	73	31	36	29	80	15	26	11	51	17	17	30	5	49	41	78	11	11	27	8	5	32	19	25	2					
6	Число погашенных избирательных бюллетеней	1862	125	187	193	233	41	74	21	122	33	186	73	16	18	29	77	94	94	11	17	33	14	24	97	26	4	20					
7	Число избирательных бюллетеней в переносных ящиках для голосования	823	94	73	31	36	29	80	15	26	11	51	17	17	30	5	49	41	78	11	11	27	8	5	32	19	25	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7008	726	560	776	621	280	161	90	222	140	393	180	172	317	106	244	335	293	85	113	210	91	109	486	143	70	85					
9	Число недействительных избирательных бюллетеней	157	15	7	7	9	3	6	1	2	2	37	4	6	5	1	8	0	5	2	5	11	1	1	14	0	5	0					
10	Число действительных избирательных бюллетеней	7674	805	626	800	648	306	235	104	246	149	407	193	183	342	110	285	376	366	94	119	226	98	113	504	162	90	87					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	436	30	25	25	20	15	22	6	34	10	23	12	20	16	10	15	20	20	5	8	34	6	15	20	15	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	345	29	16	25	20	15	22	3	32	10	21	11	19	2	1	5	5	18	3	1	34	6	8	20	15	4	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	111	15	12	13	12	1	6	1	4	4	6	1	1	3	0	3	2	3	3	5	3	2	2	3	2	4	0					
14	Число погашенных неиспользованных открепительных удостоверений	91	1	9	0	0	0	0	3	2	0	2	1	1	14	9	10	15	2	2	7	0	0	7	0	0	1	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	1	0	1	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	0	0	0	0	0	0	0					
