Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Карпинская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950					
1	"Число избирателей, внесенных в списки"	25717	2249	2145	150	2273	823	87	2650	1930	2357	1500	1395	2471	2153	1142	1362	237	151	642					
2	"Число бюллетеней, полученных участковыми комиссиями"	25700	2190	2180	152	2280	828	89	2620	1940	2360	1500	1390	2550	2150	1130	1360	238	153	590					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10368	830	882	91	697	325	74	1174	895	1087	657	536	1088	779	371	340	110	104	328					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	785	41	21	0	102	10	0	43	36	43	44	28	38	55	115	153	5	4	47					
6	Число погашенных бюллетеней	14547	1319	1277	61	1481	493	15	1403	1009	1230	799	826	1424	1316	644	867	123	45	215					
7	Число бюллетеней в переносных ящиках для голосования	785	41	21	0	102	10	0	43	36	43	44	28	38	55	115	153	5	4	47					
8	Число бюллетеней в стационарных ящиках для голосования	10368	830	882	91	697	325	74	1174	895	1087	657	536	1088	779	371	340	110	104	328					
9	Число недействительных бюллетеней	195	11	14	2	13	11	0	23	18	26	8	6	22	8	14	13	0	1	5					
10	Число действительных бюллетеней	10958	860	889	89	786	324	74	1194	913	1104	693	558	1104	826	472	480	115	107	370					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	298	29	30	0	28	10	6	30	20	30	10	10	30	25	10	10	5	5	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	55	7	8	0	7	0	0	8	7	5	3	0	2	5	0	1	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	42	23	0	0	3	0	0	2	1	2	0	0	2	3	0	2	1	0	3					
