Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Горьковская  ТИК																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151					
1	"Число избирателей, внесенных в список"	17639	205	128	237	907	579	149	244	98	127	65	694	1099	1301	1041	1197	394	214	172	184	96	76	107	553	148	635	69	60	228	773	135	838	112	565	204	381	118	199	701	170	121	167	924	320	336	129	223	216					
2	Число полученных избирательных бюллетеней	17888	212	127	235	909	717	148	258	98	130	78	713	1052	1285	1036	1159	385	210	171	193	110	76	100	563	145	625	75	66	227	830	134	855	107	579	205	394	137	196	721	190	126	168	923	324	334	132	222	208					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11837	138	94	156	600	472	146	191	98	119	53	369	651	771	581	675	213	153	132	142	92	66	87	359	110	413	63	52	162	485	86	557	89	509	174	302	71	158	440	147	94	112	526	228	229	117	163	192					
5	"Число избирательных бюллетеней, выданных вне помещения"	1384	15	0	52	61	107	0	19	0	0	12	186	66	54	83	87	40	17	18	25	0	6	8	26	18	47	2	0	23	73	9	68	0	0	0	21	21	14	56	3	0	3	68	60	5	0	11	0					
6	Число погашенных избирательных бюллетеней	4667	59	33	27	248	138	2	48	0	11	13	158	335	460	372	397	132	40	21	26	18	4	5	178	17	165	10	14	42	272	39	230	18	70	31	71	45	24	225	40	32	53	329	36	100	15	48	16					
7	Число избирательных бюллетеней в переносных ящиках	1384	15	0	52	61	107	0	19	0	0	12	186	66	54	83	87	40	17	18	25	0	6	8	26	18	47	2	0	23	73	9	68	0	0	0	21	21	14	56	3	0	3	68	60	5	0	11	0					
8	Число бюллетеней в стационарных ящиках для голосования	11836	138	94	156	600	472	146	191	98	119	53	369	651	771	581	675	213	153	132	142	92	66	87	359	110	413	63	52	162	485	86	556	89	509	174	302	71	158	440	147	94	112	526	228	229	117	163	192					
9	Число недействительных избирательных бюллетеней	102	0	1	0	3	5	0	1	0	2	2	4	3	5	6	6	4	0	0	0	3	0	0	2	0	7	0	0	2	5	0	9	1	7	0	1	1	1	0	2	0	0	9	5	2	0	3	0					
10	Число действительных избирательных бюллетеней	13118	153	93	208	658	574	146	209	98	117	63	551	714	820	658	756	249	170	150	167	89	72	95	383	128	453	65	52	183	553	95	615	88	502	174	322	91	171	496	148	94	115	585	283	232	117	171	192					
11	Число полученных открепительных  удостоверений	670	10	10	10	20	20	10	10	10	10	10	20	30	30	30	30	10	10	10	10	10	10	10	20	10	20	10	10	10	20	10	30	10	20	10	20	10	10	20	10	10	10	20	10	10	10	10	10					
12	Число выданных открепительных удостоверений	129	0	0	1	6	3	0	0	0	0	0	7	12	11	16	11	1	0	1	2	0	1	1	8	1	0	0	0	0	5	1	19	0	2	0	4	0	0	5	0	1	0	4	1	4	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	94	3	0	3	4	0	1	1	2	0	1	1	8	6	6	3	4	2	2	1	1	0	3	2	1	4	0	1	2	1	1	4	3	5	0	3	1	1	0	0	0	0	7	1	3	1	1	0					
14	Число неиспользованных открепительных удостоверений	541	10	10	9	14	17	10	10	10	10	10	13	18	19	14	19	9	10	9	8	10	9	9	12	9	20	10	10	10	15	9	11	10	18	10	16	10	10	15	10	9	10	16	9	6	10	10	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																						
18	. Глазьев Сергей Юрьевич	288	3	0	3	13	11	0	3	0	4	0	17	18	21	15	29	8	0	1	0	0	0	0	7	1	18	2	0	5	14	1	14	3	14	4	5	3	2	7	4	2	0	16	6	3	1	3	7					
