Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Ханты-Мансийская городская																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	50705	2479	1896	2396	2197	1733	888	2171	1776	2132	2665	2499	2500	2406	2064	1604	1647	1517	2439	1106	1192	1143	2586	1296	1848	2270	1080	1175									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37600	1900	1400	1800	1700	1300	600	1600	1300	1600	2000	1900	1900	1800	1500	1200	1200	1100	1700	800	900	800	2000	900	1400	1700	800	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19589	872	722	868	743	721	325	794	702	838	1165	951	1038	1046	804	634	700	607	943	457	437	470	933	424	710	782	501	402									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	592	6	11	12	24	24	72	63	7	22	10	11	6	5	29	3	4	6	223	1	3	4	17	6	12	11	0	0									
6	Число погашенных избирательных бюллетеней	17417	1022	667	920	933	555	203	743	591	740	825	938	856	749	667	563	496	487	534	342	460	326	1050	470	678	905	299	398									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	541	6	11	12	24	24	72	63	7	22	10	11	6	5	29	3	4	6	172	1	3	4	17	6	12	11	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19442	870	721	868	743	718	324	794	702	837	1165	951	1038	1046	804	634	698	607	808	457	437	470	932	424	710	782	500	402									
9	Число недействительных избирательных бюллетеней	912	14	24	42	23	51	17	62	33	67	21	42	34	42	34	58	46	41	31	2	36	31	37	10	39	47	20	8									
10	Число действительных избирательных бюллетеней	19071	862	708	838	744	691	379	795	676	792	1154	920	1010	1009	799	579	656	572	949	456	404	443	912	420	683	746	480	394									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1580	70	60	70	70	60	30	70	60	60	80	80	70	70	60	50	50	50	70	40	40	40	80	40	60	70	40	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	260	11	7	16	4	13	5	6	14	14	17	7	15	10	13	10	9	7	12	5	5	8	16	4	16	5	7	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	281	8	11	5	0	10	2	3	15	6	14	10	10	18	6	10	12	4	7	28	5	2	10	4	4	10	2	65									
14	Число погашенных неиспользованных открепительных удостоверений	1320	59	53	54	66	47	25	64	46	46	63	73	55	60	47	40	41	43	58	35	35	32	64	36	44	65	33	36									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	2	1	3	0	0	1	4	3	1	6	0	4	1	2	2	2	2	2	2	2	0	1	0	1	3	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	326	6	8	17	21	17	8	11	23	15	14	23	19	15	21	8	7	12	26	2	1	6	9	4	1	10	17	5									
		1.63%	0.68%	1.09%	1.93%	2.74%	2.29%	2.02%	1.28%	3.24%	1.75%	1.19%	2.39%	1.82%	1.43%	2.52%	1.26%	0.99%	1.96%	2.65%	0.44%	0.23%	1.27%	0.95%	0.93%	0.14%	1.26%	3.40%	1.24%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	376	4	13	22	12	21	5	13	10	12	19	24	21	34	10	16	19	9	21	0	19	9	22	4	11	9	8	9									
