Выборы Президента Российской Федерации																																								
																																								
"Наименование Избирательной комиссии:    Волгоград, Ворошиловская"																																								
																																								
Итоги голосования 																																								
																																								
		Сумма	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242					
1	"Число избирателей, внесенных в список"	64122	1579	1719	1709	1833	1930	1534	2309	1577	1679	2093	1240	1550	1547	1948	1815	2110	2663	2048	2703	2466	2620	2473	2690	2178	1190	1112	1064	2419	2018	1519	2420	1514	2853					
2	Число полученных избирательных бюллетеней	63400	1600	1600	1600	1800	1950	1500	2300	1600	1650	2100	1250	1500	1600	1900	1800	2100	2700	2000	2700	2450	2600	2450	2700	2200	1200	1100	1000	2200	2050	1500	2400	1500	2800					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	32334	889	886	915	1060	1058	912	1094	817	892	1208	718	806	851	1054	1041	1211	1492	1179	1437	1337	1234	1310	1339	1083	459	476	401	896	762	599	928	630	1360					
5	"Число избирательных бюллетеней, выданных вне помещения"	1315	27	135	18	30	43	35	38	28	31	33	14	74	33	23	16	13	21	16	33	29	38	21	44	21	30	32	31	170	37	53	69	44	35					
6	Число погашенных избирательных бюллетеней	29751	684	579	667	710	849	553	1168	755	727	859	518	620	716	823	743	876	1187	805	1230	1084	1328	1119	1317	1096	711	592	568	1134	1251	848	1403	826	1405					
7	Число избирательных бюллетеней в переносных ящиках	1315	27	135	18	30	43	35	38	28	31	33	14	74	33	23	16	13	21	16	33	29	38	21	44	21	30	32	31	170	37	53	69	44	35					
8	Число бюллетеней в стационарных ящиках для голосования	32195	888	886	915	1060	1053	903	1055	817	892	1208	717	806	850	1052	1038	1211	1487	1174	1437	1336	1188	1308	1339	1083	459	476	401	883	758	599	928	630	1358					
9	Число недействительных избирательных бюллетеней	239	8	3	6	8	6	8	11	4	5	6	4	10	5	7	7	6	9	6	15	6	8	7	8	11	7	4	4	8	3	8	10	12	9					
10	Число действительных избирательных бюллетеней	33271	907	1018	927	1082	1090	930	1082	841	918	1235	727	870	878	1068	1047	1218	1499	1184	1455	1359	1218	1322	1375	1093	482	504	428	1045	792	644	987	662	1384					
11	Число полученных открепительных  удостоверений	997	57	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	40	30	40	30	30	30	20	20	20	20	20	20	40	20	40					
12	Число выданных открепительных удостоверений	301	10	10	12	9	5	8	15	9	7	11	3	11	12	13	10	14	14	14	17	15	8	13	10	18	4	0	2	1	4	3	3	2	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	347	6	14	14	7	13	20	6	23	11	19	12	10	5	11	13	5	8	6	9	8	15	13	7	14	5	8	5	11	11	10	11	6	11					
14	Число неиспользованных открепительных удостоверений	696	47	20	18	21	25	22	15	21	23	19	27	19	18	17	20	16	26	16	23	15	32	17	20	12	16	20	18	19	16	17	37	18	26					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
