Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																							
Дата голосования: 18.09.2016																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Владикавказ, Левобережная"																																																																																							
																																																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																							
																																																																																							
		Сумма	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №379									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	135241	693	803	1144	1185	1390	1230	1147	2738	1973	1295	1784	1795	2214	1331	2395	2590	1971	2286	2039	2359	2642	2179	2740	1729	1742	2242	1987	2545	2275	2074	1962	1771	1950	2395	2340	1895	2516	1950	2043	2380	1379	1822	2672	2797	1406	2247	1462	2238	2146	2064	2515	1757	2520	1930	2544	2048	2152	2351	2605	2566	2701	2382	1849	1954	1290	119	801	350	230	167	54	350	202	400	252	1200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	126796	650	850	950	1100	1500	1150	1100	2500	2200	1200	2000	1600	2000	1200	2300	2350	1800	2250	1900	2200	2500	2150	2500	1500	1700	2000	1800	2300	2400	1900	1700	1550	1800	2200	2200	1700	2300	1750	1900	2100	1300	1600	2300	2396	1300	2100	1500	2100	2100	2100	2300	1600	2300	1838	2300	2300	2100	2100	2300	2200	2500	2400	1700	1800	1250	150	800	350	250	200	100	350	202	400	260	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	115325	642	778	880	962	991	1006	1023	2215	1944	1019	1748	1586	1655	1164	2014	2331	1518	1979	1845	2070	2417	1938	2485	1417	1589	1827	1575	2226	2110	1837	1650	1386	1500	1899	1982	1541	2000	1584	1764	1904	1185	1491	1026	2086	1263	2079	1456	1962	2011	2061	2210	1493	2043	1752	2265	2018	1978	2095	2021	2100	2349	2366	1550	1564	1126	119	800	0	230	167	54	350	202	400	252	1200									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2209	0	25	18	0	22	10	22	10	29	19	36	14	150	17	21	16	139	18	0	4	33	34	15	10	15	43	15	22	30	21	30	84	98	26	25	50	13	15	32	21	21	22	27	42	12	7	6	35	70	3	54	13	15	8	24	30	9	5	5	39	53	16	115	15	11	0	0	350	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	9262	8	47	52	138	487	134	55	275	227	162	216	0	195	19	265	3	143	253	55	126	50	178	0	73	96	130	210	52	260	42	20	80	202	275	193	109	287	151	104	175	94	87	1247	268	25	14	38	103	19	36	36	94	242	78	11	252	113	0	274	61	98	18	35	221	113	31	0	0	20	33	46	0	0	0	8	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2209	0	25	18	0	22	10	22	10	29	19	36	14	150	17	21	16	139	18	0	4	33	34	15	10	15	43	15	22	30	21	30	84	98	26	25	50	13	15	32	21	21	22	27	42	12	7	6	35	70	3	54	13	15	8	24	30	9	5	5	39	53	16	115	15	11	0	0	350	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	115292	642	778	880	962	991	1006	1023	2215	1944	1019	1748	1586	1655	1164	2014	2331	1518	1979	1845	2070	2417	1938	2485	1417	1589	1827	1575	2226	2110	1837	1650	1386	1487	1899	1982	1541	2000	1584	1764	1904	1185	1491	1026	2086	1263	2079	1456	1962	2011	2061	2210	1493	2043	1752	2265	2018	1969	2095	2021	2100	2349	2366	1550	1564	1115	119	800	0	230	167	54	350	202	400	252	1200									
9	Число недействительных избирательных бюллетеней	416	0	2	3	0	0	12	0	0	13	16	0	0	0	14	0	0	6	0	5	0	2	24	0	13	20	5	0	1	0	10	5	0	6	0	0	0	6	0	24	0	4	0	21	5	6	0	0	0	16	6	0	19	0	8	0	0	6	0	0	2	3	0	0	0	3	0	8	0	8	0	0	0	0	8	0	106									
10	Число действительных избирательных бюллетеней	117085	642	801	895	962	1013	1004	1045	2225	1960	1022	1784	1600	1805	1167	2035	2347	1651	1997	1840	2074	2448	1948	2500	1414	1584	1865	1590	2247	2140	1848	1675	1470	1579	1925	2007	1591	2007	1599	1772	1925	1202	1513	1032	2123	1269	2086	1462	1997	2065	2058	2264	1487	2058	1752	2289	2048	1972	2100	2026	2137	2399	2382	1665	1579	1123	119	792	350	222	167	54	350	202	392	252	1094									
