Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Фировская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7738	2034	2093	604	538	250	263	822	361	185	172	110	216	90									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5800	1450	1500	450	400	200	200	600	300	150	150	100	200	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2501	737	660	167	146	66	74	251	151	80	68	28	38	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	790	62	82	84	121	61	39	127	19	26	23	32	89	25									
6	Число погашенных избирательных бюллетеней	2509	651	758	199	133	73	87	222	130	44	59	40	73	40									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	790	62	82	84	121	61	39	127	19	26	23	32	89	25									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2495	731	660	167	146	66	74	251	151	80	68	28	38	35									
9	Число недействительных избирательных бюллетеней	46	8	12	7	5	4	0	2	3	0	1	1	2	1									
10	Число действительных избирательных бюллетеней	3239	785	730	244	262	123	113	376	167	106	90	59	125	59									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	30	30	20	15	15	5	15	20	20	15	5	5	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	138	19	20	5	15	3	5	6	20	20	9	1	4	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	43	15	6	3	1	0	1	6	4	1	2	0	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	72	11	10	15	0	12	0	9	0	0	6	4	1	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	9	5	0	0	0	0	3	3	0	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	8	8	2	1	3	0	4	0	1	2	1	1	0									
		0.94%	1.01%	1.08%	0.80%	0.37%	2.36%	0.00%	1.06%	0.00%	0.94%	2.20%	1.67%	0.79%	0.00%									
