Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
"Наименование Избирательной комиссии:    Нижний Новгород, Ленинская"																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1486	УИК №1487	УИК №1488	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551					
1	"Число избирателей, внесенных в список избирателей"	118946	1595	2020	2450	2352	1694	2104	2293	2555	2157	2053	1809	2031	1971	2138	2156	1918	2436	1625	1239	1796	1876	2174	2111	1860	1509	1402	1983	2121	2065	1233	1712	1107	1735	1596	1378	1549	1954	2589	1672	2211	2648	2167	1789	2018	2097	1314	1678	2192	1573	2105	1531	2145	1848	2676	1698	1567	2025	2289	2370	1171	1400	1590	503	158	165					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	117200	1600	2000	2400	2400	1700	2100	2300	2500	2200	2000	1800	2000	2000	2100	2100	1900	2500	1600	1100	1800	1900	2200	2100	1800	1500	1300	1900	2100	2000	1100	1700	1100	1700	1500	1400	1500	1900	2600	1700	2200	2600	2100	1800	2000	2100	1300	1400	2200	1600	2100	1500	2100	1800	2700	1700	1600	2000	2300	2400	1000	1300	1600	400	150	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	50986	652	999	929	870	560	854	903	1123	987	951	740	830	808	992	1002	850	1114	521	411	706	712	953	913	648	718	490	895	1009	974	497	787	398	628	732	409	672	815	1108	632	642	1250	1165	828	884	1068	519	706	912	660	984	699	1018	840	1263	776	777	888	979	1003	570	540	723	317	131	52					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1121	29	12	15	12	11	11	15	11	10	26	12	27	26	29	17	15	24	11	16	9	13	29	10	11	6	13	36	10	20	6	15	8	10	13	4	13	13	11	10	13	14	8	14	14	10	7	20	26	16	28	13	8	4	7	5	7	16	17	12	15	91	16	41	19	91					
6	Число погашенных избирательных бюллетеней	65093	919	989	1456	1518	1129	1235	1382	1366	1203	1023	1048	1143	1166	1079	1081	1035	1362	1068	673	1085	1175	1218	1177	1141	776	797	969	1081	1006	597	898	694	1062	755	987	815	1072	1481	1058	1545	1336	927	958	1102	1022	774	674	1262	924	1088	788	1074	956	1430	919	816	1096	1304	1385	415	669	861	42	0	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1121	29	12	15	12	11	11	15	11	10	26	12	27	26	29	17	15	24	11	16	9	13	29	10	11	6	13	36	10	20	6	15	8	10	13	4	13	13	11	10	13	14	8	14	14	10	7	20	26	16	28	13	8	4	7	5	7	16	17	12	15	91	16	41	19	91					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	50937	652	997	928	870	560	854	903	1122	987	951	739	830	805	992	1002	850	1114	521	411	706	712	953	912	647	718	490	895	1007	973	497	787	398	628	732	409	669	815	1108	632	642	1250	1165	828	883	1068	519	706	912	658	981	699	1018	840	1256	776	777	887	978	1002	569	540	707	317	131	52					
9	Число недействительных избирательных бюллетеней	696	6	8	12	8	4	14	10	18	17	7	13	24	15	15	12	15	14	5	6	10	15	13	9	6	1	2	7	11	15	10	6	7	19	11	6	8	9	15	5	7	21	16	14	9	15	10	7	17	10	7	4	11	6	16	6	18	8	14	26	3	13	15	11	3	1					
10	Число действительных избирательных бюллетеней	51362	675	1001	931	874	567	851	908	1115	980	970	738	833	816	1006	1007	850	1124	527	421	705	710	969	913	652	723	501	924	1006	978	493	796	399	619	734	407	674	819	1104	637	648	1243	1157	828	888	1063	516	719	921	664	1002	708	1015	838	1247	775	766	895	981	988	581	618	708	347	147	142					
