Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
"Наименование Избирательной комиссии:    Уфа, Демская"																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22					
1	"Число избирателей, внесенных в списки избирателей"	39540	479	2003	1351	2187	2245	1875	1820	2027	2033	2261	1770	1872	1962	1468	1985	1817	2690	2008	1922	1731	1804	230					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	39430	400	1900	1350	2200	2250	1750	1850	1950	2050	2100	1750	1750	2000	1450	1950	1850	2800	2300	2000	1750	1800	230					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34696	351	1620	1224	1825	2014	1624	1655	1744	1947	2014	1555	1606	1774	1251	1701	1687	2438	1900	1508	1429	1599	230					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	846	47	35	28	34	59	8	55	80	28	25	38	15	11	43	16	21	64	59	64	21	95	0					
6	Число погашенных избирательных бюллетеней	3888	2	245	98	341	177	118	140	126	75	61	157	129	215	156	233	142	298	341	428	300	106	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	846	47	35	28	34	59	8	55	80	28	25	38	15	11	43	16	21	64	59	64	21	95	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34696	351	1620	1224	1825	2014	1624	1655	1744	1947	2014	1555	1606	1774	1251	1701	1687	2438	1900	1508	1429	1599	230					
9	Число недействительных избирательных бюллетеней	91	7	10	2	1	0	5	13	0	6	0	4	0	0	4	6	18	0	0	11	0	2	2					
10	Число действительных избирательных бюллетеней	35451	391	1645	1250	1858	2073	1627	1697	1824	1969	2039	1589	1621	1785	1290	1711	1690	2502	1959	1561	1450	1692	228					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1478	10	67	50	70	90	63	74	90	80	76	65	75	80	58	80	70	90	75	80	75	60	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1402	8	48	50	70	90	55	74	87	80	73	65	65	80	57	63	63	90	75	78	75	56	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	769	44	107	15	32	21	23	7	14	3	52	14	36	12	18	91	18	10	3	26	32	24	167					
