Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																				
Дата голосования: 04.12.2011																																																				
																																																				
Наименование Избирательной комиссии:    Лукояновская																																																				
																																																				
Сводная таблица результатов выборов																																																				
																																																				
		Сумма	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219					
1	"Число избирателей, внесенных в список избирателей"	23043	1697	1378	1390	1495	2353	2085	591	1566	571	160	518	360	53	509	86	138	150	1055	1103	285	204	558	135	264	204	261	292	142	58	459	188	62	65	397	282	77	193	124	216	192	202	228	72	146	479					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22100	1600	1350	1350	1450	2300	2000	550	1500	550	150	500	350	60	500	80	120	130	1000	1050	260	200	550	130	250	200	260	270	130	60	450	180	60	60	380	250	70	180	110	200	180	200	220	70	140	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	14669	1240	998	1287	943	996	1718	419	719	329	99	275	157	44	341	43	107	62	862	549	146	89	263	67	104	163	171	211	103	44	289	80	43	28	235	189	65	136	78	134	144	145	149	53	101	251					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2799	68	86	63	74	109	86	98	222	130	37	64	61	9	51	23	7	61	79	258	93	60	110	37	94	15	74	56	21	12	70	71	15	18	62	60	3	40	16	39	29	23	31	13	26	125					
6	Число погашенных избирательных бюллетеней	4632	292	266	0	433	1195	196	33	559	91	14	161	132	7	108	14	6	7	59	243	21	51	177	26	52	22	15	3	6	4	91	29	2	14	83	1	2	4	16	27	7	32	40	4	13	74					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2799	68	86	63	74	109	86	98	222	130	37	64	61	9	51	23	7	61	79	258	93	60	110	37	94	15	74	56	21	12	70	71	15	18	62	60	3	40	16	39	29	23	31	13	26	125					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14669	1240	998	1287	943	996	1718	419	719	329	99	275	157	44	341	43	107	62	862	549	146	89	263	67	104	163	171	211	103	44	289	80	43	28	235	189	65	136	78	134	144	145	149	53	101	251					
9	Число недействительных избирательных бюллетеней	140	10	8	0	7	27	15	0	17	13	2	0	2	0	2	8	0	0	3	5	1	1	6	0	2	0	1	2	0	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	3					
10	Число действительных избирательных бюллетеней	17328	1298	1076	1350	1010	1078	1789	517	924	446	134	339	216	53	390	58	114	123	938	802	238	148	367	104	196	178	244	265	124	56	359	151	58	45	297	248	68	175	94	173	172	167	180	66	127	373					
