Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																						
Дата голосования: 02.12.2007																																																						
																																																						
Наименование Избирательной комиссии:    Лукояновская																																																						
																																																						
Сводная таблица результатов выборов																																																						
																																																						
		Сумма	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221					
1	"Число избирателей, внесенных в списки избирателей"	24208	1666	1513	1439	1603	2400	1934	740	1583	521	173	589	298	78	109	330	85	137	162	1105	1204	613	238	568	141	274	313	228	294	163	74	477	198	81	89	406	259	77	224	136	427	153	101	231	237	105	213	219					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	23035	1600	1400	1500	1500	2300	1900	700	1500	500	180	550	280	80	100	300	80	130	150	1000	1100	600	230	570	130	250	290	220	280	150	70	460	190	70	80	380	250	75	200	110	400	150	90	220	230	90	200	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	13235	859	795	676	774	1543	766	351	782	367	132	285	155	53	71	196	62	102	73	489	415	338	145	321	95	155	193	194	176	112	58	334	112	53	57	281	186	65	143	88	280	111	69	194	162	80	129	158					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1937	54	43	79	36	51	24	56	89	62	41	69	42	22	15	61	12	7	61	82	87	113	49	86	23	30	97	21	41	25	9	31	22	17	13	80	29	4	52	20	31	12	8	15	19	10	50	37					
6	Число погашенных избирательных бюллетеней	7863	687	562	745	690	706	1110	293	629	71	7	196	83	5	14	43	6	21	16	429	598	149	36	163	12	65	0	5	63	13	3	95	56	0	10	19	35	6	5	2	89	27	13	11	49	0	21	5					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1937	54	43	79	36	51	24	56	89	62	41	69	42	22	15	61	12	7	61	82	87	113	49	86	23	30	97	21	41	25	9	31	22	17	13	80	29	4	52	20	31	12	8	15	19	10	50	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	13235	859	795	676	774	1543	766	351	782	367	132	285	155	53	71	196	62	102	73	489	415	338	145	321	95	155	193	194	176	112	58	334	112	53	57	281	186	65	143	88	280	111	69	194	162	80	129	158					
9	Число недействительных избирательных бюллетеней	102	5	4	8	8	4	6	0	6	2	1	5	3	0	1	0	2	1	0	5	1	1	5	1	1	0	0	0	2	0	0	3	0	0	0	2	2	0	12	0	7	0	1	1	0	0	0	2					
10	Число действительных избирательных бюллетеней	15070	908	834	747	802	1590	784	407	865	427	172	349	194	75	85	257	72	108	134	566	501	450	189	406	117	185	290	215	215	137	67	362	134	70	70	359	213	69	183	108	304	123	76	208	181	90	179	193					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	460	25	25	25	30	25	25	15	25	10	5	10	5	5	5	5	5	5	5	20	20	10	5	15	5	5	5	5	5	5	5	10	5	5	5	10	5	5	5	5	10	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	160	13	9	13	23	16	11	2	9	1	0	1	0	3	0	4	1	2	1	7	3	2	2	15	0	1	0	1	3	0	0	2	0	0	0	2	0	0	3	0	5	0	0	1	1	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	80	1	13	3	2	1	4	2	2	1	1	8	2	1	0	1	1	2	0	2	1	1	1	0	2	2	1	1	0	1	1	0	1	3	0	0	2	1	1	5	2	0	3	1	1	0	1	1					
