Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Майкопская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115					
1	"Число избирателей, внесенных в списки избирателей"	46205	395	2026	2252	2086	2543	637	1228	1171	1564	1109	398	1274	516	558	1206	1641	1579	1562	151	1118	215	228	627	1285	478	2413	2572	1270	717	1151	985	523	445	1368	1367	336	663	552	1235	1194	1567					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41500	350	1800	2000	1850	2200	550	1100	1050	1400	1000	350	1150	450	500	1100	1500	1450	1400	150	1000	200	200	550	1200	400	2350	2300	1100	650	1000	900	500	400	1200	1200	300	600	500	1150	1050	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	6	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22942	235	1023	1192	1004	1231	347	680	613	784	544	212	597	232	268	610	803	726	777	58	536	99	124	279	614	214	1318	1209	640	376	618	523	279	252	531	543	153	294	234	719	634	817					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1439	16	37	64	46	141	20	35	13	34	59	9	33	26	25	37	30	29	15	23	49	6	4	28	56	49	97	62	15	27	26	15	16	12	35	16	17	13	23	102	42	37					
6	Число погашенных избирательных бюллетеней	17113	99	740	744	800	828	183	385	424	582	397	129	514	192	207	453	667	695	608	69	415	95	72	243	530	137	935	1029	445	247	356	362	205	136	634	641	130	293	243	329	374	546					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1445	16	37	64	46	141	20	35	13	34	59	9	39	26	25	37	30	29	15	23	49	6	4	28	56	49	97	62	15	27	26	15	16	12	35	16	17	13	23	102	42	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22920	235	1023	1190	1004	1227	345	680	613	784	544	212	597	232	268	610	803	725	777	58	536	99	124	279	614	214	1318	1209	636	376	617	523	279	252	531	543	153	294	233	719	627	817					
9	Число недействительных избирательных бюллетеней	442	10	21	30	33	29	4	11	16	12	19	10	18	10	4	2	5	5	9	0	7	4	3	4	6	2	16	7	7	8	16	11	2	2	9	10	2	7	3	21	19	28					
10	Число действительных избирательных бюллетеней	23923	241	1039	1224	1017	1339	361	704	610	806	584	211	618	248	289	645	828	749	783	81	578	101	125	303	664	261	1399	1264	644	395	627	527	293	262	557	549	168	300	253	800	650	826					
