Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																			
Дата голосования: 02.12.2007																																																			
																																																			
Наименование Избирательной комиссии:    ТИК Кудымкарского МР																																																			
																																																			
Сводная таблица результатов выборов																																																			
																																																			
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143	УИК №5144					
1	"Число избирателей, внесенных в списки избирателей"	19263	1349	237	756	74	69	499	337	614	133	132	104	1221	471	381	985	697	1435	298	210	156	227	401	300	846	573	598	252	796	197	190	610	433	407	577	178	241	259	374	499	198	219	228	340	162					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18400	1270	230	730	75	60	490	340	590	125	125	95	1090	450	370	870	700	1380	270	200	150	220	380	290	800	550	600	245	785	180	185	570	400	400	550	170	240	240	360	470	185	250	230	340	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9403	639	118	396	23	36	233	130	328	82	69	61	508	195	189	337	322	687	123	98	95	96	246	165	442	318	259	131	339	93	106	235	210	215	351	124	137	168	172	240	123	154	136	160	114					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2267	191	63	58	27	4	54	63	76	12	10	14	145	49	23	148	77	103	66	21	17	50	20	19	77	107	52	34	83	31	22	91	84	44	38	11	27	14	77	61	11	10	9	67	7					
6	Число погашенных избирательных бюллетеней	6730	440	49	276	25	20	203	147	186	31	46	20	437	206	158	385	301	590	81	81	38	74	114	106	281	125	289	80	363	56	57	244	106	141	161	35	76	58	111	169	51	86	85	113	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2267	191	63	58	27	4	54	63	76	12	10	14	145	49	23	148	77	103	66	21	17	50	20	19	77	107	52	34	83	31	22	91	84	44	38	11	27	14	77	61	11	10	9	67	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9403	639	118	396	23	36	233	130	328	82	69	61	508	195	189	337	322	687	123	98	95	96	246	165	442	318	259	131	339	93	106	235	210	215	351	124	137	168	172	240	123	154	136	160	114					
9	Число недействительных избирательных бюллетеней	227	33	2	9	0	0	8	2	4	0	0	0	16	1	5	7	4	14	1	7	5	3	8	4	3	6	5	7	5	1	2	9	7	5	7	5	6	8	1	2	7	5	0	1	2					
10	Число действительных избирательных бюллетеней	11443	797	179	445	50	40	279	191	400	94	79	75	637	243	207	478	395	776	188	112	107	143	258	180	516	419	306	158	417	123	126	317	287	254	382	130	158	174	248	299	127	159	145	226	119					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	430	30	5	15	5	5	10	10	15	5	5	5	25	10	10	15	15	30	5	5	5	5	10	5	15	10	15	5	15	5	5	15	10	10	10	5	5	5	10	10	5	5	5	10	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	92	5	0	8	0	0	1	7	7	0	0	0	6	7	0	4	3	10	2	2	1	0	1	1	6	0	2	1	0	0	1	4	1	1	0	0	0	0	0	6	0	0	0	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	132	9	1	5	3	5	4	2	6	1	2	3	8	1	6	3	6	8	3	0	3	2	3	3	1	5	1	2	4	1	2	1	4	3	3	2	1	0	2	5	2	1	2	1	2					
14	Число погашенных неиспользованных открепительных удостоверений	338	25	5	7	5	5	9	3	8	5	5	5	19	3	10	11	12	20	3	3	4	5	9	4	9	10	13	4	15	5	4	11	9	9	10	5	5	5	10	4	5	5	5	10	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																			
18	1.Политическая партия «Аграрная партия России»	456	37	3	10	1	0	18	7	19	2	6	1	28	14	6	11	18	17	6	8	3	6	3	1	27	8	26	4	22	7	6	12	18	24	7	7	6	6	12	8	2	1	1	20	7					
		3.91%	4.46%	1.66%	2.20%	2.00%	0.00%	6.27%	3.63%	4.70%	2.13%	7.59%	1.33%	4.29%	5.74%	2.83%	2.27%	4.51%	2.15%	3.17%	6.72%	2.68%	4.11%	1.13%	0.54%	5.20%	1.88%	8.36%	2.42%	5.21%	5.65%	4.69%	3.68%	6.12%	9.27%	1.80%	5.19%	3.66%	3.30%	4.82%	2.66%	1.49%	0.61%	0.69%	8.81%	5.79%					
19	2.Всероссийская политическая партия «Гражданская Сила»	54	4	0	3	0	1	4	0	2	0	0	0	2	0	1	2	1	2	2	3	0	1	4	1	2	2	0	0	2	0	0	0	1	2	1	0	1	0	4	2	0	1	0	2	1					
		0.46%	0.48%	0.00%	0.66%	0.00%	2.50%	1.39%	0.00%	0.50%	0.00%	0.00%	0.00%	0.31%	0.00%	0.47%	0.41%	0.25%	0.25%	1.06%	2.52%	0.00%	0.68%	1.50%	0.54%	0.39%	0.47%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.34%	0.77%	0.26%	0.00%	0.61%	0.00%	1.61%	0.66%	0.00%	0.61%	0.00%	0.88%	0.83%					
20	3.Политическая партия «Демократическая партия России»	29	4	0	0	0	2	2	1	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	1	0	1	0	1	0	1	2	2	0	0	2	2	0	0	0	2	0	1	0	0	0					
		0.25%	0.48%	0.00%	0.00%	0.00%	5.00%	0.70%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.25%	0.00%	0.84%	0.89%	0.00%	0.00%	0.54%	0.00%	0.24%	0.00%	0.61%	0.00%	0.81%	1.56%	0.61%	0.00%	0.00%	0.51%	1.48%	0.00%	0.00%	0.00%	0.66%	0.00%	0.61%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	667	90	10	24	2	4	20	6	31	3	4	3	52	9	10	9	23	34	5	12	3	11	15	4	16	37	13	3	18	0	6	48	21	27	16	5	10	9	14	9	4	6	7	7	7					
		5.72%	10.84%	5.52%	5.29%	4.00%	10.00%	6.97%	3.11%	7.67%	3.19%	5.06%	4.00%	7.96%	3.69%	4.72%	1.86%	5.76%	4.30%	2.65%	10.08%	2.68%	7.53%	5.64%	2.17%	3.08%	8.71%	4.18%	1.82%	4.27%	0.00%	4.69%	14.72%	7.14%	10.42%	4.11%	3.70%	6.10%	4.95%	5.62%	2.99%	2.99%	3.66%	4.83%	3.08%	5.79%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	139	15	1	10	1	0	3	0	9	1	0	4	3	1	0	4	1	11	2	2	1	1	2	4	4	5	2	0	4	0	2	2	3	4	1	3	2	6	3	13	7	1	1	0	0					
		1.19%	1.81%	0.55%	2.20%	2.00%	0.00%	1.05%	0.00%	2.23%	1.06%	0.00%	5.33%	0.46%	0.41%	0.00%	0.82%	0.25%	1.39%	1.06%	1.68%	0.89%	0.68%	0.75%	2.17%	0.77%	1.18%	0.64%	0.00%	0.95%	0.00%	1.56%	0.61%	1.02%	1.54%	0.26%	2.22%	1.22%	3.30%	1.20%	4.32%	5.22%	0.61%	0.69%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	17	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	2	1	1	1	0	1	0					
		0.15%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.84%	0.89%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.39%	0.26%	0.00%	0.00%	0.00%	0.80%	0.33%	0.75%	0.61%	0.00%	0.44%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	948	71	14	44	1	3	30	12	34	9	9	11	41	27	13	34	46	79	17	7	7	9	35	16	31	32	31	8	28	4	10	12	19	31	33	6	11	20	16	34	8	12	11	16	6					
		8.12%	8.55%	7.73%	9.69%	2.00%	7.50%	10.45%	6.22%	8.42%	9.57%	11.39%	14.67%	6.28%	11.07%	6.13%	7.01%	11.53%	10.00%	8.99%	5.88%	6.25%	6.16%	13.16%	8.70%	5.97%	7.53%	9.97%	4.85%	6.64%	3.23%	7.81%	3.68%	6.46%	11.97%	8.48%	4.44%	6.71%	10.99%	6.43%	11.30%	5.97%	7.32%	7.59%	7.05%	4.96%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	387	33	7	12	9	1	11	10	14	1	0	5	25	5	6	7	12	32	4	2	1	13	7	4	10	13	4	2	20	3	2	5	11	16	14	11	7	7	7	15	4	5	1	3	6					
		3.32%	3.98%	3.87%	2.64%	18.00%	2.50%	3.83%	5.18%	3.47%	1.06%	0.00%	6.67%	3.83%	2.05%	2.83%	1.44%	3.01%	4.05%	2.12%	1.68%	0.89%	8.90%	2.63%	2.17%	1.93%	3.06%	1.29%	1.21%	4.74%	2.42%	1.56%	1.53%	3.74%	6.18%	3.60%	8.15%	4.27%	3.85%	2.81%	4.98%	2.99%	3.05%	0.69%	1.32%	4.96%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	87	13	3	4	1	0	4	0	5	1	0	0	6	1	3	5	5	5	0	2	1	1	2	0	3	3	0	2	2	0	1	2	1	0	3	0	0	2	2	2	1	0	1	0	0					
		0.75%	1.57%	1.66%	0.88%	2.00%	0.00%	1.39%	0.00%	1.24%	1.06%	0.00%	0.00%	0.92%	0.41%	1.42%	1.03%	1.25%	0.63%	0.00%	1.68%	0.89%	0.68%	0.75%	0.00%	0.58%	0.71%	0.00%	1.21%	0.47%	0.00%	0.78%	0.61%	0.34%	0.00%	0.77%	0.00%	0.00%	1.10%	0.80%	0.66%	0.75%	0.00%	0.69%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8615	528	140	336	35	26	186	154	284	77	60	51	477	185	167	406	287	589	152	74	88	101	186	149	417	316	228	138	318	108	97	233	213	148	303	96	121	122	186	213	99	131	122	177	91					
		73.82%	63.61%	77.35%	74.01%	70.00%	65.00%	64.81%	79.79%	70.30%	81.91%	75.95%	68.00%	73.05%	75.82%	78.77%	83.71%	71.93%	74.56%	80.42%	62.18%	78.57%	69.18%	69.92%	80.98%	80.35%	74.35%	73.31%	83.64%	75.36%	87.10%	75.78%	71.47%	72.45%	57.14%	77.89%	71.11%	73.78%	67.03%	74.70%	70.76%	73.88%	79.88%	84.14%	77.97%	75.21%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	44	0	1	2	0	3	1	1	2	0	0	0	1	1	1	0	1	4	0	0	1	0	4	0	5	2	2	0	3	0	0	0	0	1	1	0	0	2	2	0	1	0	1	0	1					
		0.38%	0.00%	0.55%	0.44%	0.00%	7.50%	0.35%	0.52%	0.50%	0.00%	0.00%	0.00%	0.15%	0.41%	0.47%	0.00%	0.25%	0.51%	0.00%	0.00%	0.89%	0.00%	1.50%	0.00%	0.96%	0.47%	0.64%	0.00%	0.71%	0.00%	0.00%	0.00%	0.00%	0.39%	0.26%	0.00%	0.00%	1.10%	0.80%	0.00%	0.75%	0.00%	0.69%	0.00%	0.83%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
