Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Кизнерская																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18075	590	238	283	179	499	323	211	433	175	292	192	168	331	407	419	455	262	180	435	601	737	713	197	752	1050	1420	2064	1255	1397	1079	738									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15900	580	220	250	150	450	290	200	400	160	270	180	160	300	380	410	410	250	180	410	570	660	650	190	650	1000	1000	1600	1100	1150	1000	680									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9444	302	133	138	102	420	147	97	319	108	228	113	96	185	247	208	260	153	116	218	265	389	397	120	401	422	680	1239	533	591	465	352									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1022	40	9	10	4	18	24	33	36	2	24	28	12	45	59	45	30	24	17	56	47	55	26	20	13	46	44	72	58	56	41	28									
6	Число погашенных избирательных бюллетеней	5434	238	78	102	44	12	119	70	45	50	18	39	52	70	74	157	120	73	47	136	258	216	227	50	236	532	276	289	509	503	494	300									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1022	40	9	10	4	18	24	33	36	2	24	28	12	45	59	45	30	24	17	56	47	55	26	20	13	46	44	72	58	56	41	28									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9439	301	133	138	102	420	147	97	319	108	228	113	96	185	247	208	260	153	116	218	265	389	393	120	401	422	680	1239	533	591	465	352									
9	Число недействительных избирательных бюллетеней	228	4	6	0	1	3	2	0	6	0	2	4	2	3	3	1	2	2	0	3	8	7	4	0	19	22	25	39	29	15	6	10									
10	Число действительных избирательных бюллетеней	10233	337	136	148	105	435	169	130	349	110	250	137	106	227	303	252	288	175	133	271	304	437	415	140	395	446	699	1272	562	632	500	370									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	328	10	7	15	10	7	7	15	15	5	7	7	10	10	11	10	10	10	5	5	10	10	10	5	12	10	10	50	10	10	10	5									
