Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Заволжская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14851	2597	2342	2255	2156	828	566	538	271	322	539	188	814	371	258	514	292									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11100	1600	1500	1400	1400	600	500	500	300	300	500	200	800	400	300	500	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5073	847	788	827	654	183	173	263	71	118	158	24	390	143	125	169	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1016	107	55	34	58	39	113	40	67	87	78	78	82	66	37	52	23									
6	Число погашенных избирательных бюллетеней	5011	646	657	539	688	378	214	197	162	95	264	98	328	191	138	279	137									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1016	107	55	34	58	39	113	40	67	87	78	78	82	66	37	52	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5071	847	788	825	654	183	173	263	71	118	158	24	390	143	125	169	140									
9	Число недействительных избирательных бюллетеней	88	18	7	13	14	2	5	5	1	0	1	1	8	4	1	6	2									
10	Число действительных избирательных бюллетеней	5999	936	836	846	698	220	281	298	137	205	235	101	464	205	161	215	161									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	450	50	30	30	30	30	20	30	20	30	30	20	30	30	20	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	363	33	26	25	7	7	20	30	16	30	30	20	30	30	20	19	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	96	13	9	11	3	5	3	5	3	2	9	2	15	3	3	3	7									
14	Число погашенных неиспользованных открепительных удостоверений	87	17	4	5	23	23	0	0	4	0	0	0	0	0	0	11	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	64	12	7	13	4	3	1	5	0	0	10	1	3	3	1	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	80	14	11	5	13	9	2	5	4	3	2	1	2	5	0	0	4									
		1.31%	1.47%	1.30%	0.58%	1.83%	4.05%	0.70%	1.65%	2.90%	1.46%	0.85%	0.98%	0.42%	2.39%	0.00%	0.00%	2.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	223	31	26	32	29	10	12	11	6	2	8	3	20	10	4	8	11									
		3.66%	3.25%	3.08%	3.73%	4.07%	4.50%	4.20%	3.63%	4.35%	0.98%	3.39%	2.94%	4.24%	4.78%	2.47%	3.62%	6.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	216	42	28	32	18	7	10	17	2	4	6	4	23	5	3	12	3									
		3.55%	4.40%	3.32%	3.73%	2.53%	3.15%	3.50%	5.61%	1.45%	1.95%	2.54%	3.92%	4.87%	2.39%	1.85%	5.43%	1.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2288	308	232	272	236	75	112	141	45	123	112	39	220	90	111	102	70									
		37.59%	32.29%	27.52%	31.66%	33.15%	33.78%	39.16%	46.53%	32.61%	60.00%	47.46%	38.24%	46.61%	43.06%	68.52%	46.15%	42.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	2	4	9	3	4	5	1	1	3	4	1	1	3	0	2	1									
		0.72%	0.21%	0.47%	1.05%	0.42%	1.80%	1.75%	0.33%	0.72%	1.46%	1.69%	0.98%	0.21%	1.44%	0.00%	0.90%	0.61%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	1	0	2	0	0	0	0	0	0	0	2	1	0	0	0									
		0.11%	0.10%	0.12%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.48%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1278	211	184	176	155	39	63	62	51	39	53	28	77	46	27	39	28									
		20.99%	22.12%	21.83%	20.49%	21.77%	17.57%	22.03%	20.46%	36.96%	19.02%	22.46%	27.45%	16.31%	22.01%	16.67%	17.65%	17.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	29	1	3	10	7	4	1	0	0	0	1	0	1	0	0	0	1									
		0.48%	0.10%	0.36%	1.16%	0.98%	1.80%	0.35%	0.00%	0.00%	0.00%	0.42%	0.00%	0.21%	0.00%	0.00%	0.00%	0.61%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	9	11	7	7	1	1	3	0	0	2	0	0	1	0	1	1									
		0.72%	0.94%	1.30%	0.81%	0.98%	0.45%	0.35%	0.99%	0.00%	0.00%	0.85%	0.00%	0.00%	0.48%	0.00%	0.45%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	2	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0									
		0.10%	0.21%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	59	9	14	8	6	5	1	3	0	1	5	2	1	0	0	1	3									
		0.97%	0.94%	1.66%	0.93%	0.84%	2.25%	0.35%	0.99%	0.00%	0.49%	2.12%	1.96%	0.21%	0.00%	0.00%	0.45%	1.84%									
