Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Приволжская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16822	155	1115	1832	735	159	121	160	91	397	965	448	493	560	993	303	1033	300	84	1949	612	1846	489	525	264	167	118	579	88	241									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16875	160	1150	1800	720	160	120	160	100	400	980	460	500	570	1000	320	1050	300	85	1900	630	1800	490	530	270	170	130	590	90	240									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12286	117	657	854	629	110	106	77	53	309	677	303	412	434	823	263	787	236	69	1694	356	1628	304	346	157	130	85	438	70	162									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1549	35	101	100	42	14	10	67	33	54	106	40	15	83	47	20	79	49	9	52	75	70	51	155	31	30	29	70	12	70									
6	Число погашенных избирательных бюллетеней	3040	8	392	846	49	36	4	16	14	37	197	117	73	53	130	37	184	15	7	154	199	102	135	29	82	10	16	82	8	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1549	35	101	100	42	14	10	67	33	54	106	40	15	83	47	20	79	49	9	52	75	70	51	155	31	30	29	70	12	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12274	117	657	854	629	110	106	77	53	309	674	303	412	433	823	263	787	236	69	1694	356	1628	296	346	157	130	85	438	70	162									
9	Число недействительных избирательных бюллетеней	239	0	13	15	16	3	1	4	1	1	28	11	14	14	11	0	0	2	1	36	20	11	7	9	7	0	1	9	0	4									
10	Число действительных избирательных бюллетеней	13584	152	745	939	655	121	115	140	85	362	752	332	413	502	859	283	866	283	77	1710	411	1687	340	492	181	160	113	499	82	228									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	346	5	43	22	9	5	5	5	5	10	30	20	8	20	10	10	15	10	0	30	19	10	10	7	10	2	11	9	5	1									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	346	5	43	22	9	5	5	5	5	10	30	20	8	20	10	10	15	10	0	30	19	10	10	7	10	2	11	9	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	6	0	3	2	0	2	3	2	4	9	3	2	4	1	0	2	0	1	0	3	5	2	1	5	3	3	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	104	12	2	0	1	0	1	0	0	2	2	2	1	0	0	3	32	0	0	10	23	4	1	2	4	1	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
