Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Омская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1328	УИК №1329	УИК №1330	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1385	УИК №1386	УИК №1387									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19165	1169	222	317	290	1298	1055	1327	1552	1874	834	382	1378	286	143	132	141	221	186	1189	193	279	1695	1615	1387									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18610	1150	200	300	280	1250	1000	1300	1530	1800	790	380	1350	280	130	130	150	200	150	1170	180	260	1680	1600	1350									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6219	296	80	59	154	398	193	301	558	562	334	125	477	120	43	60	42	84	74	362	83	115	577	576	546									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	370	29	0	3	5	11	14	18	46	59	7	8	52	14	3	8	8	12	5	22	13	0	13	4	16									
6	Число погашенных избирательных бюллетеней	12021	825	120	238	121	841	793	981	926	1179	449	247	821	146	84	62	100	104	71	786	84	145	1090	1020	788									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	370	29	0	3	5	11	14	18	46	59	7	8	52	14	3	8	8	12	5	22	13	0	13	4	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6219	296	80	59	154	398	193	301	558	562	334	125	477	120	43	60	42	84	74	362	83	115	577	576	546									
9	Число недействительных избирательных бюллетеней	209	11	2	0	11	10	11	11	21	21	12	7	15	0	7	3	0	1	9	15	1	0	13	15	13									
10	Число действительных избирательных бюллетеней	6380	314	78	62	148	399	196	308	583	600	329	126	514	134	39	65	50	95	70	369	95	115	577	565	549									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	685	40	15	20	15	40	35	40	50	50	35	20	45	15	15	10	10	15	10	40	10	15	50	50	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	105	8	4	0	0	11	4	4	7	3	0	2	7	4	3	2	0	0	8	14	0	1	4	9	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	3	0	5	7	2	8	8	8	7	41	5	18	2	3	2	1	3	5	10	3	4	2	3	11									
14	Число погашенных неиспользованных открепительных удостоверений	580	32	11	20	15	29	31	36	43	47	35	18	38	11	12	8	10	15	2	26	10	14	46	41	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	89	0	2	0	6	5	5	3	9	9	2	2	3	3	1	4	0	0	0	6	0	2	11	9	7									
		1.35%	0.00%	2.50%	0.00%	3.77%	1.22%	2.42%	0.94%	1.49%	1.45%	0.59%	1.50%	0.57%	2.24%	2.17%	5.88%	0.00%	0.00%	0.00%	1.56%	0.00%	1.74%	1.86%	1.55%	1.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	359	20	7	3	7	25	16	16	33	35	19	5	31	10	2	2	3	5	4	19	3	11	18	28	37									
		5.45%	6.15%	8.75%	4.84%	4.40%	6.11%	7.73%	5.02%	5.46%	5.64%	5.57%	3.76%	5.86%	7.46%	4.35%	2.94%	6.00%	5.21%	5.06%	4.95%	3.13%	9.57%	3.05%	4.83%	6.58%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	137	6	1	2	4	8	2	7	12	22	13	1	9	2	0	1	2	2	1	6	2	2	11	12	9									
		2.08%	1.85%	1.25%	3.23%	2.52%	1.96%	0.97%	2.19%	1.99%	3.54%	3.81%	0.75%	1.70%	1.49%	0.00%	1.47%	4.00%	2.08%	1.27%	1.56%	2.08%	1.74%	1.86%	2.07%	1.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2544	150	33	31	80	165	71	126	215	190	122	46	196	61	19	26	18	69	41	177	61	50	208	197	192									
		38.61%	46.15%	41.25%	50.00%	50.31%	40.34%	34.30%	39.50%	35.60%	30.60%	35.78%	34.59%	37.05%	45.52%	41.30%	38.24%	36.00%	71.88%	51.90%	46.09%	63.54%	43.48%	35.25%	33.97%	34.16%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	1	1	2	2	2	1	1	5	0	4	1	1	1	0	0	0	0	0	1	2	1	4	4	0									
		0.52%	0.31%	1.25%	3.23%	1.26%	0.49%	0.48%	0.31%	0.83%	0.00%	1.17%	0.75%	0.19%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	2.08%	0.87%	0.68%	0.69%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	0	0	0	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	1	0	11	3	2	1									
