Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Тяжинская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546					
1	"Число избирателей, внесенных в списки"	22004	653	95	165	369	123	357	88	593	94	408	205	265	70	205	511	68	278	439	54	741	362	217	123	335	241	99	238	250	490	86	227	464	77	23	747	245	2019	1185	1722	1769	1221	1919	989	456	719					
2	"Число бюллетеней, полученных участковыми комиссиями"	22161	649	94	170	373	128	363	89	590	95	410	203	260	67	199	509	70	272	438	56	734	355	217	134	325	235	100	236	250	483	89	219	459	78	29	760	284	2046	1219	1724	1785	1253	1954	974	454	730					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14741	585	87	148	351	117	269	86	448	90	309	178	224	60	153	398	63	236	373	54	538	305	191	95	307	210	95	192	194	338	84	183	374	77	23	496	228	1094	605	956	1073	677	1063	459	224	431					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1115	4	0	14	18	0	23	0	23	0	16	8	8	5	16	37	4	13	26	0	16	0	0	21	11	2	0	29	21	46	2	12	43	0	0	50	17	122	98	70	65	68	78	50	39	40					
6	Число погашенных бюллетеней	6305	60	7	8	4	11	71	3	119	5	85	17	28	2	30	74	3	23	39	2	180	50	26	18	7	23	5	15	35	99	3	24	42	1	6	214	39	830	516	698	647	508	813	465	191	259					
7	Число бюллетеней в переносных ящиках для голосования	1115	4	0	14	18	0	23	0	23	0	16	8	8	5	16	37	4	13	26	0	16	0	0	21	11	2	0	29	21	46	2	12	43	0	0	50	17	122	98	70	65	68	78	50	39	40					
8	Число бюллетеней в стационарных ящиках для голосования	14741	585	87	148	351	117	269	86	448	90	309	178	224	60	153	398	63	236	373	54	538	305	191	95	307	210	95	192	194	338	84	183	373	77	23	496	228	1094	605	956	1073	677	1063	460	224	431					
9	Число недействительных бюллетеней	115	2	0	0	2	1	4	0	1	0	8	0	0	0	4	2	0	2	2	0	6	3	0	0	1	0	1	3	4	9	2	1	3	0	0	3	2	0	7	14	4	8	8	2	3	3					
10	Число действительных бюллетеней	15741	587	87	162	367	116	288	86	470	90	317	186	232	65	165	433	67	247	397	54	548	302	191	116	317	212	94	218	211	375	84	194	413	77	23	543	243	1216	696	1012	1134	737	1133	508	260	468					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	180	1	6	1	1	1	1	2	2	1	4	1	1	2	1	2	1	1	3	1	3	1	5	1	2	2	1	1	2	2	1	9	1	1	1	2	5	10	5	14	19	16	15	10	10	8					
