Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    Ванинская																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823					
1	"Число избирателей, внесенных в списки избирателей"	30817	1959	1496	569	850	1868	1090	1293	2199	966	2181	1639	1563	1009	862	868	429	543	1431	797	850	609	652	1481	1788	1652	18	22	22	22	89					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	29523	1900	1450	550	850	1650	1050	1250	2150	900	2150	1600	1500	950	800	800	500	550	1400	800	800	600	650	1400	1600	1500	18	22	22	22	89					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	189	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	8	0	0	0	0	158	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	19919	1265	843	353	684	1062	737	826	1480	648	1486	1084	851	735	595	615	387	418	866	493	530	395	422	860	856	1262	18	22	22	22	82					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	988	22	26	24	23	190	17	18	25	61	22	19	30	20	19	5	12	28	15	49	31	37	43	101	95	56	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	8427	613	581	173	143	398	296	406	645	191	619	497	619	195	186	180	101	104	519	250	239	168	185	439	491	182	0	0	0	0	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1177	22	26	24	23	190	17	18	25	61	45	19	30	20	19	5	12	28	15	57	31	37	43	101	253	56	0	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	19893	1265	843	353	684	1061	737	826	1469	648	1486	1084	851	735	595	615	387	418	864	482	530	395	422	860	856	1261	18	22	22	22	82					
9	Число недействительных избирательных бюллетеней	211	21	10	3	5	17	9	12	11	7	15	5	6	5	5	7	0	3	12	3	3	5	2	17	13	12	0	0	1	0	2					
10	Число действительных избирательных бюллетеней	20859	1266	859	374	702	1234	745	832	1483	702	1516	1098	875	750	609	613	399	443	867	536	558	427	463	944	1096	1305	18	22	21	22	80					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	333	23	15	10	5	15	10	5	20	7	15	15	15	10	20	10	10	10	20	10	15	10	10	15	10	28	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	291	23	15	8	5	8	7	5	19	6	15	11	14	8	14	10	10	3	20	10	12	10	9	14	7	28	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	275	16	10	2	3	10	7	5	5	24	28	22	6	2	4	5	15	1	3	5	29	3	5	9	53	3	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	42	0	0	2	0	7	3	0	1	1	0	4	1	2	6	0	0	7	0	0	3	0	1	1	3	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	1	0	0	1	0	1	1	1	2	3	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
