Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Дорогобужская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134					
1	"Число избирателей, внесенных в списки"	25790	570	215	277	228	348	263	179	325	306	273	219	309	357	254	742	1343	637	867	723	693	2596	2452	1906	1984	1807	1627	1794	2496					
2	"Число бюллетеней, полученных участковыми комиссиями"	25267	578	212	267	229	358	258	180	320	304	277	214	312	357	240	744	1250	610	810	678	684	2570	2465	1865	1950	1775	1600	1740	2420					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12385	240	88	149	86	175	106	76	129	139	115	80	167	158	148	269	543	323	386	340	302	1347	1213	914	970	850	855	914	1303					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1197	105	57	67	59	138	37	28	56	14	76	50	45	68	49	110	22	10	44	13	11	9	13	10	10	8	8	39	41					
6	Число погашенных бюллетеней	11685	233	67	51	84	45	115	76	135	151	86	84	100	131	43	365	685	277	380	325	371	1214	1239	941	970	917	737	787	1076					
7	Число бюллетеней в переносных ящиках для голосования	1197	105	57	67	59	138	37	28	56	14	76	50	45	68	49	110	22	10	44	13	11	9	13	10	10	8	8	39	41					
8	Число бюллетеней в стационарных ящиках для голосования	12375	240	88	149	86	175	106	76	129	139	115	80	167	158	148	269	543	323	386	340	302	1341	1210	914	970	850	854	914	1303					
9	Число недействительных бюллетеней	211	6	5	6	4	3	4	4	0	3	10	4	2	5	5	4	7	7	4	7	3	5	12	8	11	8	15	23	36					
10	Число действительных бюллетеней	13361	339	140	210	141	310	139	100	185	150	181	126	210	221	192	375	558	326	426	346	310	1345	1211	916	969	850	847	930	1308					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	270	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	15	10	10	10	10	20	20	15	15	15	15	20	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	86	5	0	1	0	1	0	1	2	0	3	0	0	0	0	2	9	0	3	2	3	8	3	10	3	9	9	6	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	72	3	5	3	1	3	1	4	4	1	1	3	0	1	4	2	8	1	3	0	0	6	3	3	3	3	0	3	3					
14	Число погашенных открепительных удостоверений	184	5	5	4	5	4	5	4	3	5	2	5	5	5	5	3	6	10	7	8	7	12	17	5	12	6	6	14	9					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	146	7	2	8	0	11	1	1	1	3	2	7	4	4	5	6	7	3	2	3	2	12	8	10	8	3	7	10	9					
		1.07%	2.02%	1.37%	3.70%	0.0%	3.51%	0.69%	0.96%	0.54%	1.96%	1.04%	5.38%	1.88%	1.76%	2.53%	1.58%	1.23%	0.90%	0.46%	0.84%	0.63%	0.88%	0.65%	1.08%	0.81%	0.34%	0.81%	1.04%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	279	7	2	2	0	2	1	5	4	1	3	1	4	2	3	8	6	9	9	11	8	24	22	27	18	26	15	23	36					
		2.05%	2.02%	1.37%	0.92%	0.0%	0.63%	0.69%	4.80%	2.16%	0.65%	1.57%	0.76%	1.88%	0.88%	1.52%	2.11%	1.06%	2.70%	2.09%	3.11%	2.55%	1.77%	1.79%	2.92%	1.83%	3.03%	1.74%	2.41%	2.67%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	980	26	5	4	2	11	11	9	12	5	13	7	10	8	4	15	39	16	35	20	20	127	80	72	91	75	59	81	123					
		7.22%	7.53%	3.44%	1.85%	1.37%	3.51%	7.69%	8.65%	6.48%	3.26%	6.80%	5.38%	4.71%	3.53%	2.03%	3.95%	6.90%	4.80%	8.13%	5.66%	6.38%	9.40%	6.54%	7.79%	9.28%	8.74%	6.84%	8.49%	9.15%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	701	8	1	8	0	8	4	1	10	5	12	0	6	4	3	11	29	25	33	22	19	94	90	52	64	40	27	47	78					
		5.16%	2.31%	0.68%	3.70%	0.0%	2.55%	2.79%	0.96%	5.40%	3.26%	6.28%	0.0%	2.83%	1.76%	1.52%	2.90%	5.13%	7.50%	7.67%	6.23%	6.07%	6.96%	7.35%	5.62%	6.53%	4.66%	3.13%	4.93%	5.80%					
22	"5. ""За Русь Святую"""	59	4	0	1	0	1	3	7	1	0	0	1	1	2	0	2	0	0	5	0	0	6	2	6	1	3	6	3	4					
		0.43%	1.15%	0.0%	0.46%	0.0%	0.31%	2.09%	6.73%	0.54%	0.0%	0.0%	0.76%	0.47%	0.88%	0.0%	0.52%	0.0%	0.0%	1.16%	0.0%	0.0%	0.44%	0.16%	0.64%	0.10%	0.34%	0.69%	0.31%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	28	2	0	1	0	1	0	0	0	2	1	0	1	0	3	0	4	1	2	0	1	1	2	2	0	0	0	1	3					
		0.20%	0.57%	0.0%	0.46%	0.0%	0.31%	0.0%	0.0%	0.0%	1.30%	0.52%	0.0%	0.47%	0.0%	1.52%	0.0%	0.70%	0.30%	0.46%	0.0%	0.31%	0.07%	0.16%	0.21%	0.0%	0.0%	0.0%	0.10%	0.22%					
24	"7. ""Новый курс - Автомобильная Россия"""	66	3	1	1	0	4	1	0	1	0	1	0	1	0	3	0	4	3	3	3	1	3	3	8	0	5	5	4	8					
		0.48%	0.86%	0.68%	0.46%	0.0%	1.27%	0.69%	0.0%	0.54%	0.0%	0.52%	0.0%	0.47%	0.0%	1.52%	0.0%	0.70%	0.90%	0.69%	0.84%	0.31%	0.22%	0.24%	0.86%	0.0%	0.58%	0.58%	0.41%	0.59%					
25	"8. ""Народно-республиканская партия России"""	13	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	2	1	0	0	2	2	0	2	0	0	0	0					
		0.09%	0.28%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.60%	0.23%	0.0%	0.0%	0.14%	0.16%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	19	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	1	1	3	1	0	1	0	3	2	2					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.17%	0.0%	0.46%	0.28%	0.31%	0.22%	0.08%	0.0%	0.10%	0.0%	0.34%	0.20%	0.14%					
27	"10. ""Аграрная партия России"""	324	12	7	10	4	7	6	2	3	4	10	3	0	22	7	20	18	11	16	7	12	20	19	13	26	16	15	15	19					
		2.38%	3.47%	4.82%	4.62%	2.75%	2.23%	4.19%	1.92%	1.62%	2.61%	5.23%	2.30%	0.0%	9.73%	3.55%	5.27%	3.18%	3.30%	3.72%	1.98%	3.83%	1.48%	1.55%	1.40%	2.65%	1.86%	1.74%	1.57%	1.41%					
28	"11. ""Истинные патриоты России"""	18	0	0	1	1	5	0	0	0	2	1	0	1	1	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2					
		0.13%	0.0%	0.0%	0.46%	0.68%	1.59%	0.0%	0.0%	0.0%	1.30%	0.52%	0.0%	0.47%	0.44%	0.0%	0.26%	0.0%	0.30%	0.23%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.14%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	192	7	2	5	1	1	0	4	3	2	4	3	0	2	2	9	1	5	5	2	7	19	18	19	6	16	13	16	20					
		1.41%	2.02%	1.37%	2.31%	0.68%	0.31%	0.0%	3.84%	1.62%	1.30%	2.09%	2.30%	0.0%	0.88%	1.01%	2.37%	0.17%	1.50%	1.16%	0.56%	2.23%	1.40%	1.47%	2.05%	0.61%	1.86%	1.50%	1.67%	1.48%					
30	"13. ""Демократическая партия России"""	40	0	0	2	0	0	1	2	3	0	4	0	3	3	1	1	1	0	1	1	1	1	3	1	1	3	1	3	3					
		0.29%	0.0%	0.0%	0.92%	0.0%	0.0%	0.69%	1.92%	1.62%	0.0%	2.09%	0.0%	1.41%	1.32%	0.50%	0.26%	0.17%	0.0%	0.23%	0.28%	0.31%	0.07%	0.24%	0.10%	0.10%	0.34%	0.11%	0.31%	0.22%					
31	"14. ""Великая Россия - Евразийский Союз"""	26	3	0	0	2	4	0	1	0	0	1	0	1	0	1	2	1	0	1	0	1	0	3	1	2	1	0	0	1					
		0.19%	0.86%	0.0%	0.0%	1.37%	1.27%	0.0%	0.96%	0.0%	0.0%	0.52%	0.0%	0.47%	0.0%	0.50%	0.52%	0.17%	0.0%	0.23%	0.0%	0.31%	0.0%	0.24%	0.10%	0.20%	0.11%	0.0%	0.0%	0.07%					
32	"15. ""Партия СЛОН"""	22	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	1	5	1	1	2	3	1	1					
		0.16%	0.57%	0.0%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.30%	0.0%	0.0%	0.63%	0.07%	0.40%	0.10%	0.10%	0.23%	0.34%	0.10%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	816	30	2	6	4	8	3	2	8	5	2	2	6	10	2	21	16	23	16	12	17	95	65	61	98	56	75	63	108					
		6.01%	8.69%	1.37%	2.77%	2.75%	2.55%	2.09%	1.92%	4.32%	3.26%	1.04%	1.53%	2.83%	4.42%	1.01%	5.54%	2.83%	6.90%	3.72%	3.39%	5.43%	7.03%	5.31%	6.60%	10.0%	6.52%	8.70%	6.61%	8.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	36	1	1	2	0	0	1	1	1	1	1	0	2	4	0	3	2	1	0	0	1	3	3	2	0	1	2	1	2					
		0.26%	0.28%	0.68%	0.92%	0.0%	0.0%	0.69%	0.96%	0.54%	0.65%	0.52%	0.0%	0.94%	1.76%	0.0%	0.79%	0.35%	0.30%	0.0%	0.0%	0.31%	0.22%	0.24%	0.21%	0.0%	0.11%	0.23%	0.10%	0.14%					
35	"18. ""ЛДПР"""	2000	50	19	30	6	7	15	5	36	19	28	12	19	35	13	41	103	54	60	62	53	227	211	134	135	128	156	143	199					
		14.73%	14.49%	13.10%	13.88%	4.13%	2.23%	10.48%	4.80%	19.45%	12.41%	14.65%	9.23%	8.96%	15.48%	6.59%	10.81%	18.23%	16.21%	13.95%	17.56%	16.93%	16.81%	17.25%	14.50%	13.77%	14.91%	18.09%	15.00%	14.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	191	10	3	2	1	1	3	3	2	4	3	5	3	3	5	10	16	6	15	5	3	12	10	11	8	9	13	11	14					
		1.40%	2.89%	2.06%	0.92%	0.68%	0.31%	2.09%	2.88%	1.08%	2.61%	1.57%	3.84%	1.41%	1.32%	2.53%	2.63%	2.83%	1.80%	3.48%	1.41%	0.95%	0.88%	0.81%	1.19%	0.81%	1.04%	1.50%	1.15%	1.04%					
37	"20. ""Политическая партия ""Единая Россия"""	4793	108	57	94	97	187	39	22	68	59	72	55	88	86	109	151	179	89	126	115	106	453	421	349	339	285	259	341	439					
		35.31%	31.30%	39.31%	43.51%	66.89%	59.74%	27.27%	21.15%	36.75%	38.56%	37.69%	42.30%	41.50%	38.05%	55.32%	39.84%	31.68%	26.72%	29.30%	32.57%	33.86%	33.55%	34.42%	37.77%	34.59%	33.21%	30.04%	35.78%	32.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	1	1	1	0	2	0	1	0	0	0	1	3					
		0.11%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.96%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.50%	0.0%	0.17%	0.30%	0.23%	0.28%	0.0%	0.14%	0.0%	0.10%	0.0%	0.0%	0.0%	0.10%	0.22%					
