Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																											
Дата голосования: 07.12.2003 0:00:00																											
																											
Наименование Избирательной комиссии:    Бурлинская																											
																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																											
																											
		Сумма	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
1	"Число избирателей, внесенных в списки"	11031	2704	1205	713	204	219	772	151	232	204	791	92	632	157	385	287	79	508	423	324	949					
2	"Число бюллетеней, полученных участковыми комиссиями"	10387	2420	1100	700	192	200	750	150	210	190	784	91	620	150	380	270	80	500	400	300	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6860	1445	737	474	148	162	481	99	174	135	463	56	416	130	260	192	53	281	281	253	620					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	247	43	20	22	7	4	18	2	9	16	14	0	19	0	18	16	4	9	0	0	26					
6	Число погашенных бюллетеней	3280	932	343	204	37	34	251	49	27	39	307	35	185	20	102	62	23	210	119	47	254					
7	Число бюллетеней в переносных ящиках для голосования	247	43	20	22	7	4	18	2	9	16	14	0	19	0	18	16	4	9	0	0	26					
8	Число бюллетеней в стационарных ящиках для голосования	6859	1445	737	474	148	162	481	99	174	135	463	56	415	130	260	192	53	281	281	253	620					
9	Число недействительных бюллетеней	154	16	22	7	3	7	5	0	7	4	15	0	19	3	5	1	3	7	6	11	13					
10	Число действительных бюллетеней	6952	1472	735	489	152	159	494	101	176	147	462	56	415	127	273	207	54	283	275	242	633					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	53	12	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	21	11	2	1	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	15	1	0	0	1	0	1	0	1	0	1	0	0	1	0	5	0	0	2	1	1					
14	Число погашенных открепительных удостоверений	32	1	0	4	2	1	2	2	2	2	1	2	0	1	2	2	2	2	2	2	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	"1. ""ЕДИНЕНИЕ"""	169	20	9	10	4	7	12	2	11	7	13	3	12	6	11	10	5	7	2	5	13					
		2.37%	1.34%	1.18%	2.01%	2.58%	4.21%	2.40%	1.98%	6.01%	4.63%	2.72%	5.35%	2.76%	4.61%	3.95%	4.80%	8.77%	2.41%	0.71%	1.97%	2.01%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	248	51	7	17	3	41	3	1	2	1	10	12	33	17	10	8	2	2	4	3	21					
		3.49%	3.42%	0.92%	3.42%	1.93%	24.69%	0.60%	0.99%	1.09%	0.66%	2.09%	21.42%	7.60%	13.07%	3.59%	3.84%	3.50%	0.68%	1.42%	1.18%	3.25%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	165	31	18	15	7	2	14	5	1	5	12	2	14	3	11	4	2	4	4	5	6					
		2.32%	2.08%	2.37%	3.02%	4.51%	1.20%	2.80%	4.95%	0.54%	3.31%	2.51%	3.57%	3.22%	2.30%	3.95%	1.92%	3.50%	1.37%	1.42%	1.97%	0.92%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	80	27	9	4	4	0	0	1	1	0	4	0	6	0	2	4	0	4	7	4	3					
		1.12%	1.81%	1.18%	0.80%	2.58%	0.0%	0.0%	0.99%	0.54%	0.0%	0.83%	0.0%	1.38%	0.0%	0.71%	1.92%	0.0%	1.37%	2.49%	1.58%	0.46%					
22	"5. ""За Русь Святую"""	25	7	1	2	0	3	4	0	0	0	0	0	2	1	2	0	0	0	0	0	3					
		0.35%	0.47%	0.13%	0.40%	0.0%	1.80%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.76%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	17	4	1	1	0	0	1	2	0	1	0	0	2	2	1	0	0	0	0	1	1					
		0.23%	0.26%	0.13%	0.20%	0.0%	0.0%	0.20%	1.98%	0.0%	0.66%	0.0%	0.0%	0.46%	1.53%	0.35%	0.0%	0.0%	0.0%	0.0%	0.39%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	13	4	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	2	0	0	1					
