Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																				
Дата голосования: 04.12.2011																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Нижнеудинская																																																																																																				
																																																																																																				
Сводная таблица результатов выборов																																																																																																				
																																																																																																				
		Сумма	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142					
1	"Число избирателей, внесенных в список избирателей"	55797	2121	1179	1440	1128	1008	1689	911	1028	1980	902	544	1543	1806	2790	633	999	1257	1384	1789	1913	1314	888	864	905	597	631	765	614	1301	208	128	204	125	89	114	83	1039	660	189	520	2328	1176	330	353	574	114	164	112	103	67	299	142	97	47	447	154	313	75	432	170	75	263	145	520	109	246	266	436	841	810	95	81	164	90	367	170	97	122	786	256	49	224	167	84	43	821	200	227	145	314	384	151	270					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52244	2000	1000	1000	1000	1000	1500	900	1000	1800	900	500	1500	1700	2700	600	900	1200	1300	1700	1800	1000	800	800	800	500	600	700	600	1300	200	141	200	124	99	117	91	1000	650	200	500	2000	1000	350	350	550	120	170	116	111	72	300	147	99	52	450	158	300	78	400	160	79	280	150	500	115	250	250	400	800	800	100	83	170	90	350	180	112	130	700	250	60	200	175	103	62	800	200	210	140	300	380	150	270					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21962	1008	337	365	371	292	686	368	341	795	259	154	482	838	994	207	449	569	452	585	601	364	293	271	208	189	158	259	187	522	83	64	75	56	45	75	52	401	365	181	214	748	533	175	171	277	64	95	55	54	45	205	79	54	34	260	97	101	31	175	112	53	153	97	186	54	170	93	199	416	394	60	62	67	33	186	141	68	76	254	108	25	109	96	56	37	339	133	56	102	138	136	129	156					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1846	31	11	76	9	18	47	16	11	21	5	23	38	26	55	33	21	11	25	23	60	38	34	12	75	31	15	30	42	85	37	30	0	7	9	4	5	33	20	0	16	76	20	9	26	27	9	12	4	8	5	5	5	6	4	35	14	72	13	34	10	0	19	14	69	10	0	12	5	23	26	4	1	6	3	17	6	7	8	28	21	4	0	0	8	1	28	0	12	0	14	21	0	2					
6	Число погашенных избирательных бюллетеней	28436	961	652	559	620	690	767	516	648	984	636	323	980	836	1651	360	430	620	823	1092	1139	598	473	517	517	280	427	411	371	693	80	47	125	61	45	38	34	566	265	19	270	1176	447	166	153	246	47	63	57	49	22	90	63	39	14	155	47	127	34	191	38	26	108	39	245	51	80	145	196	361	380	36	20	97	54	147	33	37	46	418	121	31	91	79	39	24	433	67	142	38	148	223	21	112					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1846	31	11	76	9	18	47	16	11	21	5	23	38	26	55	33	21	11	25	23	60	38	34	12	75	31	15	30	42	85	37	30	0	7	9	4	5	33	20	0	16	76	20	9	26	27	9	12	4	8	5	5	5	6	4	35	14	72	13	34	10	0	19	14	69	10	0	12	5	23	26	4	1	6	3	17	6	7	8	28	21	4	0	0	8	1	28	0	12	0	14	21	0	2					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21959	1008	337	365	371	292	686	368	339	795	259	154	482	838	994	207	449	569	452	585	601	364	292	271	208	189	158	259	187	522	83	64	75	56	45	75	52	401	365	181	214	748	533	175	171	277	64	95	55	54	45	205	79	54	34	260	97	101	31	175	112	53	153	97	186	54	170	93	199	416	394	60	62	67	33	186	141	68	76	254	108	25	109	96	56	37	339	133	56	102	138	136	129	156					
9	Число недействительных избирательных бюллетеней	357	12	3	5	7	4	11	5	6	17	3	2	8	23	13	4	10	9	10	10	10	3	4	1	0	5	3	2	2	8	1	0	2	0	1	1	1	5	3	3	2	12	9	7	1	5	0	1	1	1	1	1	3	0	1	4	1	3	0	10	2	0	3	0	8	0	0	1	8	1	11	1	0	2	0	4	0	1	0	2	0	0	3	1	2	2	11	0	0	1	4	1	2	6					
10	Число действительных избирательных бюллетеней	23448	1027	345	436	373	306	722	379	344	799	261	175	512	841	1036	236	460	571	467	598	651	399	322	282	283	215	170	287	227	599	119	94	73	63	53	78	56	429	382	178	228	812	544	177	196	299	73	106	58	61	49	209	81	60	37	291	110	170	44	199	120	53	169	111	247	64	170	104	196	438	409	63	63	71	36	199	147	74	84	280	129	29	106	95	62	36	356	133	68	101	148	156	127	152					
