Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																
Дата голосования: 04.12.2011																
																
Наименование Избирательной комиссии:    Ловозерская																
																
Сводная таблица результатов выборов																
																
		Сумма	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313					
1	"Число избирателей, внесенных в список избирателей"	8995	2178	365	59	43	1908	2010	2054	201	177					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6937	1600	362	66	47	1450	1470	1550	213	179					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	52	44	0	0	8	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	4828	1272	181	33	19	881	1038	1053	191	160					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	146	32	4	0	0	49	39	22	0	0					
6	Число погашенных избирательных бюллетеней	1911	252	177	33	20	520	393	475	22	19					
7	Число избирательных бюллетеней в переносных ящиках для голосования	198	76	4	0	8	49	39	22	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	4824	1272	181	33	19	881	1034	1053	191	160					
9	Число недействительных избирательных бюллетеней	71	22	3	0	0	16	12	18	0	0					
10	Число действительных избирательных бюллетеней	4951	1326	182	33	27	914	1061	1057	191	160					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	260	40	15	10	10	40	40	40	40	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	89	29	1	0	0	8	15	10	14	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	8	0	0	0	3	4	2	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	171	11	14	10	10	32	25	30	26	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	5	0	0	5	0	3	2	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0					
																
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1290	286	25	2	4	286	312	352	17	6					
		25.69%	21.22%	13.51%	6.06%	14.81%	30.75%	29.08%	32.74%	8.90%	3.75%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	688	230	38	6	6	116	132	124	16	20					
		13.70%	17.06%	20.54%	18.18%	22.22%	12.47%	12.30%	11.53%	8.38%	12.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	45	13	3	0	1	7	14	4	3	0					
		0.90%	0.96%	1.62%	0.00%	3.70%	0.75%	1.30%	0.37%	1.57%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1197	374	60	8	3	232	247	259	10	4					
		23.84%	27.74%	32.43%	24.24%	11.11%	24.95%	23.02%	24.09%	5.24%	2.50%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	164	53	3	0	1	33	36	35	2	1					
		3.27%	3.93%	1.62%	0.00%	3.70%	3.55%	3.36%	3.26%	1.05%	0.63%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1549	365	53	17	12	238	317	278	140	129					
		30.84%	27.08%	28.65%	51.52%	44.44%	25.59%	29.54%	25.86%	73.30%	80.63%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	5	0	0	0	2	3	5	3	0					
		0.36%	0.37%	0.00%	0.00%	0.00%	0.22%	0.28%	0.47%	1.57%	0.00%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
