Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																													
Дата голосования: 02.12.2007																																																													
																																																													
Наименование Избирательной комиссии:    Лужская																																																													
																																																													
Сводная таблица результатов выборов																																																													
																																																													
		Сумма	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732					
1	"Число избирателей, внесенных в списки избирателей"	67930	452	667	850	1847	1989	232	1698	1687	1106	1541	1606	1722	1483	1731	2116	1590	2248	2061	1081	2128	2257	2444	664	1006	2483	520	1140	470	1292	1092	1559	1054	2195	404	202	610	193	936	292	855	560	2353	1242	559	576	1432	1478	1795	868	695	871	1198	1698	1102					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57715	345	535	670	1490	1605	250	1695	1350	910	1240	1250	1395	1215	1405	1720	1285	1805	1680	855	1690	2265	2380	530	935	2010	450	1065	375	1155	990	1245	880	2100	315	250	495	150	945	230	690	475	1980	1095	475	505	1295	1230	1390	785	630	740	980	1400	890					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	28931	177	277	282	639	692	72	761	767	550	670	785	858	707	849	1010	808	1079	1028	423	749	1264	1423	351	521	1059	250	298	159	499	374	748	386	1140	175	59	231	65	352	115	250	254	935	500	103	126	645	583	672	270	219	374	526	543	279					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5158	17	11	63	26	30	160	144	12	8	14	20	26	16	20	22	22	18	8	22	50	11	11	12	4	164	52	190	99	280	174	79	95	16	88	84	72	67	77	49	127	28	451	151	184	214	254	162	259	181	202	26	108	225	253					
6	Число погашенных избирательных бюллетеней	23626	151	247	325	825	883	18	790	571	352	556	445	511	492	536	688	455	708	644	410	891	990	946	167	410	787	148	577	117	376	442	418	399	944	52	107	192	18	516	66	313	193	594	444	188	165	396	485	459	334	209	340	346	632	358					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5158	17	11	63	26	30	160	144	12	8	14	20	26	16	20	22	22	18	8	22	50	11	11	12	4	164	52	190	99	280	174	79	95	16	88	84	72	67	77	49	127	28	451	151	184	214	254	162	259	181	202	26	108	225	253					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28925	177	277	282	639	692	72	761	767	550	670	785	857	707	848	1010	808	1079	1027	423	749	1264	1423	351	520	1059	250	298	159	499	374	747	386	1140	175	59	231	65	352	115	250	254	935	500	103	125	645	583	672	270	219	374	526	543	279					
9	Число недействительных избирательных бюллетеней	262	3	2	3	4	5	2	7	5	10	7	3	10	10	7	4	10	9	7	1	4	14	16	3	6	7	6	2	1	5	5	7	3	10	0	1	1	0	3	2	1	2	4	5	1	1	5	9	8	1	5	7	3	5	0					
10	Число действительных избирательных бюллетеней	33821	191	286	342	661	717	230	898	774	548	677	802	873	713	861	1028	820	1088	1028	444	795	1261	1418	360	518	1216	296	486	257	774	543	819	478	1146	263	142	302	132	426	162	376	280	1382	646	286	338	894	736	923	450	416	393	631	763	532					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1435	5	7	5	10	25	0	25	15	15	15	17	24	17	19	34	10	39	30	8	15	30	33	13	15	40	15	25	18	45	25	29	45	30	15	5	15	5	20	10	10	25	98	97	33	50	80	30	30	20	50	37	27	50	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1280	2	4	4	10	15	0	16	10	14	12	17	24	13	18	31	10	37	24	6	9	26	33	10	13	37	13	16	11	45	19	28	43	28	13	5	15	1	13	10	10	15	98	97	33	50	80	27	20	16	50	37	27	50	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	708	14	8	11	10	10	17	46	18	7	14	33	21	2	12	12	10	10	15	7	15	13	13	11	2	33	18	10	13	8	8	25	9	18	15	8	6	11	13	15	4	2	32	9	13	6	15	15	20	7	8	3	12	12	9					
14	Число погашенных неиспользованных открепительных удостоверений	155	3	3	1	0	10	0	9	5	1	3	0	0	4	1	3	0	2	6	2	6	4	0	3	2	3	2	9	7	0	6	1	2	2	2	0	0	4	7	0	0	10	0	0	0	0	0	3	10	4	0	0	0	0	15					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	0	1	2	0	0	1	0	1	1	3	1	3	1	0	1	1	2	0	0	1	3	0	2	0	1	1	1	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																													
18	1.Политическая партия «Аграрная партия России»	995	3	8	5	14	16	5	12	8	10	19	19	21	21	22	32	26	20	28	11	21	41	36	12	9	38	9	17	12	27	13	31	42	23	7	4	21	5	9	7	12	11	24	19	9	17	25	25	39	16	7	16	10	37	44					
		2.92%	1.55%	2.78%	1.45%	2.11%	2.22%	2.16%	1.33%	1.03%	1.79%	2.78%	2.36%	2.38%	2.90%	2.53%	3.10%	3.13%	1.82%	2.71%	2.47%	2.63%	3.22%	2.51%	3.31%	1.72%	3.11%	2.98%	3.48%	4.65%	3.47%	2.37%	3.75%	8.73%	1.99%	2.66%	2.80%	6.93%	3.79%	2.10%	4.27%	3.18%	3.90%	1.73%	2.92%	3.14%	5.01%	2.78%	3.36%	4.19%	3.55%	1.66%	4.00%	1.58%	4.82%	8.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	271	1	2	8	15	9	0	6	10	4	8	11	10	6	8	16	8	18	15	1	16	6	10	1	8	9	5	1	0	1	1	5	5	8	0	2	0	0	2	0	1	1	1	3	2	3	2	4	7	0	1	3	1	6	0					
