Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
Наименование Избирательной комиссии:    Лужская																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735					
1	"Число избирателей, внесенных в список избирателей"	64655	427	573	753	865	947	1615	222	1428	1549	1071	457	1404	280	1498	1585	1515	1696	1682	1692	1763	1754	997	700	152	1624	2462	2317	802	1164	1036	1475	814	2579	406	309	506	196	2198	1562	781	760	895	1126	809	2464	868	907	340	1150	951	260	846	606	938	492	498	1502	1253	1134					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	63850	400	550	700	800	900	1550	250	1350	1500	1050	400	1350	250	1500	1500	1500	1600	1600	1600	1700	1700	950	650	150	1550	2050	2200	750	1150	1300	1500	1000	2500	350	250	600	150	2250	1550	950	700	850	1550	1000	2250	800	850	350	1100	900	250	800	550	1200	500	600	1500	1400	1100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28282	186	256	292	321	345	649	101	578	713	525	162	617	103	778	832	753	815	873	864	922	918	443	321	91	614	1469	1424	401	676	440	691	345	1061	136	53	238	74	813	601	258	182	303	537	267	1031	236	284	127	412	322	95	229	250	506	89	126	561	529	444					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	4160	11	6	34	8	14	21	121	19	19	9	10	17	6	15	26	13	32	20	23	19	8	13	12	0	43	20	17	9	7	213	76	90	18	66	55	64	46	114	228	150	75	23	283	175	127	141	108	90	127	44	38	100	35	100	210	211	199	199	183					
6	Число погашенных избирательных бюллетеней	31404	203	288	374	471	541	880	28	753	768	516	228	716	141	707	642	734	753	707	713	759	774	494	317	59	893	561	759	340	467	647	733	565	1421	148	142	298	30	1323	721	542	443	524	730	558	1089	423	458	132	561	534	117	471	265	594	201	263	740	672	473					
7	Число избирательных бюллетеней в переносных ящиках для голосования	4160	11	6	34	8	14	21	121	19	19	9	10	17	6	15	26	13	32	20	23	19	8	13	12	0	43	20	17	9	7	213	76	90	18	66	55	64	46	114	228	150	75	23	283	175	127	141	108	90	127	44	38	100	35	100	210	211	199	199	183					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28270	186	256	292	321	345	649	101	577	713	525	162	617	103	778	832	753	815	873	864	922	917	443	321	91	614	1469	1422	401	669	440	691	345	1061	136	53	238	74	813	601	258	182	303	536	267	1031	236	284	127	412	322	95	229	250	506	89	126	561	529	444					
9	Число недействительных избирательных бюллетеней	736	7	2	3	14	4	22	7	16	18	10	5	14	2	11	21	18	15	22	25	18	15	9	9	1	21	45	31	5	12	16	19	15	23	5	4	6	1	31	23	5	9	11	13	15	32	8	4	5	23	14	2	3	8	11	0	1	20	4	3					
10	Число действительных избирательных бюллетеней	31694	190	260	323	315	355	648	215	580	714	524	167	620	107	782	837	748	832	871	862	923	910	447	324	90	636	1444	1408	405	664	637	748	420	1056	197	104	296	119	896	806	403	248	315	806	427	1126	369	388	212	516	352	131	326	277	595	299	336	740	724	624					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1366	5	10	7	10	10	35	0	29	20	30	1	20	1	30	21	30	31	35	20	45	30	15	10	4	15	49	47	20	25	20	20	60	20	1	4	45	10	70	20	20	10	20	60	55	40	10	10	10	5	11	40	10	10	50	20	20	30	40	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1280	5	9	7	10	7	35	0	29	20	30	1	20	1	30	21	29	31	33	20	45	29	15	10	3	15	49	47	19	24	20	16	60	20	1	2	45	10	70	20	20	4	20	60	55	29	5	8	3	5	11	20	4	3	50	20	20	30	35	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	734	16	6	12	11	6	8	18	14	12	6	8	9	4	44	16	12	17	15	4	17	19	8	10	0	6	26	10	9	8	1	14	11	10	5	8	9	9	26	21	8	8	3	4	7	88	15	10	5	11	22	18	3	10	7	10	8	7	10	15					
14	Число погашенных неиспользованных открепительных удостоверений	86	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	1	1	0	4	0	0	0	2	0	0	0	0	0	6	0	0	0	11	5	2	7	0	0	20	6	7	0	0	0	0	5	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																		
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6650	42	39	64	58	64	151	32	116	171	149	41	117	24	179	187	178	229	191	205	225	174	99	68	14	140	200	244	105	91	115	160	104	200	34	19	81	20	194	150	87	67	46	136	86	322	80	92	38	109	62	28	65	35	146	47	69	169	134	158					
