Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
Наименование Избирательной комиссии:    Тосненская																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №967									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	92793	2064	2374	1893	940	2481	2535	1967	882	1704	1370	2055	1995	2551	670	776	2381	692	1923	1391	926	807	752	662	1167	1222	1749	1425	638	797	816	641	1012	535	325	132	130	2476	479	2080	3023	2285	1818	1296	2795	1702	1955	1331	974	999	1077	1605	1126	1394	1239	1786	2131	1555	2692	2304	1834	2580	670	1207									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73460	1660	1870	1500	760	1980	2000	1600	700	1350	1100	1650	1600	1950	500	600	1900	550	1550	1100	740	660	560	530	900	980	1400	1150	500	630	600	500	890	420	250	100	100	2000	370	1660	2400	1800	1450	1050	2230	1350	1550	1050	760	800	850	1280	800	1120	1000	1430	1700	1240	2150	1840	1450	2060	540	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	32637	604	856	707	333	855	889	652	331	694	462	762	788	846	207	232	855	180	648	529	260	324	320	179	353	433	708	444	212	283	272	198	323	240	91	56	69	861	196	875	1246	875	849	545	748	834	745	450	308	216	295	407	279	446	387	632	571	533	900	808	644	943	217	632									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1598	4	19	9	22	5	10	7	1	6	2	8	9	60	4	12	9	40	8	16	66	40	64	86	47	46	25	138	71	7	33	47	37	38	60	16	8	30	12	36	46	1	1	3	5	4	39	16	15	36	25	27	111	12	15	4	6	3	17	21	5	19	9	0									
6	Число погашенных избирательных бюллетеней	39225	1052	995	784	405	1120	1101	941	368	650	636	880	803	1044	289	356	1036	330	894	555	414	296	176	265	500	501	667	568	217	340	295	255	530	142	99	28	23	1109	162	749	1108	924	600	502	1477	512	766	584	437	548	530	846	410	662	598	794	1123	704	1233	1011	801	1098	314	68									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1598	4	19	9	22	5	10	7	1	6	2	8	9	60	4	12	9	40	8	16	66	40	64	86	47	46	25	138	71	7	33	47	37	38	60	16	8	30	12	36	46	1	1	3	5	4	39	16	15	36	25	27	111	12	15	4	6	3	17	21	5	19	9	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	32627	604	856	707	333	855	889	652	331	694	462	762	779	846	207	232	855	180	648	529	260	324	320	179	353	433	708	444	212	283	272	198	323	240	91	56	69	861	196	875	1246	875	849	545	748	834	745	450	308	216	295	407	279	446	387	632	571	533	900	808	644	943	217	631									
9	Число недействительных избирательных бюллетеней	1130	14	29	35	15	13	20	32	4	19	9	22	16	38	6	10	20	5	20	24	9	5	6	7	17	13	15	3	2	13	6	4	9	2	1	2	5	12	11	45	51	24	38	19	15	52	15	19	22	4	11	11	19	16	13	20	24	25	69	41	34	23	7	20									
10	Число действительных избирательных бюллетеней	33095	594	846	681	340	847	879	627	328	681	455	748	772	868	205	234	844	215	636	521	317	359	378	258	383	466	718	579	281	277	299	241	351	276	150	70	72	879	197	866	1241	852	812	529	738	786	769	447	301	248	309	423	371	442	389	616	553	511	848	788	615	939	219	611									
