Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Пичаевская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402	УИК  403	УИК  404	УИК  405	УИК  406	УИК  407	УИК  408	УИК  1039					
1	"Число избирателей, внесенных в списки"	12707	567	340	428	553	277	725	279	252	149	508	310	773	669	128	447	119	2126	83	795	208	435	345	1159	206	826					
2	"Число бюллетеней, полученных участковыми комиссиями"	12660	565	340	435	550	275	720	275	245	145	505	310	775	670	130	445	120	2120	75	790	205	435	345	1150	200	835					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6574	304	110	203	278	117	377	158	106	60	312	149	320	342	50	274	71	1140	59	455	96	253	203	611	119	407					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1076	29	30	40	64	54	56	58	68	24	75	43	45	66	13	36	18	45	10	35	28	48	26	115	12	38					
6	Число погашенных бюллетеней	5010	232	200	192	208	104	287	59	71	61	118	118	410	262	67	135	31	935	6	300	81	134	116	424	69	390					
7	Число бюллетеней в переносных ящиках для голосования	1076	29	30	40	64	54	56	58	68	24	75	43	45	66	13	36	18	45	10	35	28	48	26	115	12	38					
8	Число бюллетеней в стационарных ящиках для голосования	6556	304	110	203	278	117	377	158	106	60	312	149	320	342	50	274	71	1121	59	456	96	253	203	611	119	407					
9	Число недействительных бюллетеней	394	20	4	8	31	6	18	6	8	11	39	17	7	23	6	44	4	22	3	31	7	10	6	33	18	12					
10	Число действительных бюллетеней	7238	313	136	235	311	165	415	210	166	73	348	175	358	385	57	266	85	1144	66	460	117	291	223	693	113	433					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	5	2	4	5	3	5	2	3	0	5	3	3	5	0	4	0	50	0	5	0	6	3	7	0	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	51	2	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	29	0	1	0	1	1	0	0	13					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	40	3	1	1	1	1	3	0	2	3	2	0	2	1	1	0	1	2	5	1	2	1	1	3	1	2					
14	Число погашенных открепительных удостоверений	99	3	2	3	5	3	4	2	3	0	5	3	3	5	0	2	0	21	0	4	0	5	2	7	0	17					
15	Число открепительных удостоверений выданных ТИК	14	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	5	0	2	0	0	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	157	4	1	9	6	5	16	10	5	3	11	4	10	11	2	6	6	18	1	9	0	4	2	12	2	0					
		2.05%	1.20%	0.71%	3.70%	1.75%	2.92%	3.69%	4.62%	2.87%	3.57%	2.84%	2.08%	2.73%	2.69%	3.17%	1.93%	6.74%	1.54%	1.44%	1.83%	0.0%	1.32%	0.87%	1.65%	1.52%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	57	3	1	1	4	3	1	3	1	1	2	4	2	3	1	1	0	9	0	6	1	3	0	5	0	2					
		0.74%	0.90%	0.71%	0.41%	1.16%	1.75%	0.23%	1.38%	0.57%	1.19%	0.51%	2.08%	0.54%	0.73%	1.58%	0.32%	0.0%	0.77%	0.0%	1.22%	0.80%	0.99%	0.0%	0.68%	0.0%	0.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	702	23	6	9	16	9	29	27	10	7	49	10	24	44	8	49	17	153	5	22	11	50	32	45	7	40					
