Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Лухская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	5901	2356	196	273	191	331	319	614	278	123	187	850	183									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6150	2431	212	287	202	349	329	645	284	133	197	883	198									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2178	731	122	129	105	98	95	208	137	60	97	297	99									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	869	165	22	71	20	70	93	172	28	8	36	152	32									
6	Число погашенных избирательных бюллетеней	3103	1535	68	87	77	181	141	265	119	65	64	434	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	869	165	22	71	20	70	93	172	28	8	36	152	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2176	729	122	129	105	98	95	208	137	60	97	297	99									
9	Число недействительных избирательных бюллетеней	50	26	1	2	1	2	1	0	2	1	0	14	0									
10	Число действительных избирательных бюллетеней	2995	868	143	198	124	166	187	380	163	67	133	435	131									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	184	50	14	12	8	12	8	15	12	8	8	25	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	184	50	14	12	8	12	8	15	12	8	8	25	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	10	3	2	2	1	3	3	1	1	1	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	5	0	1	1	0	0	1	2	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	45	26	1	2	1	1	3	6	1	0	0	4	0									
		1.48%	2.91%	0.69%	1.00%	0.80%	0.60%	1.60%	1.58%	0.61%	0.00%	0.00%	0.89%	0.00%									
