Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Слободо-Туринская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12324	463	646	742	160	326	205	380	138	875	189	637	183	244	364	772	186	205	446	2339	1733	943	148									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10400	400	500	600	150	300	200	300	100	700	150	600	150	200	350	600	150	200	350	2000	1400	850	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4931	163	228	331	60	165	81	159	63	325	86	217	98	108	143	366	80	93	180	767	685	445	88									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	399	43	25	36	16	15	5	27	8	32	8	27	4	16	25	16	3	11	18	34	16	10	4									
6	Число погашенных избирательных бюллетеней	5070	194	247	233	74	120	114	114	29	343	56	356	48	76	182	218	67	96	152	1199	699	395	58									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	399	43	25	36	16	15	5	27	8	32	8	27	4	16	25	16	3	11	18	34	16	10	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4931	163	228	331	60	165	81	159	63	325	86	217	98	108	143	366	80	93	180	767	685	445	88									
9	Число недействительных избирательных бюллетеней	181	9	4	7	3	5	5	3	2	16	3	9	3	5	6	16	7	4	8	32	21	10	3									
10	Число действительных избирательных бюллетеней	5149	197	249	360	73	175	81	183	69	341	91	235	99	119	162	366	76	100	190	769	680	445	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	10	10	15	10	10	10	10	10	15	10	15	10	10	10	15	10	10	10	15	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	67	2	3	5	1	2	1	5	0	2	1	5	2	3	2	6	0	5	0	10	7	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	37	0	1	2	1	0	1	1	1	3	1	0	2	0	1	7	1	1	1	6	4	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	188	8	7	10	9	8	9	5	10	13	9	10	8	7	8	9	10	5	10	5	8	10	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	1	4	2	2	2	1	2	0	1	1	2	0	1	1	2	1	4	4	12	5	6	0									
		1.01%	0.49%	1.58%	0.54%	2.63%	1.11%	1.16%	1.08%	0.00%	0.28%	1.06%	0.82%	0.00%	0.81%	0.60%	0.52%	1.20%	3.85%	2.02%	1.50%	0.71%	1.32%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	201	8	12	7	5	3	1	9	3	15	3	9	2	6	8	13	2	6	5	32	21	28	3									
		3.77%	3.88%	4.74%	1.91%	6.58%	1.67%	1.16%	4.84%	4.23%	4.20%	3.19%	3.69%	1.96%	4.84%	4.76%	3.40%	2.41%	5.77%	2.53%	3.99%	2.99%	6.15%	3.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	131	3	10	15	0	2	1	4	1	13	1	11	1	2	2	5	2	0	8	11	14	17	8									
		2.46%	1.46%	3.95%	4.09%	0.00%	1.11%	1.16%	2.15%	1.41%	3.64%	1.06%	4.51%	0.98%	1.61%	1.19%	1.31%	2.41%	0.00%	4.04%	1.37%	1.99%	3.74%	8.70%									
